"C1qb" "C1qc" "C3ar1" "Cd86" "Cdkn1a" "Fads1" "Gadd45b" "Igf1" "Nek6" "Spp1" "Timp2" "Basp1" "Cd14" "Itgb5" "Socs3" "Acp5" "Adam9" "Msr1" "Ccl2" "Cd72" "Kcnn4" "Pdpn" "Traf1" "Apoe" "Fam129b" "Ctsb" "Pfn1" "Slc3a2" "Mmp14" "Cd83" "Il21r" "Pmepa1" "Ccr5" "Emp1" "Fth1"
"Pecam1" 0 0 0 0 0.00188044658787928 0 0.00130393379050722 0 0.00119213296254547 0 0 0 0 0 0.00127793938704284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0 0 0 0.00162758304250463 0 0.00119934115924585 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl14" 0 0 0 0.00183442196926907 0.00186622147687498 0 0.00202048193874711 0 0.00145352419989819 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0020893522789398 0 0 0 0 0 0 0 0
"Hc" 0 0 0 0 0.00121904808611797 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00233096218899112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hsp90b1" 0 0 0 0.00225485980273548 0.00167076959342281 0 0.00130201029048624 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00214145810737211 0 0 0 0 0
"Col4a1" 0 0 0 0 0.00152308824586791 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3c" 0 0 0 0 0.00152429062339887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Icam1" 0 0 0 0 0.00161961166893847 0 0.00150718312484074 0 0.00125015365793564 0 0 0 0 0 0.00120807737808542 0 0 0 0 0 0 0 0 0 0 0 0.00121038777288525 0 0 0 0 0 0 0 0
"Col18a1" 0 0 0 0 0.00148491191004066 0 0.00118150661567839 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C3" 0 0 0 0 0.00139342762829878 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cfh" 0 0 0 0 0.00194343775657172 0 0.00162778077951793 0 0.00129069573991873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00159682225928058 0 0.00137747719988558 0.00123476847959258 0 0 0 0.00127697841519663 0 0 0
"Vegfc" 0 0 0 0 0.00175765021772766 0 0.00161415845904594 0 0.00142397638507753 0 0 0 0 0 0.00135497115349177 0 0 0 0 0 0 0 0 0 0.00120271605847513 0 0 0 0 0 0 0 0 0 0
"Fgf7" 0 0 0 0 0.00162696765585824 0 0.00123747687965432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0 0 0 0 0.00209926887534938 0 0.00164837402393786 0 0.00139070888272008 0 0 0 0 0 0.00131696037980448 0 0 0 0 0 0 0 0 0 0.0012590183157614 0 0.00132626750936323 0 0 0 0 0 0 0 0
"Itgb1" 0 0 0 0 0.0023583641063619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Selp" 0 0 0 0 0.00154181477979211 0 0.00122675573051379 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ccl2" 0 0 0 0.00122328663520872 0.00208541132079138 0 0.00184912017815054 0 0.00160389227262951 0 0 0 0 0 0.00153366509518096 0 0 0 0 0 0 0 0 0 0.00141505718844113 0 0.00145506288990613 0 0 0 0.00120090374198214 0 0 0 0.00122848591983974
"Gas6" 0 0 0 0 0.00146331534233639 0 0.00135708813793205 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ocln" 0 0 0 0 0.00160814638760414 0 0.00132304938217876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sell" 0 0 0 0 0.00161010851206998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0 0 0 0.00120725401937605 0.00171852712084425 0 0.0015205920151777 0 0.00132835077757469 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117966156174943 0 0 0 0 0 0 0 0
"Il34" 0 0 0 0 0.00143984951511494 0 0 0 0 0 0 0 0 0 0 0.00272185253372532 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
