"Abca1" "C1qb" "C1qc" "C3ar1" "Hmgcs1" "Igf1" "Nek6" "Spp1" "Timp2" "Acp5" "Adam9" "Cd14" "Cd68" "Ctsk" "Fn1" "Msr1" "Selenof" "Svbp" "Cd300lf" "Dpep2" "Nrp2" "Slc48a1" "Cd200r4" "Trem2" "Lyz2" "Ctnnb1" "Dhrs3" "Gsn" "Pmepa1" "Aldoa" "Ctsb" "Fam129b" "Mmp14" "Arg1" "Fkbp5" "Slc3a2" "Cd72" "Itgb5" "Nme1" "Hist1h2bc" "Myl12a" "Rnf128" "Fth1" "Fcgr3" "Anxa3" "Lgals1" "Emp1" "Rnase4" "Clec5a"
"Vegfd" 0 0 0 0 0 0 0.00122334509225132 0 0 0 0 0 0 0 0.00114840120915973 0 0 0 0 0 0 0 0 0 0 0.00107668184623521 0.00133982821435318 0.00115526946570187 0 0.00110039059966099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fbn1" 0 0 0 0 0 0 0.00113560564455277 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00108680080914341 0.00108801977764373 0 0 0 0.00120561364276297 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Igf1" 0 0 0 0 0.00426375622989894 0 0.00136789916062718 0.00413332370715599 0 0 0 0 0 0 0.00145617974444521 0 0 0 0 0 0 0 0 0 0 0.00131773765326457 0.00140021548433448 0.00144544542703843 0.00116741811301755 0.0012821579606429 0 0.00125566994572014 0 0.00543266251209068 0.00131762217363399 0.00120834673575859 0 0 0.00108182488732461 0.00123144929122773 0 0 0.00112646941552197 0 0 0 0 0.00440062635042898 0.0066238994409892
"Cd2" 0 0 0 0 0 0 0.00124560856965286 0 0.00228328061033969 0 0 0 0 0 0.00127538173601901 0 0 0 0 0 0 0 0 0 0 0.00114793948183675 0.00116648422977652 0.00122283808430689 0 0.00109868517549592 0 0.00126958734148114 0 0 0.00109374218520964 0 0 0 0 0.00117641267470502 0 0 0.00107760216575922 0 0 0 0 0 0
"Cfh" 0 0 0 0 0 0 0.00129069573991873 0 0 0 0 0.00112292735403489 0 0 0.00120102711329416 0 0 0 0 0 0 0 0 0 0 0 0.00119510464644919 0.00130913182943407 0.00127697841519663 0.0013354158745938 0 0.00159682225928058 0 0 0 0.00123476847959258 0 0 0 0 0 0 0.00113527987170788 0 0 0 0 0 0
"Col4a1" 0 0 0 0 0 0 0.00109197558766821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00110569857212055 0.00115634119955729 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0 0 0 0 0 0.0011477615966475 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114181349000281 0.00107667406525214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hmgb2" 0 0 0 0 0 0.00108043733392039 0.00146538773166612 0 0 0 0 0 0 0 0.00142604392664169 0 0 0 0 0 0.00113782320428022 0 0 0 0 0.00532129349458647 0.00134661632514631 0.00131681901042022 0.00109610350011297 0 0 0.0012227676386643 0 0 0.0013295736838672 0.00119182053352801 0 0 0 0.00151849207844886 0 0 0.00107773783455226 0 0 0 0 0.00112577601220493 0
"Agrn" 0 0 0 0 0 0 0.00118004849912811 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00110803451156176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119442124099559 0 0
"Fgf2" 0 0 0 0 0 0.00236694655946615 0.00145297740252148 0.00213698915373628 0.00222098631620354 0 0 0 0 0 0.0014337325430763 0 0 0 0 0 0 0 0 0 0 0.00130585989494037 0.00142192861408407 0.00141316354573379 0 0.00123526067489422 0 0.00129258483736188 0 0 0.00132397506182081 0.00118022834151838 0 0.00214873896277155 0 0.00115558100275969 0 0 0.00123130163907247 0 0 0 0 0 0
"Yars" 0 0 0 0 0 0 0.0011882952098628 0 0 0 0 0 0 0 0.00117306738261956 0 0 0 0 0 0 0 0 0 0 0 0.00119432822573456 0.00107921514601359 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0 0 0 0 0 0 0.00128044388522866 0 0 0 0 0 0 0 0.00133088127579871 0 0 0 0 0 0 0 0 0 0 0.00237662629194184 0.00127576739955775 0.00126802825186628 0 0.0012275773965861 0 0.0011761597474745 0 0 0.00120418944173977 0.00111508841627624 0 0 0 0 0 0 0.00108689301118078 0 0.00434826926707262 0.00212741736301797 0 0 0
"Hc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0019269174664727 0 0 0 0 0
