"C1qb" "C1qc" "C3ar1" "Hmox1" "Igf1" "Mfge8" "Spp1" "Timp2" "Acp5" "Adam9" "Cd14" "Ctsk" "Klf9" "Msr1" "Socs3" "Atp6v0d2" "Cd200r1" "Trem2" "Itgb5" "Cd72" "Pdpn" "Lyz2" "Cd300lf" "Dpep2" "Nrp2" "Ctsb" "Anxa3" "Lgals1" "Fam129b" "Rnf128" "Mmp14" "Cfb" "Fkbp5"
"Pdgfb" 0 0 0 0.00389386993428916 0 0 0 0 0 0 0 0 0.00143310313910789 0 0.00154618258854575 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00118194491140881 0 0 0 0.00119584627273344
"Gas6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00113349857917654 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hmgb1" 0 0 0 0.00439923079079329 0.0015220927807605 0 0.00122597787432068 0 0 0 0.00143523454306634 0 0.0019334149563794 0 0.0018596181983122 0 0 0 0 0 0 0.00137039988413541 0 0 0.00163510813298608 0.0013960625403737 0.00126096806440868 0.00117080265611021 0.00204858606060569 0 0.00140953025422483 0.00129315828055798 0.00186807562542792
"Thbs2" 0 0 0 0 0 0 0 0 0 0 0 0 0.001678793380331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfd" 0 0 0 0.00120125306735783 0 0 0 0 0 0 0 0 0.00121064816597265 0 0.0012461150561939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00207635953436987 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ceacam1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0013258102304738 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pecam1" 0 0 0 0.00122926017158257 0 0 0 0 0 0 0 0 0.00129546707773659 0 0.00127793938704284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00112952496875523
"Sell" 0 0 0 0 0 0 0 0 0 0 0 0 0.0011310463894901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0 0 0 0 0 0 0.00219667614821806 0 0 0 0 0 0.00121456081518324 0 0.00123735984768195 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0012831778123221 0 0 0 0
"Npnt" 0 0 0 0 0 0 0.00124128190547671 0 0 0 0 0.00194615578682158 0 0 0 0 0 0 0 0 0 0 0 0 0.00209512405061531 0 0 0 0 0 0 0 0
"Pkd1" 0 0 0 0 0 0 0 0 0 0 0 0 0.00117826472017253 0 0.00129874555356641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00218694057591152 0 0
"Itgam" 0 0 0 0.00112955887002473 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mapt" 0 0 0 0.00381346261872737 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115103995070454
"Sema3c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00112959513747534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"App" 0 0 0 0.00361865165900489 0 0 0 0 0 0 0 0 0 0.00664361245058503 0 0 0 0.00903548484531286 0 0 0 0.00512290106920704 0 0 0 0 0 0 0.00471884479073174 0 0 0 0
"Fgf2" 0 0 0 0.00140179174249508 0.00236694655946615 0 0.00213698915373628 0.00222098631620354 0 0 0 0 0.00144515752256054 0 0.00148323621566164 0 0 0 0.00214873896277155 0 0 0 0 0 0 0 0 0 0.00129258483736188 0 0 0 0.00132397506182081
"Icam1" 0 0 0 0.0037518918952266 0 0 0 0 0 0 0 0 0 0 0.00120807737808542 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0 0.0020268770599293 0 0 0 0 0 0 0 0 0.00114073213156216 0 0.00132478426710201 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00206926318512956 0 0
"Tnfsf14" 0 0 0 0.00119995282718244 0.00128706325658088 0 0 0 0 0 0 0 0.00154316448943359 0 0.00130949667943603 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0015723344518249 0 0 0 0
"Vegfc" 0 0 0 0.00126051938065337 0 0 0 0 0 0 0 0 0 0 0.00135497115349177 0 0 0 0 0 0 0 0 0 0.00229929431217204 0 0 0 0.00120271605847513 0 0 0 0
"Calm1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00496318180627517 0 0 0
"Hgf" 0 0 0 0.0024073881198302 0 0 0 0 0 0 0 0 0.00138060682658966 0 0.00250252372810684 0 0 0 0 0 0 0 0 0 0 0 0.00434826926707262 0.00212741736301797 0.0011761597474745 0 0 0 0.00120418944173977
