"Cd14" "Cd68" "Cdkn1a" "Gapdh" "Msr1" "Socs3" "Sirpb1a" "Trem2" "Mmp14" "C1qb" "C3ar1" "Dpep2" "Vmp1" "Vcan" "B2m" "Ctsb" "Ccr5" "Nfkbiz" "Eno1"
"Vwf" 0 0 0.001610812123258 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb1" 0 0 0.0023583641063619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sell" 0 0 0.00161010851206998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hbegf" 0 0 0.00189441420720381 0.00123157553889115 0 0.00124169901990256 0 0 0 0 0 0 0 0 0 0 0 0 0.00113481992179572
"Ptprc" 0 0 0.00171937967299817 0 0 0.001605852961689 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pcdh1" 0 0 0.00171059303509075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0 0 0.00301269652847111 0.00271055838891752 0 0.00148323621566164 0 0 0 0 0 0 0 0.00120510441479467 0 0 0 0.00113755137291168 0.00128235102553557
"Tgfb3" 0 0 0.00225560517487711 0 0 0.00123735984768195 0 0 0 0 0 0 0 0 0 0 0 0 0
"Agrn" 0 0 0.00151275624059368 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pdgfb" 0 0 0.00419351935735484 0.00126895285760113 0 0.00154618258854575 0 0 0 0 0 0 0 0.00116120661905835 0 0 0 0 0
"Ccl5" 0 0 0.00166378829096133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Thbs1" 0.00118937821344082 0 0.00211712633359629 0.00166519298067158 0 0.00151952642766016 0 0 0 0 0 0 0 0.0012961116493038 0 0.00116867339824289 0 0.00121596465468613 0.00141714039561498
"Ccl11" 0.00114580346192943 0 0.00235914334954465 0.00161432082867201 0 0.00170107337076636 0 0 0 0 0 0 0 0.00129256576908988 0 0 0 0.00123594006572965 0.00144862097844196
"Serping1" 0 0 0.00146632850772889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C3" 0 0 0.00139342762829878 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0 0 0.00209926887534938 0.0014149408589975 0 0.00131696037980448 0 0 0 0 0 0 0 0.00113739933376292 0 0 0 0 0.00118274633882868
"Col4a1" 0 0 0.00152308824586791 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0 0 0.00296467644517818 0.00139754844491823 0 0.00151509269512285 0 0 0 0 0 0 0 0.00125042822063959 0 0 0 0 0.00126829184256908
"Hspg2" 0 0 0.00162758304250463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Icam1" 0 0 0.00161961166893847 0 0 0.00120807737808542 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0 0 0.00171852712084425 0 0 0.00117949642551493 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0 0 0.00166340261824615 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0 0.00152125277648955 0 0 0.00207635953436987 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il7" 0.00148256397484828 0.00115997496852532 0.00275513204790105 0.00159818805488819 0 0.00356529966371426 0 0 0 0 0 0 0.00124730820048165 0.00166342050862804 0.00157963819013291 0.00128115446477365 0.00321867723845355 0.00186543196345723 0.00171191749760024
"Gpi1" 0 0 0.0017677010676815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0 0 0.00480643361495988 0.00130594829431234 0 0.00178349189911576 0 0 0 0 0 0 0 0 0 0.00259491672564111 0 0.00123831590329966 0.00122773499227046
"Selp" 0 0 0.00154181477979211 0 0 0 0 0 0 0 0 0 0 0 0.00113092900956711 0 0 0 0
"Spp1" 0 0 0.00187530116358333 0.00119273253630364 0 0 0 0 0 0 0 0 0 0.00456373398953197 0 0 0 0 0
"Ltf" 0 0 0.00245070587550302 0.00204879153424535 0 0.00130009020933755 0 0 0 0 0 0.0105320765310518 0.00799295097773265 0.00116197047614105 0 0 0 0 0.00741591917505236
"Tgfb1" 0.00460091968010032 0 0.00548303347996596 0.00153336342413857 0.00319786447902971 0.00567161006627657 0 0 0 0 0 0 0 0.00135723104890683 0 0 0 0.00120231300793108 0.00137383199363539
"Pkd1" 0 0 0.00377401514156348 0 0 0.00129874555356641 0 0 0.00218694057591152 0 0 0 0 0 0 0 0 0 0
"Apoe" 0 0 0.00160734617280627 0 0 0 0 0 0 0.00565009664284423 0.00490866589710499 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0.00367438744373611 0 0 0.00132478426710201 0 0 0.00206926318512956 0 0 0 0 0 0 0 0 0 0
"Lama2" 0 0 0.00348529324590653 0 0 0 0.00588078456619641 0.00665882289727644 0 0 0.00498958833575301 0 0 0 0 0 0 0 0
"Csf1" 0.0043400854220546 0.00214939784101277 0.00185297013945852 0.00124944966834814 0.00299846426066718 0.00135318498507661 0 0 0 0 0 0 0 0 0 0 0 0 0
