"Abca1" "C3ar1" "Hist1h1c" "Hmgcs1" "Igf1" "Mfge8" "Spp1" "Timp2" "Acp5" "Ctsk" "Hspa4" "Klf9" "Msr1" "Cd300lf" "Nrp2" "Nsd1" "Trem2" "Clec5a" "Nsd2" "Rnf128" "Nrp1" "Mmp12" "Lpl" "Fabp4" "Hspa5" "Fkbp5" "Txnrd1" "Mmp14" "Pmepa1" "Anxa3" "Pik3cb"
"Cd2" 0 0 0 0 0 0 0 0.00228328061033969 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hbegf" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00211270459811234 0 0 0 0 0 0 0 0 0 0
"Pkd1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00218694057591152 0 0 0
"Tgfb3" 0 0 0 0 0 0 0.00219667614821806 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00144443019006582 0 0
"Kitl" 0 0 0 0 0 0 0 0 0 0 0 0.00156059666773878 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00267184684074965
"Hgf" 0 0 0 0 0 0 0 0 0 0 0 0.00138060682658966 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00434826926707262 0
"Vegfa" 0 0 0 0 0 0 0 0.00432247876643764 0 0 0 0.00138976869989866 0 0 0 0 0 0 0 0 0.00223458903895263 0 0 0 0 0 0 0 0 0 0
"Npnt" 0 0 0 0 0 0 0 0 0 0.00194615578682158 0 0 0 0 0.00209512405061531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00206926318512956 0 0 0
"Vegfc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00229929431217204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0 0 0 0 0 0 0.00405193709315663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mapt" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00421868748310091 0 0 0 0
"Thbs2" 0 0 0 0 0 0 0 0 0 0 0 0.001678793380331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nampt" 0 0 0 0 0 0 0 0 0 0 0 0.00155454765101033 0 0 0 0 0 0 0 0 0 0 0 0.00492993552203335 0 0.00156883478380891 0 0 0 0 0
"Angpt2" 0 0 0 0 0.00275816006889406 0 0 0 0 0 0 0.00161544663111359 0 0 0 0 0 0 0 0 0 0 0.00142767211281848 0 0 0 0 0 0 0 0
"Calr" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00390448707637598 0.00535031174456976 0 0 0 0 0 0 0 0 0
"Fgf2" 0 0 0 0 0.00236694655946615 0 0.00213698915373628 0.00222098631620354 0 0 0 0.00144515752256054 0 0 0 0 0 0 0 0 0.00416436629413272 0 0 0 0 0 0 0 0 0 0
"Calm1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00496318180627517 0 0 0 0 0 0 0 0 0 0 0
"App" 0.00410464546975756 0 0 0 0 0 0 0 0 0 0 0 0.00664361245058503 0 0 0 0.00903548484531286 0.00638129192082641 0.0124576519137935 0 0 0 0 0 0.00391193148126301 0 0 0 0 0 0
"Igf1" 0 0 0 0.00426375622989894 0 0 0.00413332370715599 0 0 0 0 0.00136443457868942 0 0 0 0.00451998566092934 0 0.0066238994409892 0 0 0 0 0 0 0.00222738184345882 0 0 0 0 0 0
"Mif" 0 0 0 0.0126435145342553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00450733377374691 0
"Lama2" 0 0.00498958833575301 0 0 0 0 0.00396458162870324 0 0 0 0 0 0 0 0 0 0.00665882289727644 0 0 0 0 0.00524677343539442 0 0 0 0 0 0 0 0 0
"Ltf" 0.00687150991037648 0 0 0 0 0 0 0 0 0 0 0 0 0.0106159538823016 0.00791853548395338 0.00786493814540471 0 0 0 0 0 0 0 0.00140723583327119 0 0 0.00163492592491467 0 0 0 0
"Csf1" 0 0 0 0 0.00230757315500023 0.00209297351180682 0 0 0.00476711552751169 0.00715462186468611 0.00224042966403909 0 0.00299846426066718 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0.00548961383709839 0.00490866589710499 0.00386916431110248 0.00396959391231876 0.00398311039481062 0.00424099315901889 0.00392423267835548 0.00420291883098396 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
