"Krt18" "Loxl1" "Socs3" "Tgfbr2" "Timp1" "Id1" "Id3" "Ier3" "Krt8" "Gnas" "Ltbp1" "Cyp2s1" "Per3" "Msln" "Fth1" "Slc9a3r1" "Ifitm3" "Slc39a8" "Urod" "Bgn" "Clec3b" "Sfrp2" "Trak1" "Cfb" "Ergic1" "Lbp" "C3"
"Bmp6" 0.00126776159659442 0 0.00162551096315191 0.00158207238213568 0 0.00527706936475764 0.00213050918862858 0.00200694722120272 0.00171097884713669 0.00137551910752773 0.00126758157748102 0 0 0 0.00140255120439156 0.00143771674623042 0 0 0 0 0 0 0 0 0 0.00120842976840277 0.0013869259362342
"Itgb2" 0 0 0 0 0 0.00141223905840557 0.00131470084209061 0.00122445352357404 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Inhba" 0 0 0.0014571689462524 0.00176151669727612 0 0.00257928055899587 0.00240448006957137 0.00184805020512057 0.00166228720165127 0.00122070239398552 0.00147769886952774 0 0 0 0 0.00138274424601303 0 0 0 0 0 0 0.00125092024156546 0 0 0 0
"Tnfsf14" 0 0 0.00130949667943603 0.00147909329323429 0 0.00148512827179165 0.001421853932703 0.00177805647409082 0.00137979595571351 0 0 0 0 0 0.0013741139946078 0.00117991167308651 0 0 0 0 0 0 0.00143530908153877 0 0 0 0
"Sfrp2" 0 0 0 0.00153489525606338 0 0.002006823122862 0.0018379397778738 0.00186160591153128 0.00129981428999195 0.00126112502605366 0.00121227541246308 0 0 0 0 0.00126665603821055 0 0 0 0 0 0.00165563972638091 0 0 0 0 0
"Col18a1" 0 0 0 0 0 0.00137419325331849 0.00129967176804586 0.00119585618620649 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf7" 0 0 0 0 0 0.001409422970211 0.00137098179705884 0.00130741887800563 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfc" 0 0 0.00135497115349177 0 0 0.00169496970011861 0.0014696170602583 0.00156565053306996 0.00129533641966233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0 0.00207635953436987 0 0 0.00136299958529955 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam12" 0 0 0 0 0 0.00153318979184812 0.00129553524851874 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb2" 0 0 0.00125857834349797 0 0 0.001558599295639 0.00131849904323132 0.00130340368556918 0.0012077625801329 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3c" 0 0 0 0 0 0.00153600946258843 0 0.00118304495782838 0 0 0 0 0 0 0 0.00128133410734974 0 0 0 0 0 0 0 0 0 0 0
"Ocln" 0 0 0 0 0 0.00163458133130995 0.00143090796769968 0.00118518532438034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
