"Aldoa" "Flot1" "Gapdh" "Ier3" "Krt8" "Lmna" "Plec" "Rbpj" "Tnfrsf1a" "Zfp36l1" "Lrp1" "Sdc4" "Tspan3" "C3" "Cfb" "Trim47" "Sparc" "Timp1" "Sp1" "Angptl4" "Fth1" "Ifitm3" "Xbp1" "Atxn1" "Nupr1" "Col1a2" "Col4a1" "Tagln2" "Pak1ip1" "Krt18" "Tmem150a" "Cux1"
"Ntn4" 0 0 0 0.001152179450738 0.00109811387918356 0.00119851852702949 0.00135375930069503 0 0.001015350370104 0.00103260643586099 0.00108681798757777 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb1" 0 0.00122282933119129 0.00113213055211194 0.00133311729502355 0.00109508485892057 0.0011782374016629 0.00125044591406105 0.00107753311393151 0 0.00118349531537559 0 0 0 0 0 0 0 0 0.00102201930283877 0.00104380740869363 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfc" 0.00107675419360986 0.00120351962340331 0.00119106203952406 0.00156565053306996 0.00129533641966233 0.00138651172409576 0.00153398897196109 0.00113286742592094 0.00109053226971891 0.0013507351451961 0.00119469118561582 0.00132452636502321 0 0.00116494055231551 0.00109679629558747 0.00113343186105371 0 0 0.00104744762389747 0.00110162783715319 0.00111350673640197 0 0 0 0 0 0 0.00109717758790858 0 0.00101656108787772 0 0.00102072560727493
"Jag2" 0 0.00103366400850365 0 0.00108653746602825 0 0.00103749980859652 0.00116362254327733 0.00129907658724145 0 0.00107586131198205 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Serpine2" 0 0 0 0.00105376367146697 0 0.00104940405064638 0.00107568707548693 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fbn1" 0.00105267288746636 0.00114286204758874 0.00111763774674035 0.00117788353573013 0.00121898539309857 0.00138897570626341 0.00136112997049968 0.00112042599812929 0 0.00117469630465309 0 0.00104781443136452 0 0 0 0.00101756901089017 0 0 0.00102189474252504 0 0 0 0 0 0 0 0 0.00106053519644674 0 0 0 0
"Nptn" 0 0 0 0 0 0.00106930157397443 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Celsr1" 0.00107587971331663 0.00123074854504376 0 0.0016512166756348 0.00139335143617033 0.00107982228683219 0.00144170346888609 0 0 0.00133935923225932 0 0.00103760485465828 0 0.00113452205937334 0 0 0 0 0.00101875964712705 0.00103504475262181 0 0 0.00107251718953877 0 0 0 0 0 0 0.00126232495498836 0 0
"Pecam1" 0 0.00123659048526005 0.00109454971541497 0.00142361661621238 0.00118725210810313 0.00133913952023012 0.00134395206107673 0.00101637901597762 0 0.00128689806152674 0.00103810028501982 0 0 0 0 0.00104573233022229 0 0 0.00119627197298932 0 0.00105805874719248 0 0 0.0010209937285875 0 0 0 0 0 0 0 0
"Clstn1" 0.00135801330460303 0 0.00136035723912634 0.00117507818316726 0.00117083182470385 0.0014228062489851 0.00146027947825662 0.00130601108609837 0.00103163126678737 0.00147037233328022 0 0.00107436147744195 0 0 0 0.00106151894220329 0 0 0.00102853989462209 0 0 0.00110198681566124 0 0 0 0 0 0.00103090400099223 0.00116619191983429 0 0 0
"Col1a1" 0.00135785385354049 0.00153440582588834 0.00123349073113234 0.00154697020220672 0.0016958927987246 0.00177711249818829 0.00176018649944711 0.00130965930914231 0.00126096958723495 0.00153468198249731 0.00135717200022987 0.00156369744464397 0 0.00130876468427576 0 0.00135331957053758 0.00105031472359418 0 0.00121987008027989 0.0012043972619416 0.00123930822960594 0 0 0.00116558511792964 0 0 0 0.00142931651634521 0 0.0011994452522921 0.00102832509054089 0.00113624395507197
"Lamb2" 0 0.00110972079568335 0 0.00130340368556918 0.0012077625801329 0.00137682414635469 0.00133769665521238 0.00116115816234571 0 0.00112806637288876 0 0.00104706898769237 0 0 0 0 0 0 0.00101613335776631 0 0.00106417963405217 0 0 0 0 0 0 0.00106647066156083 0 0 0 0
"Yars" 0 0.0012113256328791 0 0.00144648496867395 0.00110519005352786 0.00118747027906698 0.00136469724458573 0.00105222440918133 0 0.0012296809766234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00101458346670644 0 0 0 0
"Hspg2" 0 0.00109577682059016 0.00103697127844957 0.00124322014947712 0.0010770751788611 0.00117739123508836 0.00124904672673568 0.001128863734968 0 0.00113739799203289 0 0 0 0 0 0 0 0 0.00103150219569803 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0.0012275773965861 0.00130354576450227 0.00138680289994871 0.00152173838182139 0.00123096453679451 0.00156171840435493 0.00152094442351206 0.00117861097980502 0.00112516707921352 0.00142430737326279 0.00113203596706529 0.00111002216639213 0 0.0010619616902436 0 0.00107087880345553 0 0 0.00126207555049472 0.00110261053890314 0.00108689301118078 0 0 0.00102144364304323 0 0.00421155205897465 0.00466413216211115 0.00110408446567662 0 0 0 0.00102737534488597
"Mdk" 0.00117240993426343 0.00129235673964619 0.00127515492701632 0.00164902991238226 0.00128146904242728 0.00132204896224155 0.00169750643773604 0.00156408769907049 0.00134719436281821 0.00135204261203094 0.00117095832890975 0.00137539813365495 0 0.00134741204698781 0.00108685326146252 0.00114016430868564 0 0 0.00116157179960357 0.0013995485203003 0.00109552585704965 0.00110862977583524 0 0.00102677583601898 0.00479131225122721 0 0 0 0 0 0 0
"Tnfsf13b" 0 0.00114725578863451 0.00108957201095851 0.00151866047246203 0.00112646108171369 0.00133827636679014 0.00148667992107752 0.00104336950773875 0.00105621639748307 0.00129368605450816 0 0.00119208799522564 0 0.00102842744723824 0 0.00109248594960138 0 0 0.00107069837017376 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col4a1" 0 0.00103213978218691 0 0.00118216257804888 0.0011189328273549 0.00109806053189742 0.00135502075073295 0.00105493712371275 0 0.00115523722558112 0 0 0 0 0 0.0010838275440203 0 0 0.00102134919968172 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfd" 0.00110039059966099 0.00114761218649177 0.00123642571285469 0.00158322425384147 0.00122514070091756 0.0013085977446279 0.00130881889973955 0.00103420374701132 0 0.00129834471254499 0.00111795653641306 0.00109481276559669 0 0.00111555429633279 0 0.0010358589614863 0 0 0.00110023354059259 0.00115806087760446 0 0 0 0 0 0 0 0.00101548255936024 0 0 0 0
"Itgb7" 0 0 0 0.00111638879194851 0.00104518192284508 0.00112436239239381 0.00118126195129704 0 0 0.00102532631018315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
