"Met" "Tat" "Timp1" "C3" "Nupr1" "Fgf9" "Tmem176a" "Loxl1" "Acsm3" "Clec3b" "Kmt5b" "Cfb" "Lbp" "Cdh3" "Fth1" "Tmem259"
"Npnt" 0 0 0 0 0 0.00197560370429305 0 0 0 0 0 0 0 0 0 0
"Pgf" 0 0 0 0.00137287386295091 0 0 0 0 0 0 0 0 0 0 0 0
"Itgal" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00421075494159307
"Bmp4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00274008785425315 0 0
"Fgf1" 0 0 0.00185060820883847 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il18" 0.00148735519182152 0 0.00252170245620645 0.00169185374918075 0 0 0 0 0 0 0 0.00181256836010335 0.00182423565213855 0 0.00197306727479522 0
"Bmp5" 0.00143329753629567 0 0 0.00138752256186312 0 0 0 0 0 0 0.00319761460829553 0 0 0 0.00142532594946077 0
"Plat" 0 0 0.00376305192776554 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0 0 0.00377514477134519 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cadm1" 0 0 0 0 0 0 0 0 0.00516526072471305 0.00610590576994623 0 0 0 0 0 0
"Tgfb1" 0.00264037967146556 0 0.00514659632818426 0 0 0 0 0.00488498989928621 0 0 0 0 0 0 0 0
"Calr" 0 0 0 0 0 0 0.00528202271467741 0 0 0 0 0 0 0 0 0
"Apoe" 0 0 0.00368591735096147 0 0 0.004152403721016 0 0 0 0 0 0 0 0 0 0
"Areg" 0 0 0 0 0.00446987406068357 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0 0 0.00379242755032811 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mdk" 0 0 0 0 0.00479131225122721 0 0 0 0 0 0 0 0 0 0 0
"Osm" 0 0 0.00575092635394113 0 0 0 0 0 0 0 0 0 0.00160391294615701 0.00139166681364669 0.00163701637857118 0
"Fn1" 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0.00781196484248191 0.00297271818581624 0 0 0 0 0 0 0 0 0 0 0 0 0 0
