"Fgfr1" "Gapdh" "Icam1" "Krt8" "Timp1" "Olfml1" "Tmem176a" "Sdc4" "Eif5a" "Nupr1" "Eno1" "Fth1" "Ifitm3" "Rnase4" "Slc25a1" "Wnt9a" "Fkbp1a" "Cavin3"
"Aimp1" 0 0 0.00184033222145903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Celsr1" 0 0 0 0.00139335143617033 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hbegf" 0 0.00123157553889115 0.00139941167804101 0 0 0 0 0 0 0 0.00113481992179572 0 0 0 0 0 0 0
"Bmp5" 0.00117746643088578 0.00128514513399694 0.00139543571100306 0.00187048284590118 0 0 0 0.00130951089562654 0.00124617948856424 0 0.0012380124727546 0.00142532594946077 0 0.00118089569378134 0 0 0 0.00201806875611834
"Bmp4" 0.00117206331498499 0.00151062941428825 0.00243894759633319 0.00159833342380597 0 0 0 0.0012936804397207 0.00137353806930131 0 0.0014070999242616 0.00132428579111218 0 0.00123761477208361 0.00114492681691647 0 0 0
"Pros1" 0 0.00139754844491823 0.00145038743054541 0.00145540154789745 0 0 0 0.00128558285292679 0.00125129571680613 0 0.00126829184256908 0.0012793841595511 0 0.00122516617094194 0 0 0 0
"Tgfb1" 0.00252397596888026 0.00153336342413857 0.00403017469022695 0.00157339741274326 0.00514659632818426 0 0 0.00128919601651315 0.00134515637244138 0 0.00137383199363539 0.001313046198603 0 0.00123676457527461 0.00118732501084902 0 0.00436841205840133 0
"App" 0 0.00112337043964762 0 0.00112145014972057 0 0.00623391399813117 0 0 0 0.00438794867299392 0 0 0 0 0 0.00888660034144791 0 0
"Tnfsf13b" 0 0 0.00140725078539295 0.00112646108171369 0 0 0 0.00119208799522564 0 0 0 0 0 0 0 0 0 0
"Hmgb1" 0.00125712188251646 0.00211550342687762 0.00562016913687305 0.00178120930363061 0 0 0 0.00165823063278291 0.00169405898401047 0 0.00172559067522795 0.00161534775738233 0.00136559644676244 0.00188618252247893 0.00151589161534994 0.00120947014663865 0.00114956404737562 0
"Esam" 0 0 0.00112068125719108 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Manf" 0 0.00127641383298859 0 0.00112851826409589 0 0 0 0 0 0 0.0011691168726901 0 0 0 0 0 0 0
"Nectin1" 0 0 0.00121411407376731 0.00114331666493793 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tfpi" 0 0 0.00151281117578513 0.00119035248336909 0 0 0 0.00120645447726766 0 0 0 0 0 0 0 0 0 0
"Rspo3" 0 0 0 0 0 0 0 0 0 0 0 0.00114662425539132 0.00132256002059045 0.0011389151089891 0 0 0 0
"Lrpap1" 0 0.00112459739996234 0.00112397723786745 0.00115029101068653 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0 0 0.00362141283380819 0 0.00368591735096147 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0 0.00119273253630364 0.00227822254511026 0.00123512133345041 0.00377514477134519 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nampt" 0.00113677100758957 0.00178507495899701 0.0050239544149108 0.00169793535234997 0 0 0 0.00144025644731057 0.00140914607768275 0 0.00148235970478947 0.00143302419248472 0 0.00132524762353527 0.00130254932516901 0 0 0
"Pgf" 0 0.00169384392973226 0.00179753890769374 0.00131848282176706 0 0 0 0.00128692593152622 0.00127514512055219 0 0.00139563408352056 0.00121452343647606 0 0.00123655050611796 0 0 0 0
"Areg" 0 0.00124223408617953 0.00139218905954827 0.00141479204698706 0 0 0 0.00121945207171797 0.00128140538578852 0.00446987406068357 0.00114947574389884 0 0 0 0 0 0 0
"Cxcl12" 0.00206512355459294 0 0.00122619544728706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Selplg" 0 0 0.00115588863880911 0 0.00200429353834147 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0.00235123956249802 0.00271055838891752 0.00248838117738215 0.00134881895289704 0.00209778431201249 0 0 0.00256339895730747 0.00124953089403008 0 0.00128235102553557 0.00123130163907247 0 0 0 0 0 0
"Osm" 0.00114915361904652 0.00149103822419557 0.00200404272390095 0.00170608088594479 0.00575092635394113 0 0 0.00163406003522205 0.00164807386682912 0 0.00147242991144135 0.00163701637857118 0 0.00129843723478026 0.00128721740168535 0 0 0
"Fn1" 0 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plat" 0 0.00126865777935597 0.00133643687466266 0.00124319350968537 0.00376305192776554 0 0 0 0 0 0.0011226646268057 0.00114070386657751 0 0 0 0 0 0
"Calr" 0 0 0 0 0 0.00612121728802879 0.00528202271467741 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0 0.00117644706106746 0.00117875673257323 0.0012980459797124 0.00379242755032811 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0.00435537726501768 0 0.00127275023603779 0.00111551779827115 0.00185060820883847 0 0 0 0 0 0 0 0 0 0 0 0 0
