"Col1a1" "Col1a2" "Col3a1" "Col4a1" "Cryab" "Fbn1" "Fn1" "Loxl2" "Serpine2" "Vim" "Actb" "Ccnd2" "Sept9" "Tgfb2" "Rcan1" "Bgn" "Mmp14" "Grk5" "Pgf" "Calm1" "Col18a1" "Ltbp4"
"Fn1" 0 0 0 0 0 0 0 0 0 0 0.00105451467772412 0 0 0 0 0 0 0 0 0 0 0
"Cdh3" 0 0 0 0 0 0 0.00130120971847897 0 0 0 0.00134210924427208 0.00156739205465622 0 0.001169948061087 0 0 0 0 0 0 0.00112075782594018 0
"Hspg2" 0 0 0 0 0 0 0 0 0 0.00106998959192149 0.00116983347447202 0 0.00111518705112924 0 0 0 0 0 0 0 0 0
"Pecam1" 0 0 0 0 0 0 0.00131195359400342 0 0 0 0.00121796562353523 0.00146902044363966 0.00128203033587303 0 0.00208057750040458 0 0 0 0 0 0 0
"Itgb2" 0 0 0 0 0 0 0.00107112524446552 0 0 0 0.00110373204318215 0.00112520328409292 0.00107698936511907 0 0 0 0 0 0 0 0 0
"Gmfb" 0.00114054163702413 0 0 0 0 0 0.00130616209103307 0 0 0.00128875988543163 0.00146436565661762 0.0013897080667851 0.00145263552012441 0.00107279953316035 0 0 0 0 0 0 0.00118815372716528 0.00114247167272887
"Col4a1" 0 0 0 0 0 0 0.00106112244878979 0 0 0 0.00115017429167651 0 0.0011243936873812 0 0 0 0 0 0 0 0 0
"Jam2" 0.00105394890847975 0 0 0 0 0 0.00131387455665691 0 0 0.00138702970008691 0.00145178719016429 0.00142900274027438 0.00151922016504733 0 0 0 0 0.00120059588710673 0.00143155181216426 0.00106738484800608 0.00137715171747212 0.00124585410067713
"Tnc" 0 0 0 0 0 0 0.00118045399455545 0 0 0.00106477261900541 0.00113302069762406 0.00111634611618441 0.00115109290302307 0 0 0 0 0 0 0 0 0
"Gas6" 0 0 0 0 0 0 0.00104929271815995 0 0 0 0.00118582420122749 0.00118968747540761 0.00110974344934697 0 0 0 0 0 0 0 0 0
"Sema3a" 0 0 0 0 0 0 0.00116723223747363 0 0 0.00109607603136889 0.00134774374240879 0.00121886500523468 0.00132954149592478 0 0 0 0 0 0.00104950604117595 0 0.00114733498355341 0.00113551462795074
"Ltb" 0.00147580991085005 0.00131465587349838 0.00121763834466782 0.00121197718650406 0 0 0.00128885537712403 0.0011036554037853 0 0.00138243776295292 0.0014927927701708 0.00132037609583645 0.00134151004207116 0 0.00127466876701174 0 0 0 0 0 0 0.00105102385217003
"Tgfb3" 0.00123585671162163 0 0 0.00106760603302712 0 0 0.00446920500700439 0 0 0.00132242544024724 0.00171215492557961 0.00125994327621658 0.00143225240943012 0.0013767278673098 0.00115794050756343 0 0 0 0 0 0.00129165322023693 0
"Calm1" 0 0 0 0 0 0 0.00110436595243795 0 0 0 0.0012041471253463 0.00105030753539939 0.00109932982859305 0 0 0 0 0 0 0.00110077236343652 0 0
"Hc" 0 0 0 0 0 0 0 0 0 0 0.00197842523846087 0 0 0 0 0 0 0 0 0 0 0
"Timp1" 0 0 0 0 0 0.00219551364437295 0.00113296424283607 0 0 0.00108949603801968 0.0012025586558728 0.00123085114254304 0.00121392884924285 0 0 0 0 0 0 0 0 0
"Pkd1" 0 0 0 0 0 0 0.00121201939533346 0 0 0.00107985492370615 0.00129830543141427 0.00134747940212657 0.00125056068715957 0 0 0 0.00218694057591152 0 0 0 0 0
"Pdgfb" 0.00417536407881862 0 0 0 0 0 0.00132765694970675 0 0 0.00112414825566715 0.00134724812981761 0.00429672473558718 0.00142416720260589 0 0 0 0 0 0 0 0.00109490141255649 0.00112432551946325
"Itgb7" 0 0 0 0 0 0 0 0 0 0 0 0.00105448025634764 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0.00228653722799215 0.00225688661748847 0 0 0 0 0.0014337325430763 0 0 0.00121929254447143 0.0014694956705675 0.00261560597912654 0.00148156016694361 0.00110162238137972 0 0.00244344294139355 0 0 0.00268705956377018 0.00109276604038802 0.00117025777011331 0.00121915643595367
"Dll4" 0.00151651609004675 0.0011644873402714 0.00124343351068 0.00105158767963183 0 0 0.00269630698677478 0 0 0.0017665762779185 0.00185625641413516 0.00153991429545007 0.0019189909469028 0.00155703267830529 0 0 0 0.00195811708009831 0.00111932258973606 0.0014195428258565 0.0013602375603735 0.00144461760293562
"Hmgb1" 0.00156865800988409 0.00475573633823363 0.0051460437121562 0.0013546673719414 0 0 0.00195162346494514 0 0.00114805740601357 0.00180066031488312 0.00224754285905749 0.002045893604553 0.00204325486772582 0.00150320191209134 0.00159633277520012 0 0.00140953025422483 0.0018508600894169 0.00148145202062538 0.00176559653114774 0.0016833063062463 0.00173892694075251
"Il1b" 0.00432704969277202 0 0.00516287095521492 0 0 0 0.00471508674511481 0 0 0.00140556229643095 0.00174793447157904 0.00169003370985696 0.001727476436862 0.00124837658132785 0.00128859572181452 0.00556725311719056 0.00488326992590717 0.001228520909437 0.0029056677648134 0.00252160299925607 0.00140493659882632 0.00133606197624289
"Plau" 0.00129092114277536 0.00450608085517301 0.00518332917048412 0 0 0 0.00220155418138859 0 0 0.00153356217232183 0.001713731925587 0.00158595495337436 0.00186216280525512 0.0011878665869129 0.00185091098859637 0 0 0.00113396670073511 0.00134213730371856 0.00122305469748439 0.00132869359411264 0.00145453269695647
"Spp1" 0.00111379146622818 0.00421524682203956 0.00495879526473618 0 0 0 0.00125375186388455 0 0 0.00118931505083177 0.0014557991705183 0.00132470875953889 0.00133409872616051 0 0 0 0 0 0 0 0.00106892208637945 0
"Tgfb2" 0.00576007370235692 0.00577280511684245 0 0.00119178659875394 0.00229174320752316 0.00500298343691173 0.0048917055913293 0 0 0.00167075884910359 0.00183006461202542 0.00170565816448646 0.0017420769136518 0.00481347776799212 0.00153200399014485 0.00251060727027853 0 0.00108401560950302 0.00108386645543673 0.0011306943910618 0.00129190673912139 0.00131705763480093
"Vwf" 0.00384617150905376 0 0 0 0 0 0.00109901751747858 0 0 0 0.00105613922150055 0.00118071999362242 0 0.00421558763554107 0 0 0 0 0 0 0 0
"Edn1" 0.00406632226576029 0.00430284300218838 0.00507425261027675 0 0 0 0.00127971483878582 0 0 0.00214614830596564 0.00119186886368411 0.00118816643119783 0.00119475334146133 0 0 0 0 0 0 0 0.00105175215794378 0.00111504657319669
"Tgfb1" 0.00551568106052913 0.00782831487095467 0.00527727585757168 0.00485394028475774 0.00461832386426685 0.00494533872999235 0.00583983968729012 0.00519585533520799 0.00452512600179892 0.00539500587814721 0.00296597953804268 0.00157270359399169 0.00168793008127137 0.00128689244248201 0.00120977130048633 0.00255800440815857 0 0.00109683931601113 0.00275514492195642 0.00122107137240598 0.00138206816395869 0.00134321119865206
