"Cd44" "Col1a2" "Col3a1" "Eln" "Fn1" "Gsn" "Thbs1" "Timp1" "Tnc" "Sod3" "Vim" "Acta2" "Tgm2" "Bgn" "Sdc4" "Skp1a" "Aoc3" "Cald1" "Mmp14" "Itgb1" "Lgals1" "Col18a1" "Trim27" "Tpm1" "Crispld2" "Palld" "Rgs2" "Msn"
"Pkd1" 0 0 0 0 0.00121201939533346 0.00130035719859155 0 0 0 0 0 0 0 0 0 0 0 0 0.00218694057591152 0 0 0 0 0 0 0 0 0
"Tnc" 0 0 0 0 0.00118045399455545 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfc" 0 0 0 0 0.00121493178321917 0.00123394273481675 0 0 0 0 0 0 0 0 0.00132452636502321 0 0 0 0 0 0 0.00122920169099925 0 0 0 0 0 0.00220931165320014
"Hc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00175817396763475 0
"Col1a1" 0 0 0 0 0.00126103812414002 0.00137961172576967 0 0 0 0 0.00118511499633115 0 0.00128841646993525 0 0.00156369744464397 0 0 0 0 0 0 0.00131242326317063 0 0 0 0 0 0
"Ltf" 0.00119570481228195 0 0 0 0.00134578290956992 0.00138883124381469 0 0 0 0.00921462014874502 0.00125883065606662 0 0 0 0.00120931164606958 0 0 0 0 0 0 0.00120268529478144 0 0.00775823841227932 0 0 0 0
"Nectin1" 0 0 0 0 0.00123036381555818 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Celsr1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122973727018959 0 0 0
"Apoe" 0.0038757690753724 0 0 0 0 0 0 0.00368591735096147 0 0 0 0.00377844087347625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plat" 0 0 0 0 0.00135938890027968 0.00123618593677426 0 0.00376305192776554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0 0 0 0 0.00130616209103307 0.00131750893547808 0 0 0 0 0.00128875988543163 0 0 0 0 0 0 0 0 0 0 0.00118815372716528 0 0.00121468668190827 0 0 0 0
"Col5a3" 0 0 0 0 0 0.00119786374854643 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.0023584090961541 0 0 0 0.00144290224621979 0.00137709564990964 0 0 0.00241628545664076 0 0.00126344713866316 0 0 0 0.00128205347269757 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf7" 0 0 0 0.00228038570568765 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Timp1" 0.00212927986684748 0 0 0.00234889399957674 0 0.00118388440290614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plau" 0.00142339137819467 0.00450608085517301 0.00518332917048412 0 0.00220155418138859 0.00153056012377104 0.00129931585123495 0 0 0 0.00153356217232183 0.00409108704787506 0.00121218561770277 0 0.00146467397940956 0 0 0.00135842230551061 0 0.00129313728145182 0 0.00132869359411264 0.0013079273488625 0.00133401694183279 0 0.00127410890507809 0 0
"Bmp4" 0.00128934031669421 0 0 0 0.00163746098150271 0.00172189897468093 0.00126015879274672 0 0 0 0.00141076215863066 0.00413856235093631 0.00131083177345458 0 0.0012936804397207 0 0 0.00137669194123599 0 0.00118552071791863 0 0.00141224794239243 0.00120821874652832 0.00132923683457015 0 0.0013358708128819 0 0
"Tgfb2" 0.00151409785873996 0.00577280511684245 0 0 0.0048917055913293 0.00166927348933181 0.00135638336781128 0.0021985662674196 0.00273951091521325 0 0.00167075884910359 0.00426472021027771 0.00140911702736446 0.00251060727027853 0.00134645886362412 0 0 0.0013934642693562 0 0.00261203029811569 0 0.00129190673912139 0.00120749900629537 0.00133878558905958 0 0.00152170037682428 0 0
