"Col1a1" "Mcl1" "Rgs2" "Tsc22d3" "Col1a2" "Tlr4" "Serpine2" "Cox17" "Eif4e" "Grb10" "Cdk14" "Scube3" "Col18a1" "Foxc1" "Tpm1" "Ltbp1" "Cp" "S100a4"
"Dusp18" 0 0.00122632287138172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plau" 0.00129092114277536 0.00160798381361493 0 0.00155173573341245 0.00450608085517301 0 0 0 0.00121044695299221 0.00163279656510333 0 0 0.00132869359411264 0 0.00133401694183279 0.00195092328857985 0.00120738209413582 0
"Hspg2" 0 0.00117725986449675 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0 0.00166494980013655 0 0 0 0 0 0 0 0 0 0 0.00118367436715122 0 0.00136647976863212 0.00133853100621204 0 0
"Pdgfb" 0.00417536407881862 0.00131028157414491 0 0 0 0 0 0 0.00115941062273241 0 0 0 0 0 0 0 0 0
"Osm" 0.00128129722667954 0.00199346159761992 0 0.00122031095876137 0 0.00119506995149861 0 0 0.0015290984142539 0.00116668219085961 0 0.00118367285084018 0.00137966965858044 0 0.00149527436092349 0.00168832665552981 0 0.00236101899467379
"Spp1" 0 0.00124234795235528 0 0 0.00421524682203956 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf10" 0.00148794818134339 0.00461889125434619 0 0.00460898184524638 0 0 0 0 0 0 0 0 0.00123975647444625 0 0.00119761606368218 0.00123671962735626 0 0
"Tfpi" 0 0.00116990868351755 0 0 0 0 0 0 0.00131214933251929 0 0 0 0 0 0 0 0 0
"Il1b" 0.00432704969277202 0.00467818552363432 0 0.00427415805467745 0 0.00661177831241613 0 0 0.00124196192827109 0 0 0 0.00140493659882632 0 0.00131942486981391 0.0013526414316983 0.00276077476749366 0
"Hsp90b1" 0 0.00116771920345771 0 0 0 0.00233311968582516 0 0 0 0 0 0 0 0 0 0 0 0
"Cdh3" 0 0.00126822099513136 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb2" 0 0.0013020756742901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb2" 0.00576007370235692 0.00161785063690861 0 0 0.00577280511684245 0 0 0 0.00142067007607444 0 0 0 0.00129190673912139 0.00132870911760583 0.00133878558905958 0.00134502577635453 0.00118937215507518 0
"Sfrp2" 0 0.00122906091173353 0 0 0 0 0 0 0 0 0.00160168691763504 0.0016099287934276 0.00118738712235267 0.00144847865355055 0.00129352040835001 0.00121227541246308 0.00149309461956151 0
"Hgf" 0 0.00254599209435178 0 0 0.00421155205897465 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0 0.0042324033320783 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Trf" 0 0.00123662720435778 0 0.00389664162149841 0 0 0 0 0 0 0 0 0.00116196328188222 0 0.0011722957817323 0 0 0
"Plat" 0 0.00133768162737623 0 0.00388044491150923 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vwf" 0.00384617150905376 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il33" 0 0 0 0 0 0.00248529011389717 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0 0.00249151263747815 0 0.0039990731412746 0 0 0 0.00437596458084277 0.00235576691157636 0.00233517363590454 0 0 0 0 0 0.00115515885926954 0 0
"Tgfb1" 0.00551568106052913 0.00456380015609211 0 0.00410998513112657 0.00782831487095467 0.00252306284915814 0.00452512600179892 0 0.00123031103660988 0 0 0 0.00138206816395869 0.00291018960252921 0.00278480975554596 0.00266292624997743 0 0.00233966507029221
"Hmgb1" 0.00156865800988409 0.0018819694242949 0 0.00477568538107306 0.00475573633823363 0.00546725461714459 0 0 0.00150097475415144 0.00119402235750998 0.00144059696236755 0.00127723684228103 0.0016833063062463 0.00135013406488128 0.00180288043900851 0.00173745037287279 0.00134685247058668 0.00129022733597502
"Edn1" 0.00406632226576029 0.00117905478120428 0 0.00392076301972738 0.00430284300218838 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0 0 0.00175817396763475 0.00355269481186808 0 0 0 0 0 0 0 0 0 0 0 0 0 0
