"Irf2bpl" "Prdx6" "Ptma" "Runx1" "Tcaf1" "Dhx40" "Cald1" "Itgb1" "Lztfl1"
"Dusp18" 0.00147258029836698 0 0.00135387173822363 0.00123066346056266 0 0 0 0 0
"Cdh1" 0.00149193482628992 0 0.00142685072782975 0.00118526932025937 0 0 0 0 0
"Efna1" 0.00115768038038222 0 0.00115380665322637 0 0 0 0 0 0
"Npnt" 0.00129341246692172 0 0.00129248903630713 0.00125057464470201 0 0 0 0 0.00170442458467834
"Hgf" 0.00174842859471647 0 0.00163909352884856 0.00127580841504351 0 0 0 0.00238400100279629 0
"Bmp6" 0.00218720088999739 0 0.00213794438597033 0.00180731428825511 0 0 0.00133488984275086 0.00131514609919488 0
"Sema3b" 0.00129744881320873 0 0.00116997018626932 0 0 0 0 0 0
"Serpine1" 0.00196796055234088 0 0.00178835222472145 0.00149484660484844 0 0 0.00116124691749235 0.00119346968305253 0
"Pdgfa" 0.00169623367895366 0 0.00154519307696893 0.00135168063846838 0 0 0 0 0
"Ccl5" 0.00144339074313067 0 0.00128647674926332 0 0 0 0 0 0
"Rps19" 0.00115193568580238 0 0 0 0 0 0 0 0
"Cxcl2" 0.00117567923398513 0 0 0 0 0 0 0 0
"Il1rn" 0.00164798251948389 0 0.00153478123351466 0.00116828942877751 0 0 0.0013451333123745 0 0
"Calm2" 0.00143339617593198 0 0.00121585945723956 0 0 0 0 0 0
"Inhba" 0.00216737212276639 0.00115862911464331 0.00196273167192042 0.0020047963463321 0 0 0.00156400473746921 0.001238550270533 0
"Bmp4" 0.00204479861671478 0 0.00198675235358929 0.00168063057167453 0 0 0.00137669194123599 0.00118552071791863 0
"Calm1" 0.00147184824554056 0 0.00130047237369597 0 0 0 0 0 0
"Hsp90b1" 0.00144331875143764 0 0.0013693849268254 0 0 0 0 0 0
"Dkk2" 0.0028609401317726 0 0.00201601224847283 0.00191943285054546 0 0 0.00131163204602869 0.00121043043495031 0
"Lrpap1" 0.00133862892699132 0 0.00137143113621417 0 0 0 0 0 0
"Bmp3" 0.00177967405464231 0 0.00170698810193406 0.0017061883439373 0 0 0.00132823277810108 0 0
"Inhbb" 0.00228866162588204 0.00128464736961522 0.00210965001991961 0.00222769569231602 0 0 0.00171782343095354 0.0013535361788463 0
"Pgf" 0.00186479455706296 0 0.00171890247721199 0.00142494469253823 0 0 0 0 0
"Jag2" 0.00119723610980884 0 0.00139919645845275 0 0 0 0 0 0
"Thbs2" 0.00123464662403936 0 0 0.00128651575746725 0 0.00143915591255719 0 0 0
"Adam15" 0.00137844652664669 0 0.00151916640258801 0 0 0 0 0 0
"Pcdh1" 0.00149908550151397 0 0.00137541403096578 0.00117635266729357 0 0 0 0 0
"Mdk" 0.00176944929498903 0 0.00163120028157996 0.00151821824529844 0 0 0 0 0
"Bmp5" 0.00228385848997912 0 0.0017665034342188 0.00193849045457438 0.00298981221798053 0 0.0017167631254079 0.00116897782576468 0
"Mapt" 0.00143574358345088 0.00412973131336771 0.0014801936176007 0.00116207421597532 0 0 0 0 0
