"Col1a2" "Col3a1" "Sod3" "Timp1" "Vim" "Col5a1" "Itgb5" "Serpine2" "Gsn" "Tle1" "Cavin3" "Col18a1" "Hacd1" "Aldoa" "B4galt1" "Tagln2" "Nupr1" "Sbno2" "Rgs2" "Gnas" "Hnrnpl" "Sparc" "Il6st" "Sulf2" "Tm4sf1" "Rcan1" "Ensa" "Lrrc8a" "Ifitm3" "Rnase4" "Tspan3"
"Tfpi" 0 0 0 0 0.00114770589043006 0 0 0 0.0012133632574989 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114968026997159 0 0 0 0 0.00195311245494495
"Pcdh1" 0 0 0 0 0 0 0 0 0.00115165723204031 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120911185686436 0 0 0 0 0 0
"Gmfb" 0 0 0 0 0.00128875988543163 0 0 0 0.00131750893547808 0.00114191138474618 0 0.00118815372716528 0 0.00114994905029895 0 0.0011755126647806 0 0 0 0.00122241312625556 0.00116373268849179 0 0 0 0.00119971916877171 0 0 0 0 0.00113867234689896 0
"Apoe" 0 0 0 0.00368591735096147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00467287513042895 0 0 0 0 0 0 0
"Agrn" 0 0 0 0 0.00120126973433229 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprf" 0 0 0 0 0 0 0 0 0.00121576705869699 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plau" 0.00450608085517301 0.00518332917048412 0 0 0.00153356217232183 0.0011144236387998 0 0 0.00153056012377104 0.00125384875482744 0 0.00132869359411264 0 0.00152015262613006 0.00138841273438301 0.00138478863960312 0 0.00131955093288233 0 0.00206668657538063 0.00156416838512517 0 0 0.00127088898937725 0.00147943278432122 0.00185091098859637 0.00199194463378534 0.00185775157972476 0 0.0012112997934298 0
"Pecam1" 0 0 0 0 0 0 0 0 0.0012937479027393 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00208057750040458 0 0 0 0 0
"Hmgb1" 0.00475573633823363 0.0051460437121562 0 0 0.00180066031488312 0.00117380478086152 0 0.00114805740601357 0.00201262613336578 0.00184467369492467 0 0.0016833063062463 0 0.00177637757815007 0.00174028763604841 0.00162298188378865 0 0.00153623812891851 0 0.00170276955605402 0.00187231508750106 0 0.00121697786839294 0.00160733643917194 0.00177955211285578 0.00159633277520012 0.00124502264588061 0.00134522782814644 0.00136559644676244 0.00188618252247893 0
"Celsr1" 0 0 0 0 0 0 0 0 0.00115239049214407 0.00126503641023077 0 0 0 0 0.00114914258046782 0 0 0 0 0 0 0 0 0.0011659678763744 0 0 0 0 0 0 0
