"Col1a2" "Col3a1" "Eln" "Gsn" "Nr1d1" "Pfn1" "Timp1" "Sod3" "Sucla2" "Ugdh" "Xbp1" "Bgn" "Akt1" "Cdkn1b" "Col18a1" "Fkbp5" "Tnfrsf1a" "Socs2" "Tagln2" "Lgals1" "Skp1a" "Tfpi" "Sparc" "Calm1" "Dnmt3a"
"Col18a1" 0 0 0 0 0.00111767013258275 0.00105641920965281 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ceacam1" 0 0 0 0.00114549955834806 0.00137161734140114 0.00106549481897497 0 0 0 0 0 0 0 0.00108440063705395 0 0 0 0 0 0 0 0 0 0 0
"Lamb1" 0 0 0 0.00112102478702297 0.00125111369045644 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Agrn" 0 0 0 0 0.00110580523010999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Celsr1" 0 0 0 0.00115239049214407 0.00121391755966183 0 0 0 0 0 0.00107251718953877 0 0 0 0 0 0 0.00109560427532212 0 0 0 0 0 0 0
"Vegfd" 0 0 0 0.00115526946570187 0.00143392096893545 0 0 0 0 0 0 0 0.00107126710880606 0.00109587618702991 0.00106997049462003 0.00107361322638668 0 0 0 0 0 0 0 0 0
"Jag2" 0 0 0 0 0.00113890201510399 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il1rn" 0 0 0 0.00130264978191477 0.00161089060643512 0.00164624463949052 0 0 0 0 0 0 0.00124891822105599 0.00120613383457713 0 0.00147121974325394 0.00170077525032638 0.00111839811330576 0.00120573204417472 0 0 0 0 0 0
"Gas6" 0 0 0 0 0.00124412010361091 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fbn1" 0 0 0 0.00108801977764373 0.00129543919214004 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00106053519644674 0 0 0 0 0 0
"Timp1" 0 0 0.00234889399957674 0.00118388440290614 0.00143936165424758 0.00118860312839794 0 0 0 0 0 0 0 0 0 0.00105879971173012 0 0 0 0 0 0 0 0 0.00113162824595372
"F7" 0 0 0 0.00110091597427102 0.00139005216675812 0.00111508019263262 0 0 0 0 0 0 0.00106226222233261 0 0.00106093401016083 0.00113181067338592 0 0 0 0 0 0 0 0 0
"Nid1" 0 0 0 0 0.00149688185161656 0.00112635505900483 0 0 0 0 0 0 0.00105984257314167 0 0 0 0 0 0.00109404350783464 0 0 0 0 0 0
"Hspg2" 0 0 0 0.00107667406525214 0.00119286396743128 0 0 0 0 0 0 0 0.00105629432898793 0 0 0 0 0 0 0 0 0 0 0 0
"C3" 0 0 0 0 0.00111133766326485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Jam2" 0 0 0 0.00134792651464754 0.00158629010307033 0.00158318504728271 0 0 0 0 0.00107432850883856 0 0.00116152498274273 0.00131269300454654 0.00137715171747212 0.00124872178732167 0.00118157905810552 0.00118240441203488 0.00129988427258491 0 0 0 0 0.00106738484800608 0.00131985132509644
"Fgf1" 0 0 0 0.00120151186737656 0.00129576120453564 0.00106913997913822 0.00185060820883847 0 0 0 0 0 0 0 0 0 0 0 0.00106187338909939 0 0 0 0.00224052357432998 0 0
"Fgf2" 0.00225688661748847 0 0 0.00141316354573379 0.00163804383173369 0.00128777347451712 0.00209778431201249 0 0 0 0 0.00244344294139355 0.00123874982214777 0.0013686163412502 0.00117025777011331 0.00132397506182081 0.0012808240111231 0.00120515622642459 0.00124360771361438 0 0.00207144324912366 0.00229760965268396 0 0.00109276604038802 0
"Hgf" 0.00421155205897465 0 0 0.00126802825186628 0.00151059494954056 0.00122693967190418 0 0 0 0 0 0 0.00123646927752363 0.00129662378678043 0 0.00120418944173977 0.00112516707921352 0.00108594677078384 0.00110408446567662 0.00212741736301797 0 0 0 0 0
"Plau" 0.00450608085517301 0.00518332917048412 0 0.00153056012377104 0.00204190663678617 0.00161368535321471 0.00108590277607639 0 0 0 0.00161315226357101 0 0.00141508684854212 0.00154352066693451 0.00132869359411264 0.00148362520829518 0.00153670645519821 0.00138769975236579 0.00138478863960312 0 0 0 0 0.00122305469748439 0.00136466328225302
"Col1a1" 0 0 0.00106423227277598 0.00137961172576967 0.00162579401491527 0.0014147910999898 0 0 0 0 0 0 0.00120044376049272 0.00120666939703167 0.00131242326317063 0.00114071815932327 0.00126096958723495 0 0.00142931651634521 0 0 0 0 0.00124529279028093 0.00107806763342193
"Fgf7" 0 0 0.00228038570568765 0.00108280070263474 0.00118307958711903 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00107664503474142 0 0 0 0 0 0
"Cxcl12" 0 0 0 0.00436968484743069 0.00116630426077856 0 0 0 0 0 0 0 0 0 0 0 0 0.00106771792350353 0 0 0 0 0 0 0
"Plat" 0 0 0 0.00123618593677426 0.00150630051093888 0.00130243540425315 0.00376305192776554 0 0 0 0 0 0.00106751993036958 0 0.00114482175287887 0.00112908586763301 0.00110128651993705 0 0.00119455385018028 0 0 0 0 0 0.00115966148061523
"Hmgb1" 0.00475573633823363 0.0051460437121562 0.00125569858199799 0.00201262613336578 0.00220179393278763 0.00202998881384803 0 0 0 0 0.00115876871898168 0 0.0016468484383268 0.00184232725014443 0.0016833063062463 0.00186807562542792 0.00182735014867696 0.00154460784999913 0.00162298188378865 0.00117080265611021 0 0 0.00107393114551983 0.00176559653114774 0.0017616965557102
"Pdgfb" 0 0 0 0.00127245115851091 0.00140499864423559 0.00118626414954706 0 0 0 0 0 0 0.00480979228383522 0.00401482202501998 0.00109490141255649 0.00119584627273344 0.0012389531185969 0.00127142758233197 0.00117211390773972 0 0 0 0 0 0
"Mmp9" 0 0 0 0.00121038026108012 0.00133442257724261 0.00123962414145568 0.00379242755032811 0 0 0 0 0 0 0.00109729817026148 0 0.00109612075075737 0.00107824706931961 0 0.00106017316969769 0 0 0 0 0 0
"Lgals3" 0 0 0 0 0.0011785549629959 0 0 0 0 0 0 0 0 0 0 0 0.0041169125117841 0 0 0 0 0 0 0 0
"Vegfc" 0 0 0 0.00123394273481675 0.00141725358848953 0.00111873538085813 0 0 0 0 0 0 0.00118289120605146 0.0038422566628538 0.00122920169099925 0.00111996443219644 0.00109053226971891 0.0011377510239402 0.00109717758790858 0 0 0 0 0 0.00105838118897295
"Il1b" 0 0.00516287095521492 0.00695102019209374 0.00161723592312028 0.00195408907073293 0.00161909072056996 0.00519880978995069 0 0 0 0 0.00556725311719056 0.00143943659181359 0.00145040634535862 0.00140493659882632 0.00147210059049608 0.0028408585681371 0.00261758270145472 0.00135759262380025 0 0 0 0.00250634830949764 0.00252160299925607 0.00135521631481084
"Fn1" 0 0 0 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0 0 0 0 0.00135158214744123 0.00106334981541206 0.00368591735096147 0 0.00213892184284687 0.00394235125294655 0.00396342881260557 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Edn1" 0.00430284300218838 0.00507425261027675 0 0.00114938942726667 0.00144009230024471 0.00120159539202971 0.00195713366293793 0.00226081437859102 0 0 0 0 0 0.00117726477694659 0 0.00117034149532683 0.00108603426284791 0 0 0 0 0 0 0 0
"Spp1" 0.00421524682203956 0.00495879526473618 0.0049989028848838 0.00127344370334437 0.00144178557355239 0.00123120779421862 0.00377514477134519 0 0 0 0 0 0 0.00119945022822437 0.00106892208637945 0.00109218444612814 0.00113579762756704 0 0 0 0 0 0 0 0
