"Adamts5" "Bgn" "Cdk4" "Col1a1" "Col1a2" "Ier3" "Nfkb1" "P4hb" "Skp1a" "Tnc" "Nr1d1" "Sod3" "Vim" "Flot1" "Adamts1" "Clu" "Ctnna1" "Eif4e" "Grb10" "Itch" "Mapk9" "Birc2" "B2m" "Fkbp5" "Anxa7" "Capn2" "Ddr1" "Rnase4" "Adam10"
"Fgf1" 0 0 0 0 0 0.00146725544984714 0.00221082665601726 0 0 0 0.00129576120453564 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Areg" 0 0 0 0 0 0.00169293170709881 0 0 0 0 0.00169762704685565 0 0 0.001408128018745 0 0 0 0 0 0 0 0 0 0.00126426003137679 0 0 0.00145592529768762 0 0.00203081166482276
"Plau" 0 0 0.00151912697895031 0.00129092114277536 0.00450608085517301 0.0018288480910177 0.00135205006831689 0 0 0 0.00204190663678617 0 0.00153356217232183 0.00148073465063799 0 0 0 0 0.00163279656510333 0 0.00160622705526916 0.00159090292354501 0 0.00148362520829518 0 0.0015274131108169 0.00148465314553081 0 0
"Rspo3" 0 0 0 0 0 0.00128427794978579 0 0 0 0 0 0 0.0013478617685279 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0.00215437525223212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0 0 0 0.00137982727773468 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hdgf" 0 0 0 0 0 0 0 0 0 0 0 0 0.0026440144224984 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mdk" 0 0 0.00242713495676226 0 0 0.00164902991238226 0 0 0 0 0.00144264845084912 0 0 0.00129235673964619 0 0 0 0 0 0 0 0 0 0 0 0 0.00132561989333399 0 0
"Adam17" 0 0 0 0 0 0.00172829346361237 0.0014022933819906 0 0 0.00241628545664076 0.00160706962947874 0 0.00126344713866316 0.00137746827114527 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"F7" 0 0 0 0 0 0 0 0 0 0 0.00139005216675812 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Timp1" 0 0 0 0 0 0.00132350471958295 0 0.00192681678723294 0 0 0.00143936165424758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0 0 0 0 0 0.00151866047246203 0 0 0 0 0.00127152575039811 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hmgb1" 0 0 0.00144936663862757 0.00156865800988409 0.00475573633823363 0.00237430051533597 0.00294750827416793 0 0 0.0013653832452144 0.00220179393278763 0 0.00180066031488312 0.00208214105952824 0 0.00133133735129286 0 0.00150097475415144 0 0 0 0.00160126790180923 0.00183596454983768 0.00186807562542792 0 0.00188763939567353 0.00170999693689343 0.00188618252247893 0
