"Col1a2" "Col3a1" "Pdgfd" "Serpine2" "Gapdh" "Id3" "Sod3" "Flot1" "Creb3l2" "Dbp" "Ensa" "Gnas" "Cavin3" "Col18a1" "Tgm2" "Rab34" "Foxc1" "Ifitm3" "Rnase4" "Bgn" "Cd164" "Rgs2" "Sparc" "Tagln2" "Cdh13" "Osr1" "St5" "Tspan3"
"Wnt4" 0 0 0 0 0.00135156197291792 0.00159064063750903 0 0.00142311560227045 0 0.00116093505388069 0 0.00118969723007182 0 0.00115307374115637 0 0.00142759230253035 0 0 0 0 0 0 0 0.00125443769965013 0 0 0 0
"Gmfb" 0 0 0 0 0.0014149408589975 0.00149349716164946 0 0.00136957856631868 0 0 0 0.00122241312625556 0 0.00118815372716528 0 0.00130957091505768 0 0 0.00113867234689896 0 0 0 0 0.0011755126647806 0 0 0 0
"Tfpi" 0 0 0 0 0 0.0014788268531397 0 0.00115473442218762 0 0 0 0 0 0 0 0.00118038621919594 0 0 0 0 0 0 0 0 0 0 0 0.00195311245494495
"F7" 0 0 0 0 0 0.00120542606372831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf7" 0 0 0 0 0 0.00137098179705884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprf" 0 0 0 0 0.00115929385767465 0.00130679880186445 0 0.00119500309381047 0 0 0 0 0 0 0 0.0011565284755756 0 0 0 0 0 0 0 0 0 0 0 0
"Il1b" 0 0.00516287095521492 0 0 0.00162769845514528 0.00481314634896284 0 0.00167759745533054 0.00114250944794209 0.00134772629605776 0 0.00125859410083264 0 0.00140493659882632 0.0012445521488195 0.00154493163686205 0 0 0.00137052111366722 0.00556725311719056 0 0 0.00250634830949764 0.00135759262380025 0.00124416644059286 0 0.00122241907760394 0
"Il33" 0 0 0 0 0 0.00129373928315927 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rspo3" 0 0 0 0 0 0.00141752793489267 0 0.00123170076389249 0 0 0 0 0 0 0 0.001207779792031 0 0.00132256002059045 0.0011389151089891 0 0 0 0 0 0 0 0 0
"Jam2" 0 0 0 0 0.00137481463700003 0.0016848772690942 0 0.00120081771920837 0 0.00149328627470873 0 0.00130113362984204 0 0.00137715171747212 0.00114075861796367 0.00127773832133721 0 0.00124434265851746 0 0 0 0 0 0.00129988427258491 0 0 0.0011534844029026 0
