"Smad4" "Hmgb1" "Adamtsl1" "Cd3eap" "Dclk1" "Rgs2" "Fkbp5" "Plcb3" "Sparcl1" "Peg3" "Map3k5" "Rnase4"
"Agrn" 0 0 0 0 0 0 0 0 0 0 0 0.00102772299140456
"Lamb2" 0.0010282614662916 0 0 0 0 0 0.00110396252916652 0 0 0 0 0
"F7" 0 0 0 0 0 0 0.00113181067338592 0 0 0 0 0
"Sema3a" 0 0 0 0.00119725252389419 0 0 0.00102455491941729 0 0 0 0 0.00104610310110374
"Grn" 0 0 0 0.00104270761622001 0 0 0.00113227493081767 0 0 0 0 0
"Plau" 0.0011340942693293 0.00148633424661642 0 0.00143039867748945 0.00105354372527164 0 0.00148362520829518 0.00153540033853671 0 0.0019605434575254 0.00106724220426457 0.0012112997934298
"Fgf7" 0 0 0 0 0 0 0.00101659273803326 0 0 0 0 0
"Igf1" 0.00102763146386514 0 0 0.00113694923057847 0 0 0.00131762217363399 0.00104142368628086 0.00618964943592142 0 0 0.00440062635042898
"Adam15" 0 0 0 0.00113213126148597 0 0 0.00111062935953491 0.00104369107879638 0 0 0 0
"Hc" 0 0 0 0 0 0.00175817396763475 0 0 0 0 0 0
"Ltb" 0 0 0.00123772344743258 0.00113853117160065 0.00144410627788329 0.00107030305975437 0.0011314921955262 0.00110357630835742 0.00127227289502276 0 0 0
"Sfrp2" 0.00103388840700332 0 0.00170709492676713 0.00163263446745094 0.0010094130493797 0 0.00139376940632323 0 0 0 0 0
"Nampt" 0.00114378644615689 0.00437435117254694 0.00102183139934506 0.00136250834986385 0.00119530314961566 0 0.00156883478380891 0.00128248320438396 0 0 0.00109319120670457 0.00132524762353527
"Bmp3" 0.00135159173643755 0 0 0.00114942738557513 0 0 0 0 0 0 0 0
"Bmp6" 0.00436053371129393 0.00104679066950872 0.00101062412550097 0.00143352710609489 0.0011887340152884 0 0.00154467877450833 0.00128493213230171 0 0 0.00109883995381822 0.00128575398555579
