"Actb" "Bhlhe40" "Ier3" "Jag2" "Sema7a" "Socs3" "Vim" "Card19" "Cavin3" "Col18a1" "Susd6" "Tcim" "Ccnd3" "Dusp1" "Eif5a" "Gapdh" "Pfn1" "Selp" "Aldoa" "Fam129b" "Fkbp5" "Tnfrsf1a" "Ier5" "Ntn1" "Trim47" "Vasp" "Anxa2" "Gadd45g" "Klf13" "Tgfbr2" "Cd34" "Kit" "Vegfc" "Ldha" "Rps2" "Hif1a" "Tagln2" "B4galt1" "Pim3" "Cd164" "Ltbr" "Pkm" "Il1r1" "Serpinb9" "Emp1" "Pcbp1" "St5"
"Jag2" 0.00100912202880854 0.00122888470977224 0.00108653746602825 0.00111003115199631 0 0.00100305421188093 0.00101190305834297 0 0 0 0 0 0.000940551989421965 0.000914789431253201 0 0.000998002793059674 0 0 0 0 0 0 0 0 0 0.00101764729838746 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000974148077127916 0 0
"Ceacam1" 0.0012398742593733 0.00121384950801755 0.00128110579869455 0 0 0.0013258102304738 0 0 0 0.000972769325266849 0 0 0.00112128991165067 0.0011815292136107 0.000956778147140169 0.0010301262635544 0.00106549481897497 0 0.000948599280525283 0.00099811577045171 0.00104179945159016 0.000926423259863338 0.0010278288712636 0.000924299523376855 0.00103850356699174 0.00104103974298925 0.000951463393295171 0.000927660835139346 0 0.00103244339607142 0 0 0 0 0 0.000972604754304189 0.00103627246839293 0.000991037985786748 0 0 0 0 0 0 0 0.000968242169450273 0.00100062625604623
"Nucb2" 0 0.00106737957414718 0.000966760211901614 0 0 0 0 0 0 0 0 0 0 0.000965704590860949 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb2" 0 0.00090581256937122 0.000957075983192659 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dll1" 0.00179543481333771 0.0018167305577623 0.0016324055789768 0.00132056097576525 0.00154231496883586 0.00148315538576776 0.00146070062214552 0 0 0.00118395736710442 0 0 0.00113661164829119 0.00140300590269946 0.00114039120574871 0.00157721599466369 0.00130590349484466 0 0.00124446387229204 0.00135373731973406 0.0014611671673979 0.00129633828182705 0.0014122440813008 0.00108519374543161 0.00148245207377306 0.00151129731560591 0.00120521995610338 0.0015643619109394 0.00154644059627533 0.00135513370986 0 0.000982181960055665 0.000909056361965088 0.00105984292157507 0.00115097293757836 0.00134202141568859 0.00143885320562796 0.00123546255956474 0.00114263360955015 0.00091120075221267 0.000978944059605124 0.00120120726968297 0 0.000972641479550281 0.00102244253639839 0.00121920498266441 0.00107042357016235
"Wnt4" 0.00147917445796823 0.00167163685746515 0.00174788098222967 0 0 0.00134921969987296 0.00103848418698024 0 0 0.00115307374115637 0 0 0.00102275416070853 0.00144070606711253 0.00126083531049856 0.00135156197291792 0.00136607040711604 0 0.000983772146074779 0.00134483388761679 0.00125179426759569 0.00129339955177817 0.0014130623664571 0.001027106590842 0.00138217658213188 0.00123188564392629 0.0013155093364863 0.00113623881393065 0.00104501284744398 0.00119962435110357 0 0 0 0 0.00106832409401989 0.00113164822840234 0.00125443769965013 0.0011867885516981 0.00144257471481377 0 0.00113036906008647 0.00114967055433244 0 0 0.000939630855464112 0.0011653138611775 0
"Yars" 0.00103185817592897 0.00129226383481009 0.00144648496867395 0 0 0.00103032214014789 0.000949332187481903 0 0 0 0 0 0 0.00111268045120497 0 0.000947162989681565 0.000919183792091821 0 0.000941890404822139 0.000957120669424094 0.000929597147013273 0.000907663840536573 0.00101200316502565 0.00124746467164829 0.000966644839152685 0.000921807886634753 0.00098000849604127 0.000932434759514012 0 0.0010141089585502 0 0 0 0 0 0 0.00101458346670644 0.000910030898981361 0 0 0 0 0 0 0.000938190472426571 0 0
"Pcdh1" 0.00130990616096732 0.00124473003500201 0.00127197955683965 0 0.000920513047263588 0.00101527313567093 0.00104771033667529 0 0 0.00104704148537932 0 0 0.000936289845419301 0.00113524182426445 0.000961761721164189 0.00102257405557049 0.00104015187847841 0 0 0.00109442602441407 0 0.000961743715191251 0.00113335967884579 0.00108503341788483 0.00099608205647337 0.00102255171118882 0.000948686040387507 0.00102123168337378 0 0.0011015006654493 0 0 0 0 0 0 0.0011033243366148 0 0 0 0 0.000939007792620163 0 0 0 0.00109124200567093 0.00107961316695411
"Gdf2" 0.00213501201390166 0.00240689917141407 0.0022674094104881 0.000944892962533332 0.00135425399682187 0.00194821165911112 0.00167292497578037 0.00313399997178544 0.00138664197436191 0.00179664844664334 0.00221943608694417 0.00147939821577045 0.00188123892427941 0.00193034303881713 0.00128669807671179 0.00130290308017767 0.00147344931489927 0 0.00123366652712904 0.00157932165341485 0.00168171011270058 0.00141185169984845 0.00165053510137965 0.00176009811699551 0.00139568641549379 0.00164356409730834 0.00191281566599148 0.00177788910422887 0.00122433068076162 0.00230220235491782 0.00129286809639286 0.00153939199515205 0.00107717506906623 0.00144311784038355 0.00104015771036894 0.00133285090913111 0.00190341154480721 0.00125289773773666 0 0.00095800157472052 0.0010207641092373 0.00182755998317508 0.00131527467791327 0.00116000229804651 0.00161323049660709 0.00133555438752287 0.00189005948897606
"Vegfd" 0.00122379582036767 0.00133701104251214 0.00158322425384147 0 0 0.0012461150561939 0 0 0 0.00106997049462003 0 0 0.00107425311601811 0.00115347441675498 0.000929328944286353 0.00123642571285469 0.000984237995894516 0 0.00110039059966099 0.00102986078105812 0.00107361322638668 0.000990308032944089 0 0 0.0010358589614863 0.000978434388510791 0.00102925656855587 0.000908591191129813 0 0.00107735135971933 0 0 0 0.000995386771002785 0 0.00111276762829078 0.00101548255936024 0.00106807773421093 0 0 0.000946017179402239 0 0 0 0.000930501293492915 0.000972062413742657 0
