"Bhlhe40" "Clic1" "Cmip" "Ddit4" "Fam129b" "Fkbp5" "Gapdh" "Ier3" "Ldha" "Nr2f2" "Rps2" "Tubb5" "Ackr3" "Acvr1b" "Adamts1" "Anxa2" "Cd34" "Clu" "Cox5a" "Gpi1" "Grb10" "Hif1a" "Itgb3" "Nos3" "Plpp3" "Sparc" "Tsc22d3" "Aldoa" "Gnl3" "Hnrnpf" "Ipo7" "Klf10" "Jag2" "Sema7a" "Socs3" "Flot1" "Ier5" "Synpo" "Tagln2" "Vasp" "Ccnd3" "Ecscr" "Mal" "Upp1" "Tnfrsf1a" "Fas" "Ntn1" "Selp" "Fbln5" "Mustn1" "Akap13" "Igfbp5" "Nrp2" "Ssbp4" "Tcf3" "Pkm" "Actn1" "Zmiz1" "Pcbp1" "Npepps" "Smad1" "Emp1" "Rps6" "Col4a2"
"Itga4" 0.000903175258258626 0 0 0.00094454277221798 0 0 0 0.000987407534430331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nid1" 0.0013136383492254 0.00110809665820219 0.00115623909218259 0.0013821268457376 0.00111484280553914 0.00104001201535856 0.00113828781370819 0.00114554780772238 0.000983268504863189 0.00113605811591667 0.00106571463257479 0.00128907977510797 0 0 0 0.000909160543380614 0 0 0 0 0 0.000929662900915555 0 0.00105005571484361 0 0 0 0.000991775408878395 0 0.00103634601577029 0 0.00101263637579519 0.000949801234506003 0.000954767546617725 0.00104340070676619 0.00100820989907201 0.0011228327673881 0.00105623430048273 0.00109404350783464 0.00107240504471443 0.000893162775579387 0 0 0 0.00092322618536786 0.000936833607584682 0 0 0 0 0 0 0 0.00103129416659923 0.000915939186452261 0.000958523409090774 0 0.000982682547020122 0.000872562449419284 0 0.000995063371145367 0.000874367842968961 0 0.00124289887545935
"Pdgfb" 0.00162040003487655 0.00127832106437133 0.00128929568785328 0.0016172990088047 0.00118194491140881 0.00119584627273344 0.00126895285760113 0.00160091792808307 0.000907141263387772 0.00128789028254852 0.000939674124278452 0.00135624863183566 0 0 0 0.00105436861818193 0 0 0 0 0 0.00382549008940774 0 0.00155659722010263 0 0 0.000880387126719425 0.00106508640355763 0 0.000991115488527965 0 0.00108316043213263 0 0 0.00154618258854575 0.00136496490897051 0.00119230462118915 0.00150146850371953 0.00117211390773972 0.0012903746990906 0.00435528125167755 0 0 0 0.0012389531185969 0.00139153735256663 0.000966945969844427 0 0 0 0.000986027219731455 0 0.00091746983356751 0.00129761931749004 0.000872477686021107 0.00104480783019093 0.000967352942987273 0.00104713836023244 0.000977174627539914 0 0 0.00106873224548679 0.00408348214597277 0
"Vegfd" 0.00133701104251214 0.00111060183328328 0.0010704323367544 0.00138481859500287 0.00102986078105812 0.00107361322638668 0.00123642571285469 0.00158322425384147 0.000995386771002785 0.00125628412773668 0 0.00103689483084106 0 0 0 0.00102925656855587 0 0 0 0 0 0.00111276762829078 0 0.0011504533170673 0 0 0 0.00110039059966099 0 0 0 0.000878975514700839 0 0 0.0012461150561939 0.00114761218649177 0.000883894216434996 0.00111905846123063 0.00101548255936024 0.000978434388510791 0.00107425311601811 0 0 0 0.000990308032944089 0.000918357115306453 0 0 0 0 0.000938898650002802 0 0 0.000910102135277193 0 0.000878575485970217 0 0.000879271562247019 0.000972062413742657 0 0 0.000930501293492915 0 0
"Efnb2" 0.00090581256937122 0 0 0.000942353228787594 0 0 0 0.000957075983192659 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0.00126152810655526 0.00113552301876614 0.00109625198747895 0.00138164471193754 0.00109948046523274 0.00102640658673709 0.00108957201095851 0.00151866047246203 0 0.00111325424487702 0 0.00116128244547727 0 0 0 0.000959615836566029 0 0 0 0 0 0.000970733788729735 0 0.00119086461978766 0 0 0.000866229848034991 0.000945179351793901 0 0.000871866922767574 0 0.000885864664682437 0 0 0.00117949642551493 0.00114725578863451 0.00109793122244044 0.00128232290913111 0.000955594216723993 0.00105072431696286 0.00101586573256075 0 0 0 0.00105621639748307 0.00227973621320945 0.000915851582922452 0 0 0 0.000890465993329483 0 0 0.00100497028562472 0 0.000879615386107656 0 0 0.000881551312947359 0 0 0.000950473408317554 0 0
"Icam1" 0.00129345089814636 0.00114249551354306 0.000979471473780317 0.001325194891996 0.00108321993521124 0.0010358136467394 0.00105518590961986 0.00141859594051234 0 0.00115317710896552 0 0.00110481861262787 0 0 0 0.000944296745217409 0 0 0 0 0 0.000960204856686694 0 0.00107637206610987 0 0 0 0.000896380858846368 0 0 0 0.00089106428732529 0 0 0.00120807737808542 0.00114480765485801 0.00109600325737871 0.00119212559369386 0.000916108728016937 0.00100842390152386 0.00103934012442807 0 0 0 0.000994214559060387 0.00102747144474887 0.00088729781169635 0 0 0 0 0 0 0.000928016773757209 0 0 0 0 0.00102350886413998 0 0 0 0 0
"Fat1" 0.00128464518981499 0.00100184152585137 0.000975930253702095 0.00115003709082034 0.000996545609970272 0.00103583825618783 0.00102667250887726 0.00115866376838423 0 0.00120475681865084 0 0.000982379947621666 0 0 0.000876026686755877 0.000911250746852906 0 0 0 0 0 0 0 0.00103257190839016 0 0 0 0 0 0 0 0.000936392260682243 0 0 0.000940483791439137 0.000910849698678955 0.00106691451607504 0.000878678295024408 0 0.000994689334727791 0.000910782137488283 0 0 0 0.000863653199118749 0 0.000923084310046565 0 0 0 0 0.000876186950546518 0.000883887964881058 0.00087249214400526 0 0 0 0 0.000885965696937343 0 0 0 0 0.000869167098260053
"Pcdh7" 0 0 0 0.000892115850908567 0 0 0 0.000889245985761457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dsg2" 0 0 0 0 0 0 0 0.000898797235879182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
