"Ddit4" "Hif1a" "Itgb3" "Mal" "Ch25h" "Grrp1" "Abcg2" "Il1r1" "Socs3" "Eloa" "Nr2f2" "Susd6" "Col4a1" "Fas" "Flot1" "Fkbp5" "Cd34" "Ldha" "Sparc" "Atp1a1" "Sema7a" "Tmem252" "Tle1" "Prkch" "Pim3" "Picalm" "Col4a2"
"Thbs1" 0.00169503814517847 0 0 0 0 0 0 0 0.00151952642766016 0 0.0015278106544188 0 0 0.00427230015298579 0.00134764650773923 0.00133730517422962 0 0 0 0 0 0 0.00127995266266088 0 0.00122764959957809 0.00129452412739226 0
"Jag2" 0.00133476381668081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptn" 0.00144210099062737 0 0.00198754454698619 0 0 0 0 0 0 0 0.00129208857043457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nid1" 0.0013821268457376 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124289887545935
"Il1rn" 0.00162743971878496 0.00130563674955787 0 0 0 0 0 0 0.00154112690518722 0 0.00134929432488032 0 0 0.00147065925181035 0.00139091769224663 0.00147121974325394 0 0 0 0 0 0 0.00120847935569555 0 0 0 0
"Angpt2" 0.00164015595602889 0.00134673366897332 0 0 0 0 0 0 0.00178349189911576 0 0.00133032893831796 0 0 0.0014132706387981 0.00148518659539967 0.00134375682076803 0 0 0 0 0 0 0.00149490612174511 0.00127916103163295 0 0.00150510112994123 0
"Wnt7b" 0.00128039767112363 0 0 0 0 0 0.00213325981902541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0.00142549440057687 0 0 0 0 0 0 0 0.001193556247153 0 0 0 0 0 0 0 0 0 0.00224052357432998 0 0 0 0 0 0 0 0
"Dll1" 0.00180256525463579 0.00134202141568859 0 0 0 0 0 0 0.00148315538576776 0 0.00161656534142934 0 0 0.00128950426542588 0.00137998339654831 0.0014611671673979 0 0 0 0 0.00154231496883586 0 0.00136137473516813 0 0 0 0
"Pdgfb" 0.0016172990088047 0.00382549008940774 0 0 0 0 0 0 0.00154618258854575 0 0.00128789028254852 0 0 0.00139153735256663 0.00136496490897051 0.00119584627273344 0 0 0 0 0 0 0 0 0 0 0
"Pgf" 0.00186095098900815 0.00268630549914874 0 0 0 0 0 0 0.00143833709680886 0 0.00149235251749117 0 0 0.0013008563014057 0.00140476456738035 0.00132447180236221 0 0.00126471674064846 0 0 0 0 0.00124663647887166 0 0 0 0
"Inhba" 0.00191473095871967 0.0012974684621442 0 0 0 0 0 0 0.0014571689462524 0 0.0014929853947937 0 0 0.00127307380511791 0.00163048407760007 0.00121563053984332 0 0 0 0 0 0 0.00160015953963673 0.00130491199196569 0 0.00136966846381948 0
"Celsr1" 0.00130298764969844 0 0 0 0 0 0 0 0 0 0.00130334604285154 0 0 0 0.00123074854504376 0 0 0 0 0 0 0 0.00126503641023077 0 0 0 0
"Hdgf" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00263005821546405 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col4a1" 0.00133940338705448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dll4" 0.00211709920737251 0.00121433108199863 0 0 0 0 0 0 0.00185753483398235 0 0.00165201347439638 0 0 0.00158330804946428 0.00151874966681638 0.00164172896359844 0 0.00125021253953696 0 0 0.00181279464419215 0 0.00136563201743659 0.00123480971247503 0.00129801888007981 0 0
"Lgals3" 0.0012137764609276 0 0 0 0 0 0 0 0.00207635953436987 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0.00138164471193754 0 0 0 0 0 0 0 0 0 0 0 0 0.00227973621320945 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0.0012890493648742 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col1a1" 0.00174718468208684 0 0 0 0 0 0 0 0.00126670990784842 0 0.00136286903455671 0 0 0 0.00153440582588834 0 0 0 0 0 0 0 0 0.00120460155997324 0.00132754963775339 0.00129028686531741 0
"Npnt" 0.0012023621690513 0 0 0 0 0 0 0 0 0 0.00120826760384444 0 0 0 0 0 0.00120493828922997 0.00145827001953106 0 0 0 0 0 0.00159914432444009 0 0 0
"Trf" 0.00144940946874807 0.00379232108141822 0 0 0 0 0 0 0 0 0.00144116416053957 0 0 0 0.00128357967373958 0.001278907113207 0 0 0 0 0 0 0.00119352433196864 0 0 0 0
"Adam17" 0.00176024111956494 0.00119943326858578 0 0 0 0 0 0 0.00143038606989501 0 0.00143678123399036 0 0 0.00255338428853935 0.00137746827114527 0.0012549805402332 0.0025782194792716 0 0 0 0 0 0 0 0 0 0
"Angpt1" 0.00174620793419413 0.00141162496314313 0 0 0 0 0 0 0.00154703103618994 0 0.00140160874849521 0 0 0.00538668178970026 0.00143103323506749 0.00143291313638432 0 0 0 0 0 0 0.00140915629255289 0 0 0.00130574196232707 0
"App" 0.0012608662861088 0 0 0.00518723135277808 0.00528312893198521 0 0 0.00488445145776092 0 0 0 0 0 0 0 0 0 0 0 0 0.00788329166507948 0.00742615135688653 0 0 0 0.00412839816825544 0
"Tgfb1" 0.00198653105146687 0.00512547950130937 0 0 0 0 0 0 0.00567161006627657 0 0.00162778682397813 0 0.00485394028475774 0.00254613793277605 0.00167447646451182 0.00144117895663344 0 0 0.002517570023229 0 0.0024866622703711 0 0.00279977766415234 0 0.00121493041974544 0.0013382587291003 0
"Fgf10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00390165611301432 0 0 0 0 0 0 0
"Vegfa" 0.00165546803371112 0.00387769051653293 0.00208840243183315 0 0 0 0 0 0.00135991631917548 0 0.0014012070949917 0 0 0 0.00135138172487628 0.00119254421227772 0.00258382754283819 0.0024203298334835 0.00237301976242974 0 0 0 0 0 0 0 0
"Fgf7" 0.00128524232057812 0 0 0 0 0 0 0 0 0 0 0 0 0.00519764221138315 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0.0015963198371996 0 0 0 0 0 0 0 0.00250252372810684 0 0.00134104645187007 0 0.00466413216211115 0.00235802665943484 0.00130354576450227 0.00120418944173977 0 0 0 0 0 0 0 0 0 0 0
"Bmp5" 0.00200162481544074 0 0 0 0 0 0 0.00124037222550912 0.00158700969794174 0.00174655736919578 0.00184802817224603 0.00326083274138628 0.00136662232336151 0.00128998099045659 0.00139839718122763 0.00145815354990321 0 0.00132086141429189 0 0.00119689015866252 0 0 0.00158226293053138 0.00135164788465321 0 0.00150547884757393 0
"Il1b" 0.00198793173317504 0.00518861535750679 0.00214788904477665 0 0 0 0.00465369794826533 0.00694940989099363 0.00585863121138335 0 0.00168015273647397 0 0 0.00258825405817564 0.00167759745533054 0.00147210059049608 0 0.00125830803449759 0.00250634830949764 0 0 0 0.00129536412852589 0 0.00126321088339768 0.00124096161492405 0
"Cd24a" 0.00413030560598323 0 0 0 0.00539251770179806 0.00619499513618379 0 0 0 0 0 0 0 0 0 0.00427821351545805 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0.00171402362206595 0.00495312976158389 0.00560687642095529 0.00533752414006096 0 0 0 0 0.00148323621566164 0 0.00145946510936595 0 0 0.00125429501678053 0.00140039492187465 0.00132397506182081 0 0 0 0 0 0 0.00121127642132804 0 0 0 0
