"Tmem176b" "Cxcl12" "Selp" "Tmem252" "Fbln5" "Flot1" "Gapdh" "Ifitm3" "Tmem176a" "Cd164" "Kat2b" "Trim47" "Cd99l2"
"Ptprf" 0 0 0 0 0 0.00119500309381047 0.00115929385767465 0 0 0 0 0.00106141173379479 0
"Icam1" 0 0 0 0 0 0.00114480765485801 0.00105518590961986 0 0 0 0 0 0
"Tnfsf13b" 0 0 0 0 0 0.00114725578863451 0.00108957201095851 0 0 0 0 0.00109248594960138 0
"Psen1" 0 0 0 0 0 0.00109235448136537 0.00119071900061439 0 0 0 0 0.00103155681972297 0
"Manf" 0 0 0 0 0 0 0.00127641383298859 0 0 0 0 0.00112512087192132 0
"Thbs1" 0 0 0 0 0 0.00134764650773923 0.00166519298067158 0 0 0 0.00117362844180243 0.00141566431782471 0
"Clstn1" 0 0 0 0 0 0 0.00136035723912634 0.00110198681566124 0 0 0 0.00106151894220329 0
"Col4a1" 0 0 0 0 0 0.00103213978218691 0 0 0 0 0 0.0010838275440203 0
"Npnt" 0 0.00110286952386012 0 0 0 0.00113797405350217 0.00103730381709926 0 0 0 0 0 0.00174901271435686
"Fbn1" 0 0 0 0 0 0.00114286204758874 0.00111763774674035 0 0 0 0 0.00101756901089017 0
"Sema3c" 0 0 0 0 0 0 0.00106578458583153 0 0 0 0 0.00109063092643344 0
"Fgf2" 0 0.00241942277429492 0 0 0 0.00140039492187465 0.00271055838891752 0 0 0 0 0.00119570674362248 0
"Nid1" 0 0 0 0 0 0 0.00113828781370819 0 0 0 0 0.00103772158899914 0
"Hspg2" 0 0 0 0 0 0.00109577682059016 0.00103697127844957 0 0 0 0 0 0
"Lamb1" 0 0 0 0 0 0.00122282933119129 0.00113213055211194 0 0 0 0 0 0
"Ptprm" 0 0 0 0 0 0.00135248505169117 0 0 0 0 0 0.00103026627390847 0
"Jag2" 0 0 0 0 0 0.00103366400850365 0 0 0 0 0 0 0
"Rspo1" 0 0 0 0 0 0.00112506213479519 0 0.00101579158702438 0 0 0 0 0
"Grn" 0 0 0 0 0 0.00116487983097258 0.00130085433123705 0 0 0 0 0.0010568364459073 0
"Cxcl12" 0 0 0 0 0 0.00109040988550145 0 0 0 0.00195817923627071 0 0 0
"Calr" 0 0 0 0 0 0 0 0 0.00528202271467741 0 0 0 0
"Il1b" 0 0.00473051781521624 0.00255368933198285 0 0 0.00167759745533054 0.00162769845514528 0 0 0.00101583722350855 0.00112253630137503 0.00136860675650839 0
"Tgfb2" 0 0 0 0 0.00542735549584775 0.00172826100479266 0.00142447777506072 0 0 0 0.00110177333230252 0.00130689943454681 0
"Agrn" 0 0 0 0 0 0.00108997251800811 0 0.00109976302704622 0 0 0 0 0
"Selplg" 0 0 0.00261856202650119 0 0 0 0 0 0 0 0 0 0
"Cd24a" 0 0 0 0 0.00529758250155042 0 0 0 0 0 0 0 0
"App" 0 0.00433377164292448 0 0.00742615135688653 0 0.00103132768227301 0.00112337043964762 0 0 0 0 0.00105178065866189 0
"Apoe" 0 0.00439515923364999 0.00540174815378702 0 0 0.00104499134183857 0.00107257670323996 0 0 0 0 0 0
"Cadm1" 0.00568193305502571 0 0 0 0 0 0.00121257584869039 0 0 0 0 0 0
