"Ahnak" "Col4a1" "Tjp1" "Lrrfip1" "Fkbp5" "Il1r1" "Ncl" "Erc1" "Grrp1"
"Robo2" 0.00130495215643151 0 0 0 0.0011646594658469 0 0 0 0
"Col1a1" 0.00162707381338442 0 0 0.00131625400256107 0.00114071815932327 0 0 0 0
"Tgfb3" 0.00153851464613024 0.00106760603302712 0 0.00143363987114011 0.00111162962357845 0 0 0 0
"Rps19" 0.0010961330719689 0 0 0 0 0 0 0 0
"Cd24a" 0.001132295289089 0 0 0 0.00427821351545805 0 0 0 0.00619499513618379
"Bmp3" 0.00145515764210616 0 0 0.00126435731455402 0 0 0 0 0
"F11r" 0.00114601672333112 0 0 0 0 0 0 0 0
"Lamc2" 0.0012588637316747 0 0 0 0.00104909055761178 0 0 0 0
"Dll1" 0.00155051993693816 0 0 0.00133559976660234 0.0014611671673979 0 0.00119455472405579 0 0
"Inhba" 0.00161941823660818 0.0011315820055384 0.0011183883880418 0.00152639694803441 0.00121563053984332 0 0 0 0
"Itgam" 0.00129404308203525 0 0 0 0 0 0 0 0
"Thbs2" 0.00143000647458322 0 0 0 0 0 0 0.00112831680922396 0
"Serping1" 0.00109157795048092 0 0 0 0 0 0 0 0
"Cdh5" 0.00126835311405603 0 0 0.00108614071691098 0.00110513785013781 0 0 0 0
"Rspo1" 0.00112949199970775 0 0 0 0 0 0 0 0
"Hsp90b1" 0.00132738074208751 0 0 0 0 0 0 0 0
"Calm1" 0.00117043152499261 0 0 0 0 0 0 0 0
"Calm2" 0.00116560353876158 0 0 0 0 0 0 0 0
"Cdh1" 0.00134665491122934 0 0 0 0.00106304670053103 0 0 0 0
"Manf" 0.00119490125338881 0 0 0 0.00110624564770368 0 0.00114228969622703 0 0
"Nampt" 0.00186880674866776 0.00105734552741308 0 0.00132535282723347 0.00156883478380891 0.00261737852432151 0.00133684525727063 0 0
"Sema3c" 0.00117972185841072 0 0 0 0 0 0 0 0
"Sema3b" 0.00112111148157405 0 0 0 0 0 0 0 0
"Bmp5" 0.00180441129497414 0.00136662232336151 0.00132368487324293 0.0016779099626114 0.00145815354990321 0.00124037222550912 0 0 0
"Tnc" 0.00124633192093488 0 0 0.0010517541407796 0 0 0 0 0
"Hmgb1" 0.00229718206526458 0.0013546673719414 0.00476117588263312 0.00184897806762105 0.00186807562542792 0.00124468380222362 0.00148116152763584 0.00111886983828649 0
"Hgf" 0.00139070664011293 0.00466413216211115 0 0 0.00120418944173977 0 0 0 0
