Airway	d10	young "test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
Airway	d10	young "1"	"Edn1"	0.539020685128727	0.132900181203628	0.0351006702011832	0.0820206307566152	1	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs"
Airway	d10	young "2"	"Itgam"	0.550078866023035	0.13507369593906	0.0372741849366155	0.0729961140752479	2	"Granulocytes, MNP"	""
Airway	d10	young "3"	"Tnfsf13b"	0.544841950372628	0.135852865345197	0.0380533543427516	0.0706354648126899	3	"Fibroblasts"	""
Airway	d10	young "4"	"Hbegf"	0.539500232892954	0.133285616896148	0.035486105893703	0.0703533010544476	4	"Alveolum, Fibroblasts, Pericytes"	"Alveolum, Fibroblasts"
Airway	d10	young "5"	"Wnt5a"	0.534582486449865	0.128859070377575	0.0310595593751299	0.0702686238351514	5	"Fibroblasts, Pericytes"	""
Airway	d10	young "6"	"Tgfb1"	0.54227218834688	0.125782442465559	0.0279829314631143	0.067846140687916	6	"Lymphatic_ECs, MNP"	""
Airway	d10	young "7"	"Anxa1"	0.545790459857725	0.132739802179481	0.0349402911770365	0.067372038623849	7	"Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC"	"Airway, Alveolum, Fibroblasts, Pericytes"
Airway	d10	young "8"	"Hmgb1"	0.518454649390242	0.129788092363687	0.0319885813612421	0.0669055431653244	8	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
Airway	d10	young "9"	"Mmp9"	0.547680068597562	0.125112996595035	0.0273134855925896	0.0668850880517483	9	"Granulocytes"	""
Airway	d10	young "10"	"Adam17"	0.544558244410568	0.124727838957167	0.026928327954722	0.0667119097573638	10	"Lymphatic_ECs, MNP"	""
Airway	d10	young "11"	"Spp1"	0.541257516090785	0.12607086961395	0.0282713586115053	0.0661982403690068	11	"Fibroblasts, MNP, Pericytes"	"Fibroblasts, MNP"
Airway	d10	young "12"	"Hc"	0.54119717564363	0.131199064439323	0.0333995534368779	0.0657569802010617	12	"Alveolum"	""
Airway	d10	young "13"	"Rtn4"	0.53544207317073	0.127940696621061	0.0301411856186157	0.0657102413553081	13	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Vascular_ECs"
Airway	d10	young "14"	"Fgf18"	0.548925516598918	0.131914920142057	0.0341154091396125	0.0653982219696946	14	"Mesothelium, Pericytes"	"Pericytes"
Airway	d10	young "15"	"Col4a1"	0.553255737635502	0.126363034930244	0.0285635239277993	0.0647015634738169	15	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Fibroblasts, Mesothelium, Vascular_ECs"
Airway	d10	young "16"	"Efnb2"	0.543974953421407	0.130986040722874	0.0331865297204293	0.0645399811179058	16	"Capillary_ECs, Vascular_ECs"	""
Airway	d10	young "17"	"Fgf1"	0.545787284044712	0.126642099802068	0.0288425887996234	0.0643893971489533	17	"Airway, Alveolum, Capillary_ECs"	""
Airway	d10	young "18"	"Pecam1"	0.544408981199182	0.130758448050308	0.0329589370478634	0.0637577168957569	18	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
Airway	d10	young "19"	"Angpt2"	0.537573043699185	0.125264140803695	0.0274646298012498	0.0632525231204952	19	"Lymphatic_ECs, Pericytes, SMC"	""
Airway	d10	young "20"	"Fgf7"	0.539767001185636	0.127499538975103	0.0297000279726584	0.0630725546125475	20	"Fibroblasts"	""
Airway	d10	young "21"	"Cxcl16"	0.543275215955287	0.130422771519462	0.0326232605170175	0.0630328754820134	21	"Alveolum, MNP"	"Alveolum, MNP"
Airway	d10	young "22"	"Ghrl"	0.537260755420057	0.122489299324695	0.0246897883222501	0.0628835842103938	22	"Airway"	"Airway"
Airway	d10	young "23"	"Cxcl12"	0.547420181233061	0.127358501390578	0.029558990388133	0.0628663639821444	23	"Capillary_ECs, Fibroblasts, SMC, Vascular_ECs"	"SMC, Vascular_ECs"
Airway	d10	young "24"	"Efna1"	0.541432185806234	0.131871233488974	0.0340717224865293	0.0626734881847835	24	"Alveolum, Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	"Alveolum"
Airway	d10	young "25"	"Pkd1"	0.540413279132796	0.12609820694249	0.0282986959400454	0.0626204500279287	25	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
Airway	d10	young "26"	"Efnb1"	0.543791285569108	0.131584810593099	0.0337852995906538	0.0621522268748156	26	"Capillary_ECs, Vascular_ECs"	""
Airway	d10	young "27"	"Itgb2"	0.542830602134143	0.131390130754603	0.0335906197521582	0.0620475792982078	27	"Granulocytes, Lymphocytes, MNP"	""
Airway	d10	young "28"	"Osm"	0.53682037601626	0.128423049346562	0.0306235383441174	0.0615045378688319	28	"Granulocytes"	""
Airway	d10	young "29"	"Lgals3"	0.534862487296749	0.125062692595522	0.0272631815930773	0.0609274119830489	29	"Airway, Alveolum, Granulocytes, MNP"	"Airway, Alveolum, Granulocytes, MNP"
Airway	d10	young "30"	"Nectin1"	0.540596946985095	0.130901360869189	0.0331018498667435	0.0605734498335202	30	"Alveolum"	""
Airway	d10	young "31"	"Reln"	0.538893123306232	0.131300415736779	0.0335009047343338	0.0598567291056789	31	"Lymphatic_ECs"	""
Airway	d10	young "32"	"Tnc"	0.543922023204608	0.124927602089602	0.0271280910871566	0.0597813773866922	32	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	"Fibroblasts, Lymphatic_ECs, Pericytes"
Airway	d10	young "33"	"Gpi1"	0.539229759485096	0.12608276741002	0.0282832564075751	0.0595361010853676	33	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC"	"Alveolum, Capillary_ECs"
Airway	d10	young "34"	"Dusp18"	0.533732956470189	0.13070342369146	0.0329039126890146	0.058948617680034	34	"Airway"	""
Airway	d10	young "35"	"Apoe"	0.544577828590784	0.12667590136548	0.0288763903630345	0.0588603500881948	35	"MNP"	"MNP"
Airway	d10	young "36"	"Vegfa"	0.532158811822494	0.124046457298569	0.0262469462961239	0.0583623370430156	36	"Alveolum, Capillary_ECs, Vascular_ECs"	"Alveolum"
Airway	d10	young "37"	"Yars"	0.544121040819785	0.128283208615645	0.0304836976132004	0.0583198543679833	37	"Fibroblasts"	""
Airway	d10	young "38"	"Plxnb2"	0.53986227557588	0.127604796436144	0.0298052854336994	0.0579461754264993	38	"Airway, Alveolum, Fibroblasts, Mesothelium, Pericytes"	"Alveolum"
Airway	d10	young "39"	"Col18a1"	0.538372819275066	0.126774665977918	0.0289751549754725	0.057924171174635	39	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC, Vascular_ECs"	"Lymphatic_ECs, Pericytes, SMC, Vascular_ECs"
Airway	d10	young "40"	"Lamb2"	0.534606834349592	0.132140298578209	0.0343407875757643	0.057332658379506	40	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
Airway	d10	young "41"	"Pros1"	0.532428755928184	0.127492362677234	0.0296928516747894	0.0567024654561525	41	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs"	"Vascular_ECs"
Airway	d10	young "42"	"Efna5"	0.536735687669377	0.124611416279025	0.0268119052765796	0.0564197829408212	42	"Mesothelium"	""
Airway	d10	young "43"	"Vcam1"	0.540716569275066	0.127720206200082	0.0299206951976367	0.056304773608089	43	"Fibroblasts, Vascular_ECs"	""
Airway	d10	young "44"	"Pcdh7"	0.538636411754741	0.127481109258794	0.0296815982563486	0.0557419192642595	44	"Fibroblasts, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
Airway	d10	young "45"	"Itga4"	0.536793381605692	0.127457454271837	0.0296579432693922	0.0556857939508331	45	"Lymphocytes, MNP"	""
Airway	d10	young "46"	"Ptprf"	0.537375613990515	0.126214792923235	0.0284152819207901	0.055317988091986	46	"Airway, Alveolum, Mesothelium"	""
Airway	d10	young "47"	"F7"	0.536200563177508	0.125397315147861	0.0275978041454157	0.0545215317916831	47	"MNP"	""
Airway	d10	young "48"	"Nampt"	0.525579056571816	0.119666005808783	0.0218664948063378	0.054390418804619	48	"Lymphatic_ECs, MNP, SMC"	""
Airway	d10	young "49"	"Itgb1"	0.536693343495931	0.123051755386227	0.0252522443837822	0.0541671235045779	49	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum"
Airway	d10	young "50"	"Ncam1"	0.535665438685634	0.128547418122012	0.0307479071195671	0.053998148288524	50	"Fibroblasts, SMC"	"Fibroblasts"
