Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
Airway	6	27	7	23	18	35	28	0	1	33	32	1
Alveolum	11	36	10	26	22	45	30	0	1	40	39	1
MNP	10	32	7	27	23	39	28	2	3	37	33	4
Lymphocytes	2	13	3	14	9	16	12	0	0	16	15	1
Granulocytes	6	12	8	11	14	16	13	0	3	17	17	1
Fibroblasts	11	48	18	33	30	65	48	1	5	59	47	3
Pericytes	10	42	13	24	21	54	36	1	3	45	40	3
SMC	7	37	11	23	19	52	36	0	3	44	38	2
Mesothelium	6	32	13	25	21	47	32	0	2	40	38	2
Capillary_ECs	11	38	11	26	19	49	31	0	2	51	43	2
Vascular_ECs	10	38	9	29	23	49	32	0	1	49	44	2
Lymphatic_ECs	10	46	13	27	23	61	38	1	3	55	47	4
