Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
Airway	7	7	0	0	1	7	4	0	0	6	6	5
Alveolum	16	22	2	0	8	23	12	0	1	15	17	13
MNP	7	9	1	0	6	10	6	0	1	9	7	3
Lymphocytes	0	0	0	0	0	0	0	0	0	0	0	0
Granulocytes	1	1	2	0	0	1	1	0	0	1	1	1
Fibroblasts	12	15	2	0	7	22	12	0	3	15	14	8
Pericytes	11	11	2	0	4	12	11	0	2	11	11	7
SMC	1	2	0	0	1	3	2	0	1	2	3	2
Mesothelium	5	5	0	0	2	8	7	0	1	4	5	4
Capillary_ECs	8	10	2	0	4	13	9	0	2	11	11	7
Vascular_ECs	5	6	0	0	3	8	6	0	1	7	7	6
Lymphatic_ECs	11	13	1	0	4	13	11	0	2	13	13	9
