Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
Airway	3	2	0	1	0	2	0	0	0	1	1	0
Alveolum	3	2	0	0	0	3	0	0	0	1	1	0
MNP	7	2	1	2	0	5	0	0	0	1	0	0
Lymphocytes	2	1	0	0	0	2	0	0	0	0	0	0
Granulocytes	1	0	0	1	0	1	0	0	0	0	0	0
Fibroblasts	6	3	0	1	0	10	0	0	0	1	0	0
Pericytes	0	0	0	0	0	0	0	0	0	0	0	0
SMC	1	0	0	0	0	1	0	0	0	0	0	0
Mesothelium	1	0	0	0	0	2	0	0	0	0	0	0
Capillary_ECs	2	0	0	1	0	1	0	0	0	0	0	0
Vascular_ECs	0	0	0	0	0	0	0	0	0	0	0	0
Lymphatic_ECs	0	0	0	0	0	1	0	0	0	0	0	0
