test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Vegfa	0.556425139572247	0.309662000985294	0.0757608792570016	0.135830877872809	1	Alveolum, Capillary_ECs, Vascular_ECs	Alveolum
Tgfb1	0.559324466466057	0.305415563035434	0.0715144413071412	0.132241013712522	2	MNP	
Mmp9	0.551615724562022	0.306027365336278	0.0721262436079856	0.119748067962841	3	Granulocytes	
Fgf1	0.55930327537248	0.306355007279823	0.07245388555153	0.117991332552996	4	Airway, Alveolum, Mesothelium	
Itgam	0.561298609478969	0.307172247889038	0.0732711261607451	0.11620514529996	5	Granulocytes, MNP	
Cxcl12	0.554681690509858	0.298883751743532	0.0649826300152398	0.113457651034918	6	Capillary_ECs, Fibroblasts, SMC, Vascular_ECs	Capillary_ECs
Tnc	0.556697734094159	0.30257316046592	0.0686720387376272	0.112370979668566	7	Fibroblasts, Lymphatic_ECs, Pericytes	Fibroblasts, Lymphatic_ECs, Pericytes
Yars	0.566054565139495	0.300419611643563	0.0665184899152702	0.112063236753778	8	Fibroblasts, Mesothelium	
Lgals3	0.55135276235537	0.299252399755	0.0653512780267077	0.110278522015597	9	MNP	
Nectin1	0.563145124314661	0.301189098886916	0.0672879771586235	0.10998855592277	10	Alveolum	
Hmgb1	0.541515278778471	0.294312059046001	0.0604109373177085	0.109498330454056	11	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Gmfb	0.555350173189029	0.305338478483942	0.0714373567556495	0.109327677532119	12	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium	Alveolum
Spp1	0.554594518056737	0.298525100987612	0.0646239792593192	0.109096509470731	13	Fibroblasts, MNP	Fibroblasts, MNP
Selplg	0.555123332164612	0.299845953434684	0.065944831706392	0.10781109547862	14	Granulocytes, Lymphocytes, MNP	
Vwf	0.550136682553565	0.296653181544908	0.0627520598166151	0.106686393132728	15	Capillary_ECs, Vascular_ECs	Capillary_ECs
Ptn	0.551366247596738	0.297666970820748	0.063765849092455	0.106077348421932	16	Airway, Fibroblasts	Fibroblasts
Bmp4	0.549204756051983	0.293873403759592	0.0599722820312993	0.105643073606999	17	Alveolum, Fibroblasts	
Apoe	0.551935517428709	0.299672374388511	0.0657712526602184	0.105600102225877	18	MNP	MNP
Hbegf	0.554716366844801	0.29323707546685	0.0593359537385578	0.10530344151262	19	Alveolum, Fibroblasts, Pericytes	Alveolum, Fibroblasts
Il18	0.555280820519143	0.293109797701853	0.0592086759735602	0.104967202244109	20	MNP	
Itgb7	0.557033901896796	0.300463921423097	0.066562799694805	0.104330214646677	21	Lymphocytes	
Pecam1	0.558415175905343	0.297593430346284	0.0636923086179913	0.104294912870188	22	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Lamb2	0.558167625403114	0.297994369697775	0.0640932479694822	0.103764890456258	23	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	
Efna5	0.555920406252528	0.296038449251159	0.062137327522866	0.102969821261606	24	Lymphatic_ECs, Mesothelium	
Adam17	0.560377760139938	0.290267584292284	0.0563664625639912	0.102915607067621	25	Lymphatic_ECs, MNP	
Vcam1	0.55464749579068	0.301205128511235	0.0673040067829423	0.102913275031086	26	Fibroblasts	
Fgf2	0.552255310295403	0.289665169142854	0.0557640474145616	0.102435840868845	27	Fibroblasts, Mesothelium, SMC	SMC
Pgf	0.549001514199961	0.29597028019241	0.0620691584641174	0.102084032394622	28	Lymphatic_ECs, Pericytes	
Vegfc	0.551709158020058	0.296551170413585	0.0626500486852929	0.101944854499782	29	Vascular_ECs	
Sema5a	0.551747687281105	0.295914475596918	0.0620133538686257	0.101898824411934	30	Fibroblasts, Mesothelium, SMC	
Itgb2	0.553032638137031	0.298084082548984	0.0641829608206911	0.101468911261671	31	Granulocytes, MNP	
Reln	0.550024466080764	0.299425581316954	0.0655244595886618	0.101123332152333	32	Lymphatic_ECs	
Fgf18	0.560934989577835	0.291679123920086	0.0577780021917936	0.101119914350974	33	Mesothelium	
Itgb1	0.549834709470106	0.296568862120957	0.0626677403926644	0.100326021465559	34	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Pericytes
Pf4	0.547936180132002	0.295739510224173	0.0618383884958803	0.100171717649154	35	MNP	
Plxnb2	0.551556004207395	0.296070901858519	0.0621697801302268	0.0998625344387441	36	Airway, Alveolum, Fibroblasts, Mesothelium	
Aimp1	0.546350701039905	0.297572527066123	0.0636714053378302	0.0997630995388453	37	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum
Celsr1	0.554553580716874	0.294712466309166	0.0608113445808739	0.0996135517658416	38	Airway	
Bdnf	0.552926201053389	0.292764022934685	0.0588629012063928	0.0992855507083544	39	Fibroblasts	Fibroblasts
Lrpap1	0.549774507499721	0.29712213127748	0.0632210095491874	0.0987632711012362	40	Airway, Alveolum, Fibroblasts, MNP, Mesothelium, SMC	Airway, Alveolum, MNP
Hc	0.546058841887472	0.292851586539363	0.0589504648110705	0.0986333601318939	41	Alveolum	
Efna1	0.553203130117168	0.292574803600135	0.0586736818718429	0.09777045633638	42	Alveolum, Lymphatic_ECs	
Psap	0.553915921446545	0.29236485133609	0.0584637296077977	0.0977429273097969	43	MNP	
Esam	0.549731643696804	0.296017005849751	0.0621158841214584	0.0977372501694915	44	Alveolum, Capillary_ECs, Vascular_ECs	
Hgf	0.553517143594702	0.292388308698173	0.0584871869698809	0.0974901218822319	45	Pericytes	
Mapt	0.551026226867997	0.293338623592267	0.0594375018639747	0.0974193686257158	46	Capillary_ECs, Pericytes	
Pros1	0.550910639084852	0.296218376827237	0.0623172550989443	0.0973945059500708	47	Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs	Vascular_ECs
Col4a1	0.555363658430396	0.292505816291562	0.0586046945632691	0.0970911898760944	48	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, Vascular_ECs
Col1a1	0.5494407477759	0.293617064934095	0.0597159432058023	0.0966874443925585	49	Fibroblasts, Mesothelium, Pericytes, SMC	Fibroblasts, Mesothelium, Pericytes
Itga4	0.551193347537787	0.297536733675339	0.0636356119470468	0.0966507988458214	50	Lymphocytes, MNP	
Pdgfb	0.555932928262369	0.292691900369774	0.0587907786414816	0.0964545545514408	51	Capillary_ECs	
Efnb2	0.54962954115503	0.29406018713953	0.060159065411238	0.0961578265479255	52	Capillary_ECs, Vascular_ECs	
Tgfb3	0.551003109311365	0.288436002668581	0.054534880940289	0.0958869257349954	53	Fibroblasts, Lymphatic_ECs, Mesothelium	
Icam2	0.546645931502679	0.297155118338624	0.0632539966103319	0.0956511183135946	54	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Efnb1	0.552880447555896	0.293820709499824	0.0599195877715318	0.0949517039339516	55	Capillary_ECs, Vascular_ECs	
Pcdh1	0.547755092605078	0.294839203374538	0.0609380816462453	0.0947419357391354	56	Capillary_ECs	
Fbn1	0.548467883934454	0.295134600343585	0.0612334786152925	0.0945199989599028	57	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	Fibroblasts, Pericytes
Arf1	0.546382969296032	0.295312416658331	0.0614112949300383	0.0942646020788951	58	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Fn1	0.558472969796911	0.298372414231295	0.0644712925030027	0.0941305510086278	59	Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC	Fibroblasts, Lymphatic_ECs, MNP, Pericytes
Ncam1	0.552230747891484	0.292640132652637	0.0587390109243441	0.0938255126426475	60	Fibroblasts, SMC	Fibroblasts
Dusp18	0.542676935999042	0.293924886719197	0.0600237649909047	0.0934859068780214	61	Airway	
Lama1	0.547491167166904	0.294090795078939	0.0601896733506464	0.0931985114573225	62	Capillary_ECs	Capillary_ECs
Vegfd	0.547592306477153	0.291022698294627	0.0571215765663348	0.0925840021911543	63	Fibroblasts	
Ptprf	0.549300115973076	0.290903872080393	0.0570027503521007	0.0923635497332202	64	Airway, Alveolum, Mesothelium	
Cxcl16	0.546591508921451	0.292092875902708	0.0581917541744159	0.0923335945373531	65	Alveolum, MNP	Alveolum, MNP
Copa	0.549959929568513	0.292308205013017	0.0584070832847247	0.0920386645291275	66	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium	Alveolum
Col18a1	0.543869416628459	0.289101921865844	0.0552008001375512	0.0914807308527227	67	Fibroblasts, Lymphatic_ECs, Pericytes, SMC	Lymphatic_ECs, Pericytes
Dsg2	0.545204937139512	0.294484558391479	0.0605834366631861	0.0911399874034704	68	Airway	
Calm1	0.546599696389423	0.292662041722171	0.0587609199938784	0.0909724533004066	69	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, Pericytes
Cdh1	0.547234947580938	0.287784720515594	0.0538835987873016	0.090395518709782	70	Airway, Alveolum	
