test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Manf	0.62144742026461	0.24362202605784	0.0727129351487496	0.151702803235214	1	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium	
Sema3f	0.594995541454107	0.236793069124992	0.0658839782159009	0.132585403021968	2	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	Vascular_ECs
Slit2	0.594417485794865	0.246556314053072	0.0756472231439811	0.132144488495665	3	Fibroblasts	
Clec11a	0.592400771432127	0.234730928166173	0.0638218372570825	0.126754320401672	4	Fibroblasts	
Arf1	0.587068661606736	0.235279410894282	0.0643703199851911	0.126649906694052	5	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Fgf1	0.560077609804654	0.238386351813909	0.0674772609048181	0.124809191104045	6	Airway, Alveolum, Mesothelium	
Yars	0.586486717680727	0.233443172874537	0.0625340819654457	0.124445942436073	7	Fibroblasts, Mesothelium	
Rps19	0.587044035917216	0.234242405949927	0.0633333150408363	0.12308774717503	8	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Airway, Capillary_ECs, Lymphatic_ECs, Mesothelium, Vascular_ECs
Igf1	0.586521712081622	0.233442556811988	0.0625334659028974	0.121963780547491	9	Fibroblasts, MNP	Fibroblasts, MNP
Hebp1	0.587023298494463	0.229653562400698	0.0587444714916071	0.120902384681251	10	MNP	
Adam17	0.569374455642651	0.235126816635339	0.064217725726248	0.120063695704539	11	Lymphatic_ECs, MNP	
Mmp9	0.565045518642942	0.23566518374365	0.0647560928345589	0.11994878531396	12	Granulocytes	
Dll4	0.590485152005308	0.229310192913245	0.0584011020041538	0.119608586640276	13	Lymphatic_ECs	
Efnb1	0.581312730703825	0.231018713924114	0.0601096230150235	0.119513420533931	14	Capillary_ECs, Vascular_ECs	
Gpi1	0.587172348720501	0.230931449826543	0.0600223589174523	0.118129195508996	15	Airway, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC	Capillary_ECs
Lamb1	0.583087076438141	0.23077251925258	0.0598634283434889	0.116193290877267	16	Airway, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes	Lymphatic_ECs
Vcam1	0.57644332462362	0.230799658632902	0.0598905677238109	0.11576104126618	17	Fibroblasts	
Bdnf	0.555287265148686	0.232254857934347	0.0613457670252559	0.115600866542658	18	Fibroblasts	Fibroblasts
Hgf	0.561946570030276	0.233890454252953	0.0629813633438622	0.115088822134192	19	Pericytes	
C3	0.573520644104352	0.232872720560118	0.0619636296510276	0.115042152148657	20	Airway, Alveolum, Fibroblasts, Mesothelium	Mesothelium
Lgals3	0.578517066898926	0.236032977723566	0.0651238868144754	0.114759344057073	21	MNP	
Adam15	0.575066878188377	0.232403807504124	0.0614947165950332	0.113895707370173	22	Capillary_ECs, MNP, Vascular_ECs	Capillary_ECs, MNP
Apoe	0.581232373190658	0.246981339269676	0.0760722483605849	0.113728881471315	23	MNP	MNP
Pros1	0.567232020654473	0.232299133933493	0.0613900430244021	0.113287207839136	24	Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs	Vascular_ECs
Anxa1	0.575374051262909	0.228539110734794	0.0576300198257032	0.113204410391964	25	Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC	Airway, Alveolum, Fibroblasts, Mesothelium
Copa	0.57861945792377	0.229579769612966	0.0586706787038752	0.112867248523841	26	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium	Alveolum
Reln	0.574557515242007	0.2293414255842	0.0584323346751091	0.111939489818097	27	Lymphatic_ECs	
Fgf2	0.555878281697151	0.234827694691115	0.0639186037820245	0.111817322698897	28	Fibroblasts, Mesothelium, SMC	SMC
Trf	0.575898967276347	0.228285594331716	0.0573765034226249	0.111725946099878	29	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium	Airway
Sema7a	0.578265625648044	0.226010977284893	0.0551018863758024	0.111550147168822	30	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	Capillary_ECs, Lymphatic_ECs, Vascular_ECs
Nenf	0.580537669528432	0.223675303050038	0.0527662121409469	0.109922851296786	31	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
Itgb1	0.567804891958027	0.226439732029167	0.0555306411200761	0.109708591632655	32	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Pericytes
Ptprf	0.582275724772927	0.222917324747249	0.0520082338381583	0.109654477341636	33	Airway, Alveolum, Mesothelium	
Itga4	0.571166946621874	0.229965999771931	0.0590569088628401	0.109497582498083	34	Lymphocytes, MNP	
Vegfd	0.564547820496869	0.232195337760251	0.0612862468511605	0.109141401167325	35	Fibroblasts	
Il1b	0.555795332006137	0.226302701611064	0.055393610701973	0.108312737139092	36	Granulocytes	
Cxcl16	0.568631796690307	0.225568566967484	0.0546594760583929	0.108295855362414	37	Alveolum, MNP	Alveolum, MNP
Aimp1	0.578609089212392	0.229819242897573	0.0589101519884825	0.107958432917803	38	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum
Pcdh7	0.571010119862303	0.227068466398357	0.0561593754892665	0.107705074698438	39	Fibroblasts, Mesothelium, SMC, Vascular_ECs	Vascular_ECs
Dusp18	0.576814006055327	0.228820905939137	0.0579118150300459	0.107576047133289	40	Airway	
Lama1	0.573047571647797	0.229212137006	0.0583030460969093	0.107375143790023	41	Capillary_ECs	Capillary_ECs
Hsp90b1	0.571073628219486	0.229863654225837	0.0589545633167458	0.106184565504743	42	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
