test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Tgfb1	0.709296036298098	0.216371823350507	0.149911768254088	0.268016142529937	1	MNP	
Tgfb3	0.667629289996805	0.168846822104758	0.10238676700834	0.211949591344468	2	Fibroblasts, Lymphatic_ECs, Mesothelium	
Spp1	0.675037221223068	0.163181155629854	0.096721100533435	0.210942002005524	3	Fibroblasts, MNP	Fibroblasts, MNP
Fgf2	0.678280580173276	0.166117697562601	0.0996576424661827	0.198070772719974	4	Fibroblasts, Mesothelium, SMC	SMC
Fgf1	0.671363835305406	0.158922049762856	0.0924619946664377	0.187451627395764	5	Airway, Alveolum, Mesothelium	
Il1b	0.675687039751697	0.157279845738441	0.0908197906420223	0.18515476398068	6	Granulocytes	
Col4a1	0.692215365150239	0.146676971715976	0.0802169166195574	0.182502798982285	7	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, Vascular_ECs
Bmp4	0.674767737656789	0.144957283016283	0.0784972279198638	0.179698994538919	8	Alveolum, Fibroblasts	
Cxcl12	0.671356190381538	0.143394346556804	0.0769342914603853	0.175878954096979	9	Capillary_ECs, Fibroblasts, SMC, Vascular_ECs	Capillary_ECs
Itgb1	0.670979677881138	0.140851743733989	0.0743916886375701	0.175438533228135	10	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Pericytes
Timp1	0.671241516523546	0.147841620918083	0.0813815658216644	0.174934070128042	11	Fibroblasts, Mesothelium	Fibroblasts, Mesothelium
Itgb7	0.681088178463098	0.144423042040864	0.077962986944445	0.173661399146008	12	Lymphocytes	
Vwf	0.669406734795684	0.139099580894505	0.0726395257980859	0.173532123316455	13	Capillary_ECs, Vascular_ECs	Capillary_ECs
Fn1	0.680149764058539	0.144597475627799	0.0781374205313802	0.173038011747476	14	Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC	Fibroblasts, Lymphatic_ECs, MNP, Pericytes
Yars	0.683912977831631	0.143801460343511	0.077341405247092	0.173010890053638	15	Fibroblasts, Mesothelium	
Copa	0.678100924462418	0.146301209798992	0.0798411547025736	0.171643899942168	16	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium	Alveolum
Gmfb	0.675967990703775	0.14307591150088	0.0766158564044614	0.168076612983193	17	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium	Alveolum
Pcdh1	0.664745242468316	0.147771093047571	0.0813110379511518	0.167791485216376	18	Capillary_ECs	
C3	0.676887292798674	0.142225226867831	0.0757651717714123	0.167673024636266	19	Airway, Alveolum, Fibroblasts, Mesothelium	Mesothelium
Mmp9	0.683515441790589	0.140408917795456	0.0739488626990371	0.16697116947994	20	Granulocytes	
