test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Spp1	0.589123444708514	0.140325077806617	0.071462802357515	0.155641394727991	1	Fibroblasts, MNP, Pericytes	Fibroblasts, MNP
Hebp1	0.590836012861737	0.135013307023468	0.0661510315743662	0.13492686644187	2	MNP	
Hc	0.569865790577381	0.133179787125693	0.0643175116765908	0.133347329067728	3	Alveolum	
Cxcl12	0.554697329791696	0.128675985499376	0.0598137100502739	0.131607169170024	4	Capillary_ECs, Fibroblasts, SMC, Vascular_ECs	SMC, Vascular_ECs
Igf1	0.620578778135049	0.109329203064531	0.0404669276154289	0.122552520730307	5	Fibroblasts, MNP	Fibroblasts, MNP
Fn1	0.576296658744584	0.115007560238766	0.0461452847896637	0.122255604831344	6	Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC	Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC
Sell	0.570984202432546	0.124668724145133	0.0558064486960308	0.122161058446237	7	Granulocytes, Lymphocytes	
Il1b	0.565776597231932	0.109754780981889	0.0408925055327868	0.120632547885149	8	Granulocytes	
Icam2	0.637110303369216	0.103478464214787	0.0346161887656848	0.109371584498556	9	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Ptprf	0.581958618761359	0.11739935015356	0.0485370747044577	0.10933621488773	10	Airway, Alveolum, Mesothelium	
Arf1	0.603837550678038	0.115094018715206	0.0462317432661041	0.107347023038573	11	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs
Il1rn	0.600272612889697	0.103465251144119	0.0346029756950172	0.106269019278563	12	Granulocytes, MNP	
Thbs2	0.590870963232211	0.135711837613229	0.0668495621641275	0.104182678260608	13	Fibroblasts	Fibroblasts
Pglyrp1	0.582133370613728	0.107702825789944	0.038840550340842	0.102404321835784	14	Granulocytes	
Apoe	0.591779672864532	0.108819626856178	0.0399573514070764	0.101577535782394	15	MNP	MNP
Dusp18	0.603208444009507	0.100426201031211	0.031563925582109	0.100444372238866	16	Airway	
Aimp1	0.600901719558227	0.107732750466685	0.0388704750175837	0.100130718460989	17	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC	
F11r	0.583356633580317	0.105629582644287	0.0367673071951853	0.0978840575270617	18	Airway, Alveolum, Capillary_ECs, Lymphatic_ECs, MNP, Mesothelium, Vascular_ECs	Alveolum
Pcdh7	0.579057738012023	0.102081606922214	0.0332193314731122	0.0958832697189303	19	Fibroblasts, Mesothelium, Pericytes, SMC, Vascular_ECs	
Itgb2	0.582133370613729	0.100829309842136	0.0319670343930338	0.0932634706666459	20	Granulocytes, Lymphocytes, MNP	
Lrpap1	0.570424996504963	0.104328686284851	0.0354664108357497	0.0932461149794075	21	Airway, Alveolum, Fibroblasts, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, MNP
Pros1	0.579162589123444	0.0996811976416265	0.0308189221925247	0.0930061726627178	22	Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs	Vascular_ECs
Cxcl16	0.564832937229135	0.103471092651799	0.0346088172026969	0.0926091250533557	23	Alveolum, MNP	Alveolum, MNP
Clstn1	0.592443729903538	0.102273277726571	0.0334110022774696	0.0913362555112819	24	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, SMC, Vascular_ECs	
