test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Edn1	0.501841006252008	0.0526525858511122	0.0127693173686219	0.039686464876132	1	Capillary_ECs, Vascular_ECs	
Dll4	0.536826989343859	0.0510099089417711	0.0111266404592808	0.0360489846382669	2	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Tgfb1	0.50564932194408	0.0464790706835316	0.00659580220104136	0.0332383086041245	3	MNP	
Calr	0.534758088209045	0.0494444691180186	0.00956120063552833	0.032162834495451	4	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Pericytes, SMC
Ptn	0.510124847955674	0.0446247090645097	0.00474144058201941	0.0286930013437838	5	Lymphatic_ECs, Mesothelium	
Tnfsf13b	0.528732602422278	0.0481027142196511	0.00821944573716084	0.0282463590787896	6	Fibroblasts	
Il7	0.532853930363018	0.0474275052473775	0.00754423676488723	0.0260939511965903	7	Lymphatic_ECs	
Lgals3	0.519973750902652	0.0471070590588899	0.0072237905763996	0.0260665264460702	8	Airway, MNP	Airway
Vegfa	0.519891379258271	0.0457938146005387	0.0059105461180484	0.0250683292007731	9	Alveolum, Capillary_ECs, Vascular_ECs	Alveolum, Capillary_ECs
Hmgb2	0.510462571697653	0.0514126261768325	0.0115293576943422	0.0250457210190328	10	Granulocytes, Lymphocytes, MNP	
Pecam1	0.523839726745796	0.0525252243870543	0.012641955904564	0.0234914881419587	11	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Hc	0.522886961392411	0.0506896180954109	0.0108063496129206	0.0233748867097949	12	Alveolum	
Ptprf	0.536681466105445	0.0457779717396984	0.00589470325720814	0.0220965495875643	13	Airway, Alveolum, Mesothelium	
Camp	0.519457555264511	0.0437188838991858	0.00383561541669553	0.0216011084153607	14	Granulocytes	Granulocytes
Pgf	0.542551818628617	0.0448584572878263	0.00497518880533606	0.0198267855633372	15	Fibroblasts, Lymphatic_ECs, Pericytes, SMC	Fibroblasts
Bmp6	0.497439614720367	0.0450089134765499	0.00512564499405962	0.0194017778782734	16	Capillary_ECs, Vascular_ECs	
Nid1	0.532826473148217	0.0441375756958632	0.00425430721337298	0.0192039620117945	17	Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, SMC, Vascular_ECs	Lymphatic_ECs
Icam1	0.526423450658013	0.0446772645214029	0.00479399603891258	0.01777470333107	18	Airway, Alveolum, Capillary_ECs, MNP, Vascular_ECs	Airway, Alveolum, Capillary_ECs, MNP
Hmgb1	0.501948089389708	0.0489569191822375	0.00907365069974724	0.0169835206826087	19	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Ltb	0.521687081105867	0.044598553213935	0.00471528473144471	0.016926595069589	20	Lymphocytes	
Dll1	0.519647010046597	0.0443210323113669	0.00443776382887665	0.0163999934623242	21	Capillary_ECs, Vascular_ECs	Capillary_ECs
Lama2	0.527497027756499	0.0453143194001833	0.00543105091769301	0.0163596062054399	22	Fibroblasts, Pericytes, SMC	
Adam17	0.526920426245803	0.0441300997780297	0.00424683129553945	0.0161557057620341	23	Lymphatic_ECs, MNP	
Gpi1	0.521601963740004	0.0460185536704884	0.00613528518799811	0.0161265730818348	24	Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum
Pcdh1	0.515970488985538	0.0440612491076672	0.00417798062517697	0.0160689929662948	25	Capillary_ECs, Vascular_ECs	
App	0.506072163051923	0.0433608254444024	0.00347755696191216	0.0156724110501147	26	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Manf	0.525558548391967	0.0441434031249047	0.00426013464241441	0.0153388418663719	27	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Capillary_ECs
Angpt2	0.517980357108538	0.0440352576597391	0.00415198917724886	0.0151413614939274	28	Lymphatic_ECs, Pericytes, SMC	
Apoe	0.527173032621916	0.0445885020633932	0.00470523358090297	0.0149596900454966	29	MNP	
Itgam	0.522733200989554	0.0441561417116916	0.00427287322920132	0.0148386906166531	30	Granulocytes, MNP	
Mapt	0.536766583471305	0.0446862642781256	0.00480299579563536	0.0145039718551401	31	Capillary_ECs, Pericytes	
Efnb1	0.522972078758275	0.0438439916827761	0.00396072320028584	0.0141289617261871	32	Capillary_ECs, Vascular_ECs	
Dusp18	0.521601963740003	0.0437205423107939	0.00383727382830365	0.0141108915569267	33	Airway	
Ptprc	0.519347726405332	0.0430120007174991	0.00312873223500882	0.0137778058947491	34	Granulocytes, Lymphocytes, MNP	
Gmfb	0.524160976158903	0.044011239100494	0.00412797061800373	0.0136036478774117	35	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Vascular_ECs	Alveolum
Jam2	0.525355365002487	0.0433866083887859	0.00350333990629566	0.013420853731719	36	Capillary_ECs, Vascular_ECs	
Ccl2	0.519097865750695	0.0427179009460951	0.00283463246360478	0.012865257729224	37	MNP	MNP
Hebp1	0.525478922469062	0.0436188957286771	0.00373562724618681	0.0127918913349493	38	MNP	
Rps19	0.513734098840483	0.0441273123268673	0.00424404384437702	0.0124580299923651	39	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Tnf	0.509641600975284	0.0438591868310458	0.00397591834855558	0.0121449364113598	40	MNP	
Copa	0.518452621203014	0.0441139772793889	0.00423070879689866	0.0120773782358819	41	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum
Vcam1	0.517768936554615	0.043892941847101	0.00400967336461069	0.0120689121190542	42	Fibroblasts, Mesothelium, SMC, Vascular_ECs	Mesothelium
Plxnb2	0.519463046707468	0.0435547268273088	0.00367145834481849	0.0118053883797309	43	Airway, Alveolum, Fibroblasts, MNP, Mesothelium, Pericytes	
Sema3a	0.518677770364326	0.0426410516659136	0.00275778318342335	0.0117894248626225	44	Lymphatic_ECs	Lymphatic_ECs
Sema3f	0.518606381605868	0.0435606579256348	0.0036773894431445	0.0117554660084094	45	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Arf1	0.520595656817764	0.043775452012518	0.0038921835300277	0.01144974317145	46	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Granulocytes
Ccl7	0.515314261551934	0.0427830253706835	0.00289975688819328	0.0110623550747901	47	MNP	MNP
Col4a1	0.518059983031442	0.0430399466722434	0.00315667818975317	0.011038693004754	48	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	Capillary_ECs
Efnb2	0.518043508702568	0.043427903415209	0.00354463493271878	0.0109770119484989	49	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Tnfsf14	0.514185770023862	0.0426072881987644	0.00272401971627418	0.0109477882647189	50	Granulocytes	
Osm	0.5138727577752	0.0435264972722923	0.00364322878980205	0.0107911218310983	51	Granulocytes	
Tgfb3	0.502294050296127	0.0441324329042011	0.00424916442171083	0.0107550797891121	52	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
Anxa1	0.517473771495563	0.0433161177666549	0.00343284928416463	0.0104923812313087	53	Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, SMC	Alveolum
Mmp9	0.528186203847856	0.0437668646708953	0.00388359618840504	0.0102147611890881	54	Granulocytes	
Cxcl12	0.524292770789917	0.0432507797176361	0.00336751123514582	0.00999161191419842	55	Capillary_ECs, Fibroblasts, SMC, Vascular_ECs	Fibroblasts, SMC
Bmp4	0.498414345845588	0.0441045383084209	0.00422126982593062	0.00956568958428212	56	Alveolum, Fibroblasts, Mesothelium, Pericytes, Vascular_ECs	
Itga4	0.515428208993339	0.0428377058738812	0.00295443739139094	0.0093969644581376	57	Lymphocytes, MNP	
Itgb2	0.514995757860319	0.0429218034497323	0.00303853496724199	0.00854187491847706	58	Granulocytes, Lymphocytes, MNP	
Pcdh7	0.514394444856299	0.0424700708798754	0.00258680239738515	0.00847573300496536	59	Fibroblasts, Mesothelium, SMC, Vascular_ECs	
Tfpi	0.517129183449893	0.0422573383182351	0.00237406983574483	0.00814448135936901	60	Fibroblasts, Mesothelium	
