test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Tnf	0.585050194130612	0.127278079873879	0.063854656450456	0.135638825216739	1	MNP	
Tgfb1	0.581180698870194	0.100281407762154	0.0368579843387308	0.120154226283505	2	MNP	
Selp	0.61269413060968	0.103622542495581	0.040199119072158	0.10658525571649	3	Vascular_ECs	Vascular_ECs
Csf1	0.582944926370282	0.0983315904963303	0.0349081670729069	0.105000466531983	4	Capillary_ECs, Fibroblasts, Granulocytes, Mesothelium, Pericytes, SMC, Vascular_ECs	Fibroblasts, Granulocytes
Vegfa	0.559037129665256	0.0957795172102048	0.0323560937867813	0.0917269069408592	5	Alveolum, Capillary_ECs, Vascular_ECs	Alveolum, Capillary_ECs
Hbegf	0.572551943055021	0.102904516900543	0.0394810934771192	0.090790774434533	6	Alveolum, Pericytes, SMC	Alveolum
Il7	0.597063118682009	0.101231119809205	0.0378076963857815	0.090521859369523	7	Lymphatic_ECs	
Apoe	0.55754398544895	0.100960175171448	0.0375367517480251	0.0902518042929746	8	MNP	
Ccl2	0.569333922137886	0.0952453855768143	0.0318219621533909	0.0849738469245351	9	MNP	MNP
Cxcl12	0.603986673195984	0.0935978296399418	0.0301744062165183	0.0843916918577031	10	Capillary_ECs, Fibroblasts, SMC, Vascular_ECs	Fibroblasts, SMC
Tnfsf13b	0.586388121305396	0.0957745477917364	0.032351124368313	0.0820491361117406	11	Fibroblasts	
Adam17	0.574637535415721	0.0913623313048592	0.0279389078814357	0.081286394949376	12	Lymphatic_ECs, MNP	
Ptprc	0.576585399979017	0.0958498799769672	0.0324264565535438	0.0798939744352235	13	Granulocytes, Lymphocytes, MNP	
Angpt2	0.544586641715343	0.102689011037781	0.0392655876143579	0.0796889518127738	14	Lymphatic_ECs, Pericytes, SMC	
Anxa1	0.564721134002589	0.0917409734168178	0.0283175499933944	0.077980365114406	15	Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, SMC	Alveolum
Icam1	0.587428731330232	0.0900975198027725	0.0266740963793491	0.0732477738591575	16	Airway, Alveolum, Capillary_ECs, MNP, Vascular_ECs	Airway, Alveolum, Capillary_ECs, MNP
Tnfsf14	0.575704379306722	0.0882993076392257	0.0248758842158023	0.0729989017831498	17	Granulocytes	
Fgf2	0.550084822833955	0.082774425500398	0.0193510020769746	0.0702747954038026	18	Fibroblasts	
Ltb	0.563376648361259	0.0939023682901291	0.0304789448667056	0.0698188166539412	19	Lymphocytes	
Hc	0.559391286858581	0.0835969443480284	0.0201735209246049	0.0683207992163007	20	Alveolum	
Col4a1	0.587597065304837	0.0851644624940283	0.0217410390706049	0.0681444287527594	21	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	Capillary_ECs
Pgf	0.556951537304557	0.0870434178817041	0.0236199944582807	0.0679540545270966	22	Fibroblasts, Lymphatic_ECs, Pericytes, SMC	Fibroblasts
Serping1	0.574980761831472	0.0858890207216555	0.0224655972982321	0.0670681803574028	23	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	Lymphatic_ECs, Pericytes, SMC
Tgfb2	0.601820193081255	0.0892692651864704	0.025845841763047	0.0642131410250459	24	Fibroblasts, Mesothelium, Pericytes, SMC, Vascular_ECs	Pericytes
Ccl5	0.577656616181049	0.0842860930732918	0.0208626696498684	0.0641022273115015	25	Lymphocytes	
Pdgfb	0.57886118786946	0.0827356585536941	0.0193122351302707	0.0631006823198893	26	Capillary_ECs, Vascular_ECs	Capillary_ECs
Hgf	0.528387229353947	0.0845399466311938	0.0211165232077704	0.0621635043898605	27	Pericytes	
Pkd1	0.555781944104377	0.0789087767326086	0.0154853533091851	0.0620773841426988	28	Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	
Itgam	0.568549092308228	0.081224213783262	0.0178007903598386	0.0612372016286876	29	Granulocytes, MNP	
Ceacam1	0.564467539962923	0.0880877417062576	0.0246643182828342	0.0610428707168632	30	Alveolum, Capillary_ECs, MNP, Vascular_ECs	Alveolum, MNP
Lgals3	0.524600808003079	0.0793455748673268	0.0159221514439034	0.0601372069816896	31	Airway, MNP	Airway
Adam12	0.57314876351044	0.0836418679565617	0.0202184445331383	0.0600320518198574	32	Lymphatic_ECs	
Hspg2	0.571233691279861	0.082814286296984	0.0193908628735606	0.0595243008380132	33	Fibroblasts, Lymphatic_ECs, Pericytes, SMC	
Sema4d	0.546296215327572	0.0855322016146925	0.0221087781912691	0.0586163711001064	34	MNP	MNP
Npw	0.560254818286755	0.0813394241240402	0.0179160007006168	0.0580797478417934	35	Alveolum	
Vwf	0.560635209346249	0.0805798554477969	0.0171564320243735	0.0580018706789266	36	Capillary_ECs, Vascular_ECs	Capillary_ECs
