test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Hgf	0.492144000360678	0.0593510455093905	0.0286619893426273	0.0506750147228753	1	Pericytes	
Tgfb2	0.519578007709475	0.0381502434694322	0.00746118730266902	0.0345154985622848	2	Fibroblasts, Mesothelium, SMC	
App	0.522801559928768	0.0419166130017682	0.011227556835005	0.0317035299926276	3	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Anxa1	0.505049480399451	0.0365934336528263	0.00590437748606313	0.0165934509256919	4	Airway, Fibroblasts, Granulocytes, MNP, Mesothelium	
Ltb	0.500191609747304	0.0366041986509655	0.00591514248420235	0.0159149606062463	5	Lymphocytes	Lymphocytes
Dusp18	0.486846554405897	0.0392608702436631	0.00857181407689995	0.0130475713496139	6	Airway	
Gpi1	0.506537273731432	0.0372559214844663	0.00656686531770316	0.0124576430346337	7	Granulocytes, MNP	
Ntn1	0.496562295710195	0.0375790157139303	0.00688995954716715	0.0107585495175999	8	Lymphatic_ECs, Vascular_ECs	
Manf	0.492978066319515	0.0395242390697163	0.00883518290295308	0.0105432534509559	9	Airway, Fibroblasts, Mesothelium, Vascular_ECs	
Agrn	0.496528482225376	0.0354941204208047	0.00480506425404154	0.00996168710334227	10	Airway, Lymphatic_ECs, Mesothelium	Airway
Fgf1	0.495964924145083	0.0338475048059697	0.00315844863920656	0.00936719781885186	11	Airway	
Dsg2	0.503167196411261	0.0356466894234203	0.00495763325665709	0.0092993017696412	12	Airway	
Rps19	0.491107053492935	0.0361017726714738	0.00541271650471059	0.00871819643613604	13	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC, Vascular_ECs	
Vcam1	0.495728229751358	0.0354634243249673	0.00477436815820417	0.00835316771590779	14	Fibroblasts, Vascular_ECs	
Efnb2	0.50032686368657	0.0359680639235757	0.00527900775681249	0.00775141542308565	15	Capillary_ECs, Vascular_ECs	
Col4a1	0.496968057528008	0.0335500358819489	0.00286097971518576	0.00737571210745159	16	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Capillary_ECs, Fibroblasts, Mesothelium
Fn1	0.495401366064789	0.034412874865119	0.00372381869835584	0.00724754134495518	17	Fibroblasts, MNP	Fibroblasts, MNP
Pcdh7	0.497858479294878	0.0354981909316898	0.00480913476492666	0.00722466088918847	18	Fibroblasts, Mesothelium, SMC, Vascular_ECs	
Fgf2	0.499515340050947	0.0330078780724001	0.0023188219056369	0.00697025024553921	19	Fibroblasts, Mesothelium	
Ptprf	0.484930456932895	0.0351206506258096	0.00443159445904642	0.00677306599550994	20	Airway, Alveolum, Mesothelium	
Efnb1	0.498038817880571	0.0360964608729307	0.00540740470616757	0.0067679621040696	21	Capillary_ECs, Vascular_ECs	
Sema7a	0.497903563941302	0.034602995050275	0.00391393888351182	0.00641757712758079	22	Capillary_ECs	
Vegfc	0.496810261265528	0.0343852523688229	0.00369619620205974	0.00638755722016939	23	Vascular_ECs	
Mmp9	0.486666215820204	0.0335157063929445	0.00282665022618133	0.00614104681005412	24	Granulocytes	
Psap	0.483859696580329	0.0353578545308746	0.00466879836411146	0.00604621633386406	25	MNP	
Hspg2	0.492087644552649	0.0342916761109435	0.00360261994418034	0.00599349043060003	26	Fibroblasts, Lymphatic_ECs, Pericytes	Fibroblasts
Pdgfb	0.495457721872816	0.0345076561380812	0.003818599971318	0.00580398529724065	27	Capillary_ECs	
Serping1	0.490070106625188	0.0349347343531538	0.00424567818639061	0.00556492519356761	28	Fibroblasts, Mesothelium, Pericytes	
Nid1	0.483014359459888	0.0362064509072821	0.00551739474051897	0.0054530110160283	29	Fibroblasts, Lymphatic_ECs, Pericytes	
Aimp1	0.48885282117175	0.0343298354252451	0.00364077925848195	0.00512800610363801	30	Airway, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Vascular_ECs	
Itga4	0.490814003291177	0.0339773424462341	0.00328828627947093	0.00512066469004682	31	Granulocytes, Lymphocytes, MNP	Granulocytes
Nenf	0.487545366425465	0.0354038632497072	0.00471480708294407	0.0049503153046576	32	Airway, Alveolum, Fibroblasts, Mesothelium, SMC	
Plat	0.491580442280382	0.0342120738728412	0.00352301770607803	0.00459813661590002	33	Fibroblasts, Vascular_ECs	
C3	0.485099524356978	0.0344309418450861	0.00374188567832288	0.0045789043663449	34	Airway, Alveolum, Fibroblasts, Mesothelium	
Ptprc	0.479892247695048	0.0351631105455859	0.0044740543788227	0.00354906605683033	35	Granulocytes, Lymphocytes, MNP	
Ltf	0.516895471247267	0.0327534178926154	0.00206436172585225	0.00338690965058618	36	Airway	
Serpine1	0.482540970672438	0.0339163858973058	0.00322732973054262	0.00298872518637432	37	Fibroblasts, SMC	
