test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Tgfb1	0.623007353793096	0.168265474209553	0.108151389084498	0.204077000298129	1	Lymphatic_ECs, MNP	
Spp1	0.583116945074868	0.151237439825914	0.0911233547008591	0.188882415922735	2	Fibroblasts, MNP, Pericytes	Fibroblasts, MNP
Il1b	0.592389267142379	0.127357441966639	0.0672433568415842	0.155926421420193	3	Granulocytes	
Tgfb3	0.58661664179054	0.129855528058618	0.069741442933563	0.150586918794123	4	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	Pericytes
Tgfb2	0.592501720882998	0.126111256431586	0.065997171306531	0.143941087883905	5	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	Fibroblasts, Pericytes
Vwf	0.586289503636006	0.11964099664728	0.0595269115222256	0.14088422066357	6	Capillary_ECs, Vascular_ECs	Capillary_ECs
Edn1	0.589727861947696	0.110433208772856	0.0503191236478012	0.123946325235461	7	Capillary_ECs, Vascular_ECs	Capillary_ECs
Osm	0.560077559004141	0.120481097992393	0.0603670128673378	0.114973427398062	8	Granulocytes	
Fgf2	0.585604558124952	0.113083353211067	0.0529692680860122	0.114413112166396	9	Fibroblasts, Mesothelium	
Mmp9	0.608102121627242	0.102452325224914	0.0423382400998588	0.109565511773629	10	Granulocytes	
Pdgfb	0.577449958085427	0.0998738119270558	0.0397597268020009	0.104540472159013	11	Capillary_ECs	Capillary_ECs
Timp1	0.567632405760359	0.106854148836842	0.0467400637117875	0.0971298982909963	12	Fibroblasts, Mesothelium, Pericytes, SMC	Fibroblasts, Mesothelium, Pericytes, SMC
Hmgb1	0.56096015048355	0.102338580737685	0.0422244956126301	0.0962877931204752	13	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Bmp5	0.617422151342282	0.0888898214811029	0.0287757363560481	0.0949345259324738	14	Airway, Fibroblasts	
Rtn4	0.572583778036762	0.0956937343645652	0.0355796492395104	0.0949045584548283	15	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Capillary_ECs, Vascular_ECs
Hc	0.572829131652665	0.0999417971048194	0.0398277119797646	0.0922553006849021	16	Alveolum	
Tfpi	0.587028972172812	0.0955771548380656	0.0354630697130108	0.091492536781708	17	Fibroblasts, Lymphatic_ECs, Mesothelium, SMC, Vascular_ECs	SMC, Vascular_ECs
Fn1	0.570563018394706	0.0972644196510154	0.0371503345259606	0.0895403545956465	18	Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC	Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC
Dll4	0.591438521880771	0.0901755468972736	0.0300614617722188	0.0878775312676172	19	Capillary_ECs, Vascular_ECs	
Col1a1	0.573152862118089	0.102113152653823	0.0419990675287679	0.0864153915280075	20	Fibroblasts, Mesothelium, Pericytes, SMC	Fibroblasts, Pericytes
Pecam1	0.570627764487792	0.106698150535317	0.0465840654102625	0.0859405674969206	21	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Gmfb	0.593019689627674	0.0919690666445808	0.031854981519526	0.0855968889739228	22	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium	Alveolum
Ccl5	0.585631819637832	0.0902305243351912	0.0301164392101364	0.0850540776282541	23	Lymphocytes	
Lgals3	0.568129928370375	0.0931774003819653	0.0330633152569105	0.0847672207797135	24	Airway, Alveolum, Granulocytes, MNP	Airway, Alveolum, Granulocytes, MNP
Col5a3	0.591152275995559	0.0883420798201991	0.0282279946951442	0.0833091184672228	25	Fibroblasts	Fibroblasts
Inhba	0.572614447238749	0.0912350510511123	0.0311209659260575	0.0830493158041259	26	Fibroblasts, SMC	Fibroblasts
Bmp4	0.57894252591548	0.0877652945495732	0.0276512094245183	0.0816951281840008	27	Alveolum, Fibroblasts, Mesothelium, Pericytes, Vascular_ECs	
Tnc	0.586367880485525	0.0886628599435625	0.0285487748185076	0.0816362369426471	28	Fibroblasts, Lymphatic_ECs, Pericytes, SMC	Fibroblasts, Lymphatic_ECs, Pericytes
Gas6	0.58448002071875	0.089740646745319	0.0296265616202641	0.0803946549094182	29	Airway, Alveolum, Fibroblasts, Mesothelium, SMC	Mesothelium
Itgb7	0.589141739420832	0.08822359963796	0.0281095145129052	0.0803944511125349	30	Lymphocytes	
Pgf	0.567080360124583	0.0946141331139167	0.0345000479888619	0.0792321555226113	31	Lymphatic_ECs, Pericytes, SMC	
C3	0.579443456214604	0.0908273717310739	0.030713286606019	0.0786479667517466	32	Alveolum, Fibroblasts, Mesothelium	Mesothelium
Fgf7	0.567015614031503	0.0947080111054012	0.0345939259803464	0.0776325529670908	33	Fibroblasts	
Plat	0.566650991296763	0.0892090888817196	0.0290950037566648	0.0775858042853635	34	Capillary_ECs, Fibroblasts, Pericytes, Vascular_ECs	Capillary_ECs, Vascular_ECs
Copa	0.584054059580038	0.0888695789237869	0.0287554937987321	0.0773847639273854	35	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, SMC
Anxa1	0.567451798237546	0.0927831844872476	0.0326690993621927	0.0773536111260759	36	Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC	Airway, Alveolum, Fibroblasts, Pericytes
Efnb2	0.583011306712467	0.0887298299463883	0.0286157448213335	0.0772795571143889	37	Capillary_ECs, Vascular_ECs	
Cxcl12	0.570903787305682	0.0916593510910378	0.031545265965983	0.0771226708305116	38	Capillary_ECs, Fibroblasts, SMC, Vascular_ECs	SMC, Vascular_ECs
Cxcl16	0.56866152787149	0.091622756170392	0.0315086710453371	0.0767745674718488	39	Alveolum, MNP	Alveolum, MNP
