test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Vegfa	0.51075481609948	0.0551798199564184	0.0121983183242095	0.0484485794470289	1	Alveolum, Capillary_ECs, Vascular_ECs	Alveolum
Apoe	0.497045933751198	0.0453026996085709	0.00232119797636197	0.0235636738547981	2	MNP	MNP
Hgf	0.518346874302862	0.0482615432073866	0.00528004157517764	0.0202889184137845	3	Pericytes	
Cxcl12	0.529529868092484	0.0485545328332538	0.00557303120104489	0.0185996181164505	4	Capillary_ECs, Fibroblasts, SMC, Vascular_ECs	Capillary_ECs
Nampt	0.492166866962674	0.0551878156907232	0.0122063140585143	0.0180439897762661	5	MNP, SMC	
Adam17	0.513654910370532	0.0476056954366002	0.00462419380439127	0.0173123727561597	6	Lymphatic_ECs, MNP	
Pdgfb	0.516475845740891	0.0565529864924994	0.0135714848602904	0.0167364967287716	7	Capillary_ECs	
Fgf18	0.53633753355258	0.0473845423259871	0.00440304069377818	0.0159710746862419	8	Mesothelium	
Hc	0.498542756600772	0.0467900085438448	0.00380850691163589	0.0146175363772011	9	Alveolum	
App	0.506674534581646	0.047984717100521	0.00500321546831207	0.0137280034612344	10	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Vwf	0.510416591705585	0.0468212172508432	0.00383971561863423	0.0128423391398919	11	Capillary_ECs, Vascular_ECs	Capillary_ECs
Edn1	0.501953785594519	0.0469035386086936	0.0039220369764847	0.0105644418742177	12	Capillary_ECs, Vascular_ECs	
Pdgfa	0.527392577773619	0.0457828189857869	0.00280131735357797	0.00882004168937291	13	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	Alveolum, Fibroblasts
Ltf	0.483200322392614	0.0431674701082189	0.000185968476010011	0.00829755915724622	14	Airway	Airway
Areg	0.505724627773259	0.0463254477377133	0.00334394610550435	0.00788715541662827	15	Airway, Alveolum	Airway, Alveolum
Crlf1	0.507214254359138	0.0467933418738476	0.00381184024163863	0.00716184350352723	16	Alveolum, Fibroblasts	Alveolum, Fibroblasts
Jam3	0.516914817826582	0.0452298326846757	0.00224833105246679	0.00695250476691449	17	Lymphatic_ECs, SMC	
Angpt2	0.485409575348477	0.0467153503841301	0.00373384875192118	0.00685596142109363	18	Lymphatic_ECs, Pericytes	Lymphatic_ECs
Fgf2	0.503285094378998	0.0442638447526613	0.00128234312045236	0.00638366084256122	19	Fibroblasts, Mesothelium, SMC	SMC
Fgf7	0.517828743316465	0.0448608895214912	0.00187938788928231	0.00588801006143301	20	Fibroblasts	
Ptn	0.50002518692295	0.0460792888276135	0.00309778719540459	0.00458895065425283	21	Airway, Fibroblasts	Fibroblasts
Pkd1	0.494642381675434	0.0448015192258014	0.00182001759359244	0.00448446609966568	22	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	Pericytes
Lamb2	0.512503508178554	0.0441427141931895	0.00116121256098056	0.004442482010411	23	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	
Itgam	0.514388929267923	0.0440610866651172	0.00107958503290831	0.0041575171807277	24	Granulocytes, MNP	
Gas6	0.512100517411358	0.0446013664109875	0.00161986477877854	0.00327970105908652	25	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, SMC	Mesothelium
Flrt2	0.494714344312434	0.0447477327739899	0.00176623114178098	0.00311320861225114	26	Fibroblasts, Lymphatic_ECs, Mesothelium	
