test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Trf	0.574902723735409	0.208135397014372	0.0668489759038721	0.124307910760267	1	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium	Airway
Vegfa	0.577900725897659	0.202466721992176	0.0611803008816754	0.119091119431965	2	Alveolum, Capillary_ECs, Vascular_ECs	Alveolum
Vegfd	0.58360901169308	0.202023466451866	0.0607370453413653	0.115418060758163	3	Fibroblasts	
Fgf1	0.573568756009704	0.204267351392934	0.0629809302824337	0.115302296782683	4	Airway, Alveolum, Mesothelium	
Npnt	0.581580035572473	0.198113671977352	0.0568272508668516	0.11347244277147	5	Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
Wnt4	0.587406647169898	0.19776210459511	0.0564756834846094	0.111585825631979	6	Airway, Mesothelium, Pericytes	Mesothelium
Bdnf	0.569753683046279	0.198367062666555	0.0570806415560549	0.111073501675584	7	Fibroblasts	Fibroblasts
Sell	0.57731906116572	0.199593321864998	0.0583069007544975	0.11015784357457	8	Granulocytes, Lymphocytes	
Dll4	0.592580598554182	0.189497698080642	0.0482112769701414	0.108730605725016	9	Lymphatic_ECs	
Itgam	0.580497665867865	0.196240213240822	0.0549537921303221	0.108309211576079	10	Granulocytes, MNP	
Yars	0.58163608463658	0.199336242644689	0.0580498215341888	0.108007328833342	11	Fibroblasts, Mesothelium	
Adam17	0.578667975308518	0.195023079588998	0.0537366584784978	0.107620452400404	12	Lymphatic_ECs, MNP	
Hebp1	0.583529297468574	0.196432314473253	0.0551458933627522	0.107421394371762	13	MNP	
Cxcl16	0.580965986936831	0.195215164638165	0.0539287435276645	0.107299638025316	14	Alveolum, MNP	Alveolum, MNP
Hc	0.572542435369202	0.195088527205202	0.0538021060947015	0.106776570594745	15	Alveolum	
Selplg	0.575821928386732	0.194433708875961	0.0531472877654608	0.106544783121701	16	Granulocytes, Lymphocytes, MNP	
C3	0.582069530732326	0.195436271405957	0.0541498502954571	0.106139099714515	17	Airway, Alveolum, Fibroblasts, Mesothelium	Mesothelium
Efnb1	0.584617894846974	0.193774009978601	0.0524875888681009	0.104864280540427	18	Capillary_ECs, Vascular_ECs	
