"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Itgam"	0.625238275757306	0.159595040674405	0.0736575406744048	0.153106174880129	1	"Granulocytes, MNP"	""
"2"	"Nampt"	0.604132891330123	0.161313654094904	0.0753761540949043	0.152576725234267	2	"MNP"	""
"3"	"Anxa1"	0.606103623404663	0.15230662358776	0.06636912358776	0.140606172952545	3	"Airway, Fibroblasts, Granulocytes, MNP, Mesothelium"	""
"4"	"Mmp9"	0.616150861825602	0.147462974361505	0.0615254743615053	0.138369560150151	4	"Granulocytes"	""
"5"	"Ltb"	0.620124588982721	0.157257176529023	0.0713196765290225	0.134018409504919	5	"Lymphocytes"	"Lymphocytes"
"6"	"Itgb1"	0.604745888482912	0.145156597374084	0.0592190973740842	0.133008435601618	6	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"7"	"Fgf1"	0.607896908934974	0.146242461247442	0.0603049612474421	0.131332022371735	7	"Airway"	""
"8"	"Itgb2"	0.612316941036666	0.143490974007356	0.0575534740073557	0.129067102827833	8	"Granulocytes, MNP"	""
"9"	"Spp1"	0.599460132332105	0.148608680657103	0.0626711806571029	0.128216450960038	9	"Fibroblasts, MNP"	"Fibroblasts, MNP"
"10"	"Col18a1"	0.603017128968686	0.142866486110019	0.0569289861100191	0.126990384312365	10	"Lymphatic_ECs, Pericytes, SMC"	""
"11"	"Angpt2"	0.610738742226629	0.146672145084971	0.0607346450849707	0.126166501964491	11	"Lymphatic_ECs, Pericytes"	""
"12"	"Wnt5a"	0.611249573187291	0.144727247458669	0.0587897474586691	0.126043841939899	12	"Fibroblasts"	""
"13"	"Tnfsf14"	0.620396135967073	0.14165936494735	0.0557218649473495	0.125281801375082	13	"Granulocytes"	""
"14"	"Hbegf"	0.598839069427307	0.140968274905797	0.055030774905797	0.12467965636343	14	"Pericytes"	""
"15"	"Bmp4"	0.589152101262833	0.143420352654717	0.0574828526547171	0.12398905294876	15	"Vascular_ECs"	""
"16"	"Hmgb1"	0.601793823247108	0.147570020693681	0.0616325206936811	0.123897939871807	16	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"17"	"Itgal"	0.612402975724775	0.151478203691424	0.0655407036914237	0.123490682533414	17	"Granulocytes, MNP"	""
"18"	"Aimp1"	0.608275999279458	0.140767544648539	0.0548300446485387	0.12260658705437	18	"Airway, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Vascular_ECs"	""
"19"	"Pecam1"	0.605342754131679	0.140082888149885	0.0541453881498848	0.120685044540132	19	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"20"	"Lamb2"	0.609639111369218	0.137338863866788	0.0514013638667884	0.12067180065996	20	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"21"	"Reln"	0.606063294644612	0.145171396587069	0.059233896587069	0.120286339910817	21	"Lymphatic_ECs"	""
"22"	"Vcam1"	0.605616989700041	0.137693890950588	0.0517563909505879	0.118241086102138	22	"Fibroblasts, Vascular_ECs"	""
"23"	"Ptprf"	0.605910045356413	0.137737450498323	0.0517999504983233	0.118000699419165	23	"Airway, Alveolum, Mesothelium"	""
"24"	"Col1a1"	0.602554692520087	0.137720178858144	0.0517826788581444	0.117590345333821	24	"Fibroblasts, Pericytes"	"Fibroblasts"
"25"	"Efnb2"	0.605138421747421	0.136157202689538	0.0502197026895377	0.117259820099962	25	"Capillary_ECs, Vascular_ECs"	""
