"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Vegfa"	0.641140551542772	0.093921202765531	0.0571091941879756	0.148076826997168	1	"Alveolum, Capillary_ECs, Vascular_ECs"	""
"2"	"Tgfb1"	0.649638849361461	0.0889031851362118	0.0520911765586564	0.144395924246495	2	"Lymphatic_ECs, MNP"	""
"3"	"Lgals3"	0.636424878865941	0.0995127567861781	0.0627007482086227	0.134599172963974	3	"MNP"	""
"4"	"Itgam"	0.643291244123425	0.10102969179549	0.0642176832179342	0.132073611913772	4	"Granulocytes, MNP"	""
"5"	"Adam17"	0.642520309094515	0.0867110118165948	0.0498990032390394	0.126886879532077	5	"MNP"	""
"6"	"Anxa1"	0.626175765981594	0.089741885549921	0.0529298769723656	0.122634932581021	6	"Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC"	"Alveolum"
"7"	"Fgf1"	0.65274600572797	0.0928140227185896	0.0560020141410342	0.120322118673412	7	"Airway, Alveolum, Capillary_ECs"	""
"8"	"Vegfc"	0.620833258281247	0.0940136754432841	0.0572016668657287	0.118513688848164	8	"Vascular_ECs"	""
"9"	"Mmp9"	0.632541383720306	0.088414692323753	0.0516026837461976	0.118140062832001	9	"Granulocytes"	""
"10"	"Tnc"	0.641835834068849	0.0791319431843425	0.0423199346067871	0.115634922965405	10	"Fibroblasts, Lymphatic_ECs, Pericytes"	"Fibroblasts, Pericytes"
"11"	"Sema5a"	0.651712088189201	0.0806175431814716	0.0438055346039162	0.112071127445144	11	"Fibroblasts, Mesothelium, Pericytes, SMC"	"SMC"
"12"	"Lamb2"	0.643664102887406	0.0955073153610915	0.0586953067835361	0.111770802564486	12	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"13"	"Bmp3"	0.645211376695424	0.0898311151088459	0.0530191065312905	0.111699087174015	13	"Fibroblasts, Mesothelium, SMC"	""
"14"	"Itgb7"	0.64592827422231	0.0885397704512902	0.0517277618737348	0.111335977556095	14	"Lymphocytes, MNP"	""
"15"	"Itgb1"	0.6327413224778	0.0849568745699324	0.048144865992377	0.111082767557401	15	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Pericytes"
"16"	"Efna1"	0.649177729344163	0.0884021822173308	0.0515901736397754	0.110038441531878	16	"Lymphatic_ECs"	""
"17"	"Bmp5"	0.644793486679759	0.0746409780223304	0.037828969444775	0.109499877823763	17	"Airway, Fibroblasts, Pericytes"	""
"18"	"Hgf"	0.622947925860547	0.0749349103686566	0.0381229017911012	0.109480154954445	18	"Fibroblasts, Pericytes"	""
"19"	"Itgb2"	0.643082299115588	0.0863221082745583	0.0495100996970029	0.10904600342721	19	"Granulocytes, Lymphocytes, MNP"	""
"20"	"Tgfb3"	0.635448601329325	0.0856005979728735	0.0487885893953181	0.108821009962359	20	"Fibroblasts, Lymphatic_ECs, Mesothelium, SMC"	""
"21"	"Hc"	0.625628185961058	0.0776991028185781	0.0408870942410227	0.10736582778685	21	"Alveolum"	""
"22"	"Pik3cb"	0.650755624403333	0.0801533049709113	0.0433412963933559	0.107364516882074	22	"MNP"	""
"23"	"Pdgfb"	0.632564799971179	0.0744884396317819	0.0376764310542265	0.107227847332103	23	"Capillary_ECs"	""
"24"	"Pcdh1"	0.637653331411998	0.0891602497892179	0.0523482412116625	0.10721399508751	24	"Capillary_ECs, Vascular_ECs"	""
"25"	"Pkd1"	0.634272385035213	0.0762823137399412	0.0394703051623858	0.106840370482991	25	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"26"	"Itga4"	0.639767998991302	0.0887789675646435	0.0519669589870881	0.105719087014174	26	"Granulocytes, Lymphocytes, MNP"	""
"27"	"Vcam1"	0.632300016211248	0.0894518110108012	0.0526398024332458	0.105605963201215	27	"Fibroblasts, Vascular_ECs"	""
"28"	"Cxcl12"	0.635895311346075	0.0708963152270114	0.034084306649456	0.104473345879796	28	"Capillary_ECs, Fibroblasts, SMC, Vascular_ECs"	"Capillary_ECs"
"29"	"Pros1"	0.6293945998523	0.0837059942521845	0.0468939856746291	0.103348785148708	29	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs"	""
"30"	"Ereg"	0.647381883026819	0.0769543009127947	0.0401422923352393	0.103030086009302	30	"Fibroblasts"	"Fibroblasts"
"31"	"Il18"	0.635473818830275	0.0779898873461618	0.0411778787686064	0.102848062471886	31	"MNP"	""
"32"	"Apoe"	0.636534755120054	0.0741668301820993	0.0373548216045439	0.102715742014553	32	"MNP"	"MNP"
"33"	"Copa"	0.640182286506842	0.0873898832948884	0.050577874717333	0.102574218262643	33	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, SMC, Vascular_ECs"	""
"34"	"Nectin1"	0.635160401318518	0.077315389998232	0.0405033814206766	0.102361199648969	34	"Alveolum"	""
"35"	"Efnb2"	0.634796548804868	0.0832858586918273	0.0464738501142719	0.102266332706547	35	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"36"	"Bdnf"	0.636642830124104	0.072615088569075	0.0358030799915196	0.101818896823521	36	"Mesothelium"	""
"37"	"Calm2"	0.631040942414041	0.0841665471564961	0.0473545385789407	0.101791027243468	37	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Granulocytes"
"38"	"Calm1"	0.633798656267448	0.084382702196321	0.0475706936187656	0.101662051404133	38	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum"
"39"	"Efnb1"	0.640556946520882	0.0816303634594365	0.0448183548818811	0.101303910190398	39	"Capillary_ECs, Vascular_ECs"	""
"40"	"Plxnb2"	0.638979051461715	0.0837723201689275	0.0469603115913721	0.101235831846302	40	"Airway, Alveolum, Fibroblasts, Mesothelium"	""
"41"	"Ncam1"	0.631222868670858	0.081898139800923	0.0450861312233676	0.100871172729566	41	"Fibroblasts, Mesothelium, SMC"	""
"42"	"Fgf18"	0.647630455536142	0.0713572763195954	0.03454526774204	0.100534628212477	42	"Mesothelium"	""
"43"	"Gmfb"	0.624408739665328	0.0846016293664874	0.047789620788932	0.10051311590291	43	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Vascular_ECs"	""
"44"	"Vwf"	0.639287065223263	0.0738746517337064	0.037062643156151	0.100182084951078	44	"Capillary_ECs, Vascular_ECs"	""
"45"	"Selplg"	0.629007331087772	0.0737925313325303	0.0369805227549749	0.0994491278866205	45	"Granulocytes, Lymphocytes, MNP"	""
"46"	"Hspg2"	0.625412035952954	0.0872387389494633	0.0504267303719079	0.0992331811874469	46	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	""
"47"	"Efna5"	0.632707098726522	0.0798286649697205	0.0430166563921651	0.099216021748996	47	"Lymphatic_ECs, Mesothelium"	""
"48"	"Bmp4"	0.634569591296362	0.0687187390100903	0.0319067304325349	0.0990508471468428	48	"Alveolum, Fibroblasts, Pericytes, Vascular_ECs"	""
"49"	"Fgf2"	0.641171172793918	0.072362817342787	0.0355508087652316	0.0984501890251095	49	"Fibroblasts, Mesothelium"	""
"50"	"Reln"	0.631860511194774	0.0805650407482563	0.0437530321707009	0.0976845652821293	50	"Lymphatic_ECs"	""
"51"	"Adam9"	0.630250193634387	0.0840792280597743	0.0472672194822189	0.0974269870769012	51	"Alveolum, Fibroblasts, MNP, SMC"	"Alveolum"
"52"	"Pecam1"	0.62777707729164	0.0816835497249944	0.044871541147439	0.0972728135570331	52	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"53"	"Fat1"	0.637727182664772	0.0835717542612949	0.0467597456837395	0.0972508791669477	53	"Airway, Alveolum, Fibroblasts, Pericytes, SMC"	""
"54"	"Rtn4"	0.624448367166817	0.080324355678687	0.0435123471011316	0.0971754567782826	54	"Airway, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"55"	"Hbegf"	0.644591746672195	0.0725453230705203	0.0357333144929649	0.0970985201901588	55	"Alveolum, Fibroblasts, Pericytes"	"Alveolum, Fibroblasts"
"56"	"Pgf"	0.630345659887962	0.0731289966383877	0.0363169880608323	0.0969698470480154	56	"Lymphatic_ECs, Pericytes, SMC"	""
"57"	"Vtn"	0.618941945710327	0.0828737520504216	0.0460617434728662	0.0966889886807498	57	"Pericytes"	""
"58"	"Fn1"	0.635641335086553	0.0776174186547006	0.0408054100771452	0.096069922099842	58	"Fibroblasts, MNP"	"Fibroblasts, MNP"
"59"	"Gpi1"	0.603631320136172	0.0794935758472891	0.0426815672697337	0.0956645610351956	59	"Airway, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium"	""
"60"	"Col4a1"	0.62974944611561	0.082381432812925	0.0455694242353696	0.0956511535068243	60	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Fibroblasts, Mesothelium, Vascular_ECs"
"61"	"Rps19"	0.626800799755033	0.0843370916141287	0.0475250830365733	0.0955039859315777	61	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Capillary_ECs"
"62"	"Angpt2"	0.607331087774922	0.0736243374113275	0.0368123288337721	0.0954018222617672	62	"Lymphatic_ECs, Pericytes, SMC"	""
"63"	"Dsg2"	0.624677125925395	0.0799663429853342	0.0431543344077788	0.094935459942837	63	"Airway"	""
"64"	"Arf1"	0.613572419258967	0.0833531337567576	0.0465411251792022	0.0948864123659126	64	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"65"	"Celsr1"	0.614514473044292	0.0769742166862486	0.0401622081086932	0.0943253835722045	65	"Airway"	""
