"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Adam17"	0.609894675925927	0.172337175628343	0.0674420707332384	0.135008120582472	1	"MNP"	""
"2"	"Fgf1"	0.603868055555552	0.163668492517467	0.0587733876223618	0.129758091789993	2	"Airway, Alveolum, Capillary_ECs"	""
"3"	"Bdnf"	0.599571759259259	0.16362751771551	0.0587324128204053	0.128683845264781	3	"Mesothelium"	""
"4"	"Hgf"	0.603173611111111	0.166119192610077	0.0612240877149723	0.127688213423592	4	"Fibroblasts, Pericytes"	""
"5"	"Arf1"	0.616696759259258	0.156596824470468	0.0517017195753635	0.120576441444065	5	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"6"	"Sema3f"	0.620738425925929	0.155466669254785	0.0505715643596799	0.119747446688761	6	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"7"	"Tgfb1"	0.599324074074073	0.159870610266477	0.0549755053713719	0.119293796274104	7	"Lymphatic_ECs, MNP"	""
"8"	"Apoe"	0.615307870370372	0.167863111347268	0.0629680064521628	0.118699152818537	8	"MNP"	"MNP"
"9"	"C3"	0.611548611111112	0.156034511426775	0.0511394065316701	0.117637702349828	9	"Airway, Alveolum, Fibroblasts, Mesothelium"	""
"10"	"Manf"	0.62333101851852	0.150234185462433	0.0453390805673279	0.11726446470316	10	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, SMC, Vascular_ECs"	""
"11"	"Trf"	0.612856481481483	0.15459801385706	0.0497029089619548	0.117199041736764	11	"Airway, Alveolum, Lymphatic_ECs, MNP, Mesothelium"	""
"12"	"Fgf2"	0.602539351851852	0.166560913204543	0.0616658083094379	0.116703768071539	12	"Fibroblasts, Mesothelium"	""
"13"	"Lamb1"	0.617340277777781	0.151905217802313	0.0470101129072077	0.116465577845577	13	"Airway, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes"	""
"14"	"Efnb1"	0.618525462962963	0.152988763782636	0.0480936588875306	0.116170617951368	14	"Capillary_ECs, Vascular_ECs"	""
"15"	"Vcam1"	0.612951388888892	0.15439915262198	0.049504047726875	0.11602769568565	15	"Fibroblasts, Vascular_ECs"	""
"16"	"Nucb2"	0.607053240740741	0.155808719791091	0.0509136148959859	0.115768572589117	16	"Airway, Alveolum, Fibroblasts, MNP, Mesothelium, SMC"	""
"17"	"Mmp9"	0.607903935185188	0.159925743715018	0.0550306388199134	0.115580849975146	17	"Granulocytes"	""
"18"	"Vegfd"	0.601995370370373	0.155364584729565	0.0504694798344603	0.115279824360893	18	"Fibroblasts"	""
"19"	"Hebp1"	0.615171296296298	0.152371638557415	0.0474765336623103	0.114906983522347	19	"MNP"	""
"20"	"Anxa1"	0.611543981481483	0.153945996402309	0.0490508915072038	0.114736341202926	20	"Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC"	"Alveolum"
"21"	"Itga4"	0.609791666666664	0.156221196337122	0.0513260914420166	0.113850573894148	21	"Granulocytes, Lymphocytes, MNP"	""
"22"	"Penk"	0.61168055555556	0.153474106665069	0.0485790017699639	0.112787963707211	22	"Fibroblasts"	""
"23"	"Rps19"	0.612476851851853	0.153541684402365	0.0486465795072603	0.112414457502595	23	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Capillary_ECs"
"24"	"Sema7a"	0.611837962962962	0.151633947242067	0.046738842346962	0.11192799190049	24	"Capillary_ECs, Lymphatic_ECs"	"Capillary_ECs"
"25"	"Pgf"	0.589062500000001	0.156434313412314	0.0515392085172095	0.111194199038672	25	"Lymphatic_ECs, Pericytes, SMC"	""
"26"	"Pik3cb"	0.600178240740741	0.152982128407064	0.0480870235119591	0.111162908646335	26	"MNP"	""
"27"	"Dsg2"	0.606828703703703	0.152215962068556	0.0473208571734509	0.11102515084552	27	"Airway"	""
"28"	"Itgam"	0.600493055555556	0.153654542112006	0.0487594372169008	0.110770418453688	28	"Granulocytes, MNP"	""
"29"	"Wnt4"	0.605773148148148	0.152193724243941	0.0472986193488363	0.110760129940442	29	"Airway, Pericytes"	""
"30"	"Copa"	0.614268518518518	0.150818170670959	0.0459230657758545	0.110546215152249	30	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, SMC, Vascular_ECs"	""
"31"	"Npw"	0.604298611111109	0.152288399199254	0.0473932943041495	0.110484419602809	31	"Alveolum"	""
"32"	"Efnb2"	0.606784722222223	0.150758858617431	0.0458637537223264	0.109617057411453	32	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"33"	"Clec11a"	0.612516203703705	0.148646360022063	0.0437512551269583	0.109525434459461	33	"Fibroblasts"	""
"34"	"Hspg2"	0.599648148148149	0.154863302886204	0.0499681979910989	0.109074730911211	34	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	""
"35"	"Pvr"	0.60886226851852	0.151625466760122	0.0467303618650169	0.108737810187515	35	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
"36"	"Reln"	0.610643518518515	0.150338787017463	0.0454436821223584	0.108691710231962	36	"Lymphatic_ECs"	""
"37"	"Efna1"	0.605108796296296	0.150965155494421	0.0460700505993165	0.108444459114069	37	"Lymphatic_ECs"	""
"38"	"Pcdh7"	0.606766203703705	0.150662465865171	0.0457673609700658	0.107758368312048	38	"Fibroblasts, Lymphatic_ECs, Mesothelium, SMC, Vascular_ECs"	"Fibroblasts"
"39"	"Plxnb2"	0.606962962962961	0.150282023556606	0.0453869186615007	0.107720488168808	39	"Airway, Alveolum, Fibroblasts, Mesothelium"	""
"40"	"Tnfsf13b"	0.59995138888889	0.14990782934828	0.0450127244531753	0.107574326814443	40	"Fibroblasts"	""
"41"	"Il1b"	0.594270833333332	0.156841785463247	0.0519466805681421	0.107343454867878	41	"Granulocytes"	""
"42"	"Cxcl16"	0.607962962962965	0.15179724274892	0.0469021378538153	0.107254358702541	42	"MNP"	"MNP"
"43"	"Ptn"	0.600803240740743	0.15607099682285	0.0511758919277455	0.106920325294218	43	"Airway"	""
"44"	"Calm2"	0.60424537037037	0.15006562658896	0.0451705216938548	0.106795345581551	44	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Granulocytes"
"45"	"Col1a1"	0.596811342592595	0.149673220227298	0.0447781153321936	0.106767524115423	45	"Fibroblasts, Mesothelium, Pericytes, SMC"	"Fibroblasts"
"46"	"Calm1"	0.604645833333334	0.14898826454029	0.0440931596451856	0.106665896193315	46	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum"
