"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Fgf2"	0.666133120241588	0.157305373517347	0.105694705003319	0.205290643244213	1	"Fibroblasts"	""
"2"	"Il1b"	0.683247459322185	0.140729389087018	0.08911872057299	0.205200566832414	2	"Granulocytes, MNP"	"MNP"
"3"	"Tgfb1"	0.661262568572566	0.137806770054701	0.0861961015406722	0.197295927720537	3	"MNP"	""
"4"	"Mmp9"	0.66436334756668	0.124333363317047	0.0727226948030182	0.177663688682999	4	"Granulocytes"	""
"5"	"Tgfb3"	0.653109848466271	0.129197245458624	0.0775865769445956	0.171994258921334	5	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	""
"6"	"Vwf"	0.651655056108165	0.118122253787234	0.066511585273206	0.159675717970225	6	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs"
"7"	"Plat"	0.643894529392443	0.124482059265219	0.0728713907511911	0.15796765861142	7	"Capillary_ECs, Fibroblasts, Pericytes, Vascular_ECs"	""
"8"	"Tnf"	0.664620724479241	0.120344992218021	0.0687343237039922	0.154497758646996	8	"MNP"	""
"9"	"Lgals3"	0.630512155543898	0.116124990790379	0.0645143222763507	0.152549257271015	9	"Airway, MNP"	"Airway"
"10"	"Pdgfb"	0.658601781538476	0.116265860646766	0.0646551921327372	0.15074616538015	10	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs"
"11"	"Osm"	0.668036483790149	0.111822517544252	0.0602118490302234	0.147302816785456	11	"Granulocytes"	""
"12"	"Hbegf"	0.656545217446725	0.112764587497526	0.0611539189834974	0.147090786951206	12	"Alveolum, Pericytes, SMC"	"Alveolum"
"13"	"Hc"	0.661680499654372	0.114391378177734	0.0627807096637058	0.146958081630718	13	"Alveolum"	""
"14"	"Bmp4"	0.639606139787526	0.118278317966396	0.0666676494523681	0.146142180946269	14	"Alveolum, Fibroblasts, Mesothelium, Pericytes, Vascular_ECs"	""
"15"	"Cxcl12"	0.675673224466976	0.115135137833663	0.0635244693196346	0.145983145182191	15	"Capillary_ECs, Fibroblasts, SMC, Vascular_ECs"	"Fibroblasts, SMC"
"16"	"Fgf1"	0.660468376956673	0.111979536332685	0.0603688678186564	0.145170532656002	16	"Airway, Alveolum, Capillary_ECs"	""
"17"	"Tnfsf13b"	0.656601595246617	0.116054635207847	0.0644439666938188	0.14516851974335	17	"Fibroblasts"	""
"18"	"Edn1"	0.645115231320567	0.110668338697156	0.0590576701831274	0.14419649608315	18	"Capillary_ECs, Vascular_ECs"	""
"19"	"Col4a1"	0.672194959334444	0.117734128302499	0.0661234597884708	0.144170682189186	19	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Capillary_ECs"
"20"	"Il1rn"	0.655633367813671	0.111804263836173	0.0601935953221448	0.143291941098599	20	"Granulocytes, MNP"	"Granulocytes"
"21"	"Apoe"	0.649377883234214	0.112206779452626	0.0605961109385973	0.14116207751558	21	"MNP"	""
"22"	"Timp1"	0.657716895201018	0.107781935996474	0.0561712674824451	0.140832298195048	22	"Fibroblasts, Mesothelium, SMC"	"Fibroblasts, Mesothelium, SMC"
"23"	"Npw"	0.655614983748482	0.113088929798742	0.0614782612847136	0.140047987947448	23	"Alveolum"	""
"24"	"Gas6"	0.651634220834294	0.120520052061382	0.0689093835473539	0.139646536918528	24	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, SMC"	""
"25"	"Pdgfa"	0.651675891382035	0.106715014471885	0.0551043459578571	0.139329488745733	25	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	""
"26"	"Sell"	0.647522318255131	0.118484461269591	0.0668737927555629	0.139049314734754	26	"Granulocytes, Lymphocytes"	""
"27"	"Pecam1"	0.660612998269441	0.115643821428611	0.064033152914583	0.138607306500381	27	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"28"	"C3"	0.659176589976512	0.109296637416142	0.0576859689021133	0.138538340334581	28	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium"	"Mesothelium"
"29"	"Nectin1"	0.667198170417829	0.108381501914673	0.0567708334006441	0.137850197735279	29	"Alveolum"	""
"30"	"Serping1"	0.662039601727606	0.105501934518748	0.0538912660047192	0.137666103692063	30	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Lymphatic_ECs, Pericytes, SMC"
