"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Tnf"	0.586860670194004	0.0771120734542885	0.0277293574049058	0.0613820165870792	1	"MNP"	""
"2"	"Apoe"	0.522246272246271	0.0622237050283422	0.0128409889789595	0.0581485451228341	2	"MNP"	""
"3"	"Cxcl12"	0.525092191758857	0.0594383515131865	0.0100556354638038	0.0555006116609449	3	"Capillary_ECs, Fibroblasts, SMC, Vascular_ECs"	"Fibroblasts, SMC"
"4"	"Il1b"	0.511824595157928	0.0624578313404851	0.0130751152911024	0.0553679997472391	4	"Granulocytes, MNP"	"MNP"
"5"	"Csf1"	0.539361872695207	0.0639879985338161	0.0146052824844334	0.0483572299441616	5	"Capillary_ECs, Fibroblasts, Granulocytes, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Fibroblasts, Granulocytes"
"6"	"Sell"	0.502805836139168	0.0781222451400096	0.0287395290906269	0.0453612258807323	6	"Granulocytes, Lymphocytes"	""
"7"	"Adam17"	0.549502966169632	0.0641461109088985	0.0147633948595158	0.0451174176179929	7	"Lymphatic_ECs, MNP"	""
"8"	"Igf1"	0.535193201859867	0.0657097202265551	0.0163270041771723	0.0416236407827707	8	"Fibroblasts"	"Fibroblasts"
"9"	"Edn1"	0.516634599967932	0.0537475550155889	0.00436483896620615	0.0370392447779113	9	"Capillary_ECs, Vascular_ECs"	""
"10"	"Selp"	0.522566939233605	0.0605767130441816	0.0111939969947989	0.032906237865257	10	"Vascular_ECs"	"Vascular_ECs"
"11"	"Ltb"	0.533589866923199	0.0551521200983172	0.00576940404893452	0.0311011167445608	11	"Lymphocytes"	""
"12"	"Hgf"	0.513427930094595	0.0570241595290207	0.00764144347963795	0.029995825105189	12	"Pericytes"	""
"13"	"Cxcl16"	0.539602372935705	0.0558397901912094	0.00645707414182668	0.0283999910881795	13	"MNP"	"MNP"
"14"	"Hebp1"	0.542728876062209	0.0549663332515292	0.00558361720214647	0.0258614455730048	14	"MNP"	""
"15"	"Il1rn"	0.515993265993266	0.0562568848684897	0.00687416881910698	0.0247525412808612	15	"Granulocytes, MNP"	"Granulocytes"
"16"	"Mmp9"	0.494588744588743	0.0563940395801044	0.00701132353072172	0.0242198597632662	16	"Granulocytes"	""
"17"	"App"	0.549422799422798	0.0617417440431135	0.0123590279937308	0.0231305795056443	17	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"18"	"Npw"	0.532267115600447	0.0543712425471049	0.00498852649772216	0.0221988683336367	18	"Alveolum"	""
"19"	"Nid1"	0.533509700176366	0.0519695743037199	0.00258685825433714	0.0220656225990399	19	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, SMC, Vascular_ECs"	"Lymphatic_ECs"
"20"	"Ptprc"	0.513708513708513	0.0553163724672957	0.00593365641791298	0.0219605703470993	20	"Granulocytes, Lymphocytes, MNP"	""
"21"	"Hbegf"	0.519360269360268	0.0542168316743522	0.00483411562496944	0.0216466275701282	21	"Alveolum, Pericytes, SMC"	"Alveolum"
"22"	"Ccl2"	0.520121853455185	0.0537714969524423	0.00438878090305962	0.0212448494175214	22	"MNP"	"MNP"
"23"	"C3"	0.520683020683019	0.0543417783001354	0.00495906225075272	0.0207738534821731	23	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium"	"Mesothelium"
"24"	"Sema4d"	0.524210357543689	0.054208800798844	0.00482608474946127	0.019873972413231	24	"MNP"	"MNP"
"25"	"Fgf2"	0.506373256373255	0.0563908795593348	0.00700816350995204	0.0195967226416089	25	"Fibroblasts"	""
"26"	"Vegfa"	0.512185345518677	0.0563033647926601	0.00692064874327736	0.0189748035801337	26	"Alveolum, Capillary_ECs, Vascular_ECs"	"Alveolum, Capillary_ECs"
"27"	"Icam1"	0.526976110309443	0.055120215914785	0.00573749986540227	0.0187395056452404	27	"Airway, Alveolum, Capillary_ECs, MNP, Vascular_ECs"	"Airway, Alveolum, Capillary_ECs, MNP"
"28"	"Il18"	0.503326919993587	0.0611449469579393	0.0117622309085566	0.0185181077635417	28	"MNP"	""
"29"	"Pglyrp1"	0.525573192239857	0.0542545681726105	0.00487185212322782	0.0160796246531388	29	"Granulocytes"	""
"30"	"Anxa1"	0.519360269360269	0.0552698108488744	0.00588709479949173	0.0158566685786171	30	"Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, SMC"	"Alveolum"
"31"	"Vcam1"	0.521364438031103	0.0534803392434192	0.00409762319403648	0.0156070870584619	31	"Fibroblasts, Mesothelium, SMC, Vascular_ECs"	"Mesothelium"
"32"	"Itgb2"	0.523208273208272	0.0519117047464068	0.00252898869702406	0.0155756213745439	32	"Granulocytes, Lymphocytes, MNP"	""
"33"	"Cxcl2"	0.522446689113354	0.0521838313124139	0.00280111526303117	0.0151180868191936	33	"Granulocytes"	""
"34"	"F11r"	0.513548180214845	0.0532271084102815	0.0038443923608988	0.015023132666182	34	"Airway, Alveolum, Capillary_ECs, Lymphatic_ECs, MNP, Mesothelium, Vascular_ECs"	""
"35"	"Pecam1"	0.509820426487092	0.0527256219115574	0.00334290586217471	0.0150164397887933	35	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"36"	"Jag2"	0.515592432259098	0.0524312467949947	0.00304853074561198	0.0147323563910809	36	"Airway, Capillary_ECs, Vascular_ECs"	""
"37"	"Itgam"	0.517556517556517	0.0507507655044518	0.00136804945506911	0.0146922052778132	37	"Granulocytes, MNP"	""
"38"	"Dsg2"	0.516875100208432	0.0512963022065976	0.00191358615721485	0.0134951466880536	38	"Airway"	""
"39"	"Grn"	0.519280102613434	0.0496785308652074	0.000295814815824649	0.0132488868444009	39	"Fibroblasts, Lymphatic_ECs, MNP, Vascular_ECs"	"MNP"
"40"	"Dll4"	0.512866762866761	0.0526303190383527	0.00324760298897	0.0129157261336286	40	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"41"	"Jam3"	0.520242103575436	0.051683818502676	0.00230110245329327	0.0122337880885144	41	"Pericytes"	""
"42"	"Kitl"	0.514991181657847	0.0525122518102139	0.00312953576083121	0.0119276114721556	42	"Capillary_ECs, Fibroblasts, Mesothelium, Pericytes, Vascular_ECs"	""
"43"	"Copa"	0.516434183100848	0.0500264430202782	0.000643726970895458	0.0115883097410444	43	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum"
"44"	"Rps19"	0.513668430335095	0.0504212699989594	0.00103855394957672	0.0115193933737579	44	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"45"	"Pcdh7"	0.506854256854255	0.0520625379658285	0.00267982191644574	0.01150865977253	45	"Fibroblasts, Mesothelium, SMC, Vascular_ECs"	""
