"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Itgal"	0.476530069185733	0.0536820238376758	0.0405517717368355	0.086230694700912	1	"Granulocytes, MNP"	""
"2"	"Cadm1"	0.578690792974978	0.0198942635055842	0.0067640114047439	0.030709597053883	2	"Airway, Alveolum"	""
"3"	"Tgfb2"	0.511250665247471	0.0168667714396668	0.00373651933882648	0.0292679915760658	3	"Fibroblasts, Mesothelium, SMC"	""
"4"	"Bmp5"	0.567216604576898	0.0185022981691529	0.00537204606831254	0.0273376046889395	4	"Airway, Fibroblasts"	""
"5"	"Lamb2"	0.53160191591272	0.0185096921655502	0.00537944006470983	0.0181823369864062	5	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"6"	"Inhba"	0.53749866950505	0.0174573442992529	0.00432709219841256	0.0167977027663668	6	"Fibroblasts, SMC"	"Fibroblasts"
"7"	"Inhbb"	0.539393294305476	0.016120017512658	0.00298976541181769	0.015875764553896	7	"Airway"	""
"8"	"Tnc"	0.520745077168704	0.0192276686071234	0.00609741650628308	0.0156428709483209	8	"Fibroblasts, SMC"	"Fibroblasts, SMC"
"9"	"Lamc2"	0.508014901543376	0.0173967516579109	0.0042664995570706	0.0144007652288664	9	"Alveolum"	"Alveolum"
"10"	"Itgam"	0.50260777009047	0.0165532980707251	0.00342304596988473	0.0127544302655839	10	"Granulocytes, MNP"	""
"11"	"Nid1"	0.506482171367749	0.0194234215705453	0.00629316946970493	0.0125910889753957	11	"Fibroblasts, Lymphatic_ECs, Pericytes"	""
"12"	"Tgfb3"	0.53285790313996	0.0172991342404837	0.00416888213964337	0.012123902151451	12	"Fibroblasts, Lymphatic_ECs, Mesothelium"	""
"13"	"Bmp4"	0.516998403406065	0.0162834810144041	0.00315322891356373	0.0116890379182014	13	"Vascular_ECs"	""
"14"	"Cxcl2"	0.515486961149541	0.0174041382626315	0.00427388616179118	0.0109971896381916	14	"Granulocytes"	""
