"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Ptn"	0.613343494526807	0.133941734919083	0.12054460573248	0.166967731146737	1	"Airway"	""
"2"	"Thbs2"	0.577733130109462	0.0384276489831098	0.0250305197965069	0.0588176497716872	2	"Fibroblasts"	"Fibroblasts"
"3"	"Lama2"	0.570389358459191	0.0250615508179641	0.0116644216313613	0.0468345071114834	3	"Fibroblasts, Pericytes, SMC"	""
"4"	"Ceacam1"	0.56955798808369	0.0323491182649635	0.0189519890783606	0.0440346605014769	4	"Alveolum, Capillary_ECs, Vascular_ECs"	""
"5"	"Jam2"	0.613274213662181	0.0286566449923124	0.0152595158057096	0.0397383694445472	5	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs"
"6"	"Ghrl"	0.566371068310928	0.0293220414298203	0.0159249122432174	0.0386892474311457	6	"Airway"	"Airway"
"7"	"Anxa1"	0.579118747401965	0.0246736539396128	0.0112765247530099	0.0378546454431413	7	"Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC"	"Alveolum"
"8"	"Dsg2"	0.605930442011913	0.0253816114816824	0.0119844822950795	0.0373712395792816	8	"Airway"	""
"9"	"Npw"	0.559512262713037	0.0290366774842707	0.0156395482976679	0.0362446550822227	9	"Alveolum"	""
"10"	"Ptprm"	0.586254676458364	0.0195138188047479	0.00611668961814503	0.0358439491567193	10	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"11"	"Lamb2"	0.573991963419699	0.0278536856800684	0.0144565564934656	0.035565421717105	11	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"12"	"Sell"	0.564015518913674	0.0916583379504004	0.0782612087637976	0.0351390956973658	12	"Granulocytes, Lymphocytes"	""
"13"	"Pecam1"	0.564916170153801	0.0236012944091666	0.0102041652225637	0.0321919644985426	13	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"14"	"Vcam1"	0.606623250658164	0.0242636694394812	0.0108665402528783	0.031706391224094	14	"Fibroblasts, Vascular_ECs"	""
"15"	"C3"	0.556256062075653	0.025558085172783	0.0121609559861801	0.0316566521623625	15	"Airway, Alveolum, Fibroblasts, Mesothelium"	""
"16"	"Jam3"	0.563946238049048	0.0313744815176706	0.0179773523310678	0.0307988526768518	16	"Lymphatic_ECs, SMC"	""
"17"	"Wnt5a"	0.549120133019259	0.0242593476558654	0.0108622184692625	0.0303757701345629	17	"Airway, Fibroblasts, Pericytes"	""
"18"	"Calm1"	0.557156713315779	0.0274474867592128	0.0140503575726099	0.0298999495386745	18	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum"
"19"	"Gmfb"	0.576486074546209	0.0279647204037761	0.0145675912171733	0.0296228046209606	19	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Vascular_ECs"	""
"20"	"Arf1"	0.569557988083688	0.0253357277008133	0.0119385985142104	0.0290873265898978	20	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"21"	"Cxcl16"	0.559720105306913	0.0243388391115892	0.0109417099249863	0.0289211265514719	21	"MNP"	"MNP"
"22"	"Fn1"	0.602466398780653	0.0258316719003389	0.012434542713736	0.0287589752098523	22	"Fibroblasts, MNP"	"Fibroblasts, MNP"
"23"	"Pik3cb"	0.541152833587362	0.0245209965862477	0.0111238673996448	0.0276471662311362	23	"MNP"	""
"24"	"Nampt"	0.588748787584866	0.0285746062689267	0.0151774770823238	0.0274775443891655	24	"Lymphatic_ECs, MNP, SMC"	"MNP"
"25"	"Edn1"	0.547803796591379	0.0267634763963896	0.0133663472097867	0.0272114033494474	25	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs"
"26"	"Cdh1"	0.567548843009558	0.0239908652611101	0.0105937360745072	0.0270523620681158	26	"Airway, Alveolum"	""
"27"	"Col18a1"	0.556463904669528	0.0298920113363789	0.0164948821497761	0.0265404704487132	27	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	"Pericytes"
"28"	"Itgb1"	0.573022031314949	0.0251749313951264	0.0117778022085236	0.0263609756548911	28	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Pericytes"
"29"	"App"	0.576347512816958	0.0252414147703829	0.01184428558378	0.0254455720917446	29	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"30"	"Pkd1"	0.570805043646941	0.0235680407190425	0.0101709115324397	0.0243176405616184	30	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"31"	"F11r"	0.564292642372176	0.0232768770470912	0.00987974786048837	0.0239313788972701	31	"Airway, Alveolum, Capillary_ECs, Lymphatic_ECs, MNP, Mesothelium, Vascular_ECs"	""
"32"	"Cxcl2"	0.522654842732435	0.0237368588840701	0.0103397296974672	0.0232053218150319	32	"Granulocytes"	"Granulocytes"
