"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Apoe"	0.558195987706441	0.0978681299588098	0.0441146545185874	0.101260500548251	1	"MNP"	"MNP"
"2"	"Tgfb1"	0.559306292005809	0.0818800688203155	0.0281265933800931	0.0859707509376058	2	"MNP"	""
"3"	"Csf1"	0.556131581613698	0.0804039042468727	0.0266504288066503	0.0764565849733051	3	"Fibroblasts, Granulocytes, Mesothelium, SMC"	"Granulocytes"
"4"	"Vegfa"	0.546788983079466	0.079753665745134	0.0260001903049116	0.0736972954875337	4	"Alveolum, Capillary_ECs, Vascular_ECs"	"Alveolum"
"5"	"Cxcl12"	0.561248269107366	0.0828537256018209	0.0291002501615985	0.0726854399400352	5	"Capillary_ECs, Fibroblasts, SMC, Vascular_ECs"	"Capillary_ECs"
"6"	"Tgfb3"	0.559804451349249	0.081311835013262	0.0275583595730396	0.0720000052475726	6	"Fibroblasts, Lymphatic_ECs, Mesothelium"	""
"7"	"Cdh1"	0.538058529501164	0.0758907798163296	0.0221373043761072	0.0627538868662864	7	"Airway, Alveolum"	""
"8"	"Ntn1"	0.520682056131582	0.0728904495088038	0.0191369740685814	0.0621239874579756	8	"Capillary_ECs, Lymphatic_ECs, SMC, Vascular_ECs"	"Capillary_ECs"
"9"	"Calm1"	0.537822114897497	0.0745509442656491	0.0207974688254266	0.0613220471729042	9	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, Pericytes"
"10"	"Col5a3"	0.57775929615995	0.0719500915241959	0.0181966160839735	0.0610249151571893	10	"Fibroblasts, Pericytes"	"Fibroblasts, Pericytes"
"11"	"Fgf2"	0.54766709446452	0.0756222862549018	0.0218688108146793	0.056266980793601	11	"Fibroblasts, Mesothelium, SMC"	"SMC"
"12"	"Lgals3"	0.541317673680301	0.0688404428325479	0.0150869673923255	0.0552589687234617	12	"MNP"	""
"13"	"Tgfb2"	0.561775980276266	0.0711422156450513	0.0173887402048289	0.053050536665373	13	"Alveolum, Fibroblasts, Mesothelium, Pericytes, SMC"	"Alveolum"
"14"	"Angpt2"	0.553015974872503	0.0756302726360965	0.021876797195874	0.0527356588379234	14	"Lymphatic_ECs, Pericytes"	"Lymphatic_ECs"
"15"	"Vegfc"	0.553020196561855	0.0734401930607787	0.0196867176205562	0.051946002688996	15	"Vascular_ECs"	""
"16"	"Ltf"	0.532823634705665	0.0761901750316289	0.0224366995914064	0.050454041689788	16	"Airway"	"Airway"
"17"	"Itgam"	0.566082103414504	0.0693711700141716	0.0156176945739491	0.0497877221714025	17	"Granulocytes, MNP"	""
"18"	"Yars"	0.560091526225131	0.0718276207895319	0.0180741453493094	0.0468939444400932	18	"Fibroblasts, Mesothelium"	""
"19"	"Serping1"	0.556289894964369	0.0690581876560737	0.0153047122158513	0.044463565726649	19	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"SMC"
"20"	"Lamb2"	0.552112533351345	0.0682340283966522	0.0144805529564298	0.0436990827540471	20	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"21"	"Col4a1"	0.554881961565739	0.0663180964610113	0.0125646210207889	0.0435155894165912	21	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, Vascular_ECs"
"22"	"Pcdh1"	0.565212435408153	0.0654561173704696	0.0117026419302471	0.0430653042764459	22	"Capillary_ECs"	""
"23"	"Trf"	0.53507801681921	0.0657683767775932	0.0120149013373707	0.0430192327700007	23	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium"	"Airway"
"24"	"Hspg2"	0.556321557634499	0.0663674681350169	0.0126139926947945	0.0429669061715909	24	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Lymphatic_ECs, Pericytes"
"25"	"Adam12"	0.553379040156709	0.0680921927253771	0.0143387172851547	0.0417461134459526	25	"Lymphatic_ECs"	""
"26"	"Sell"	0.552023877874971	0.06740498056133	0.0136515051211076	0.0415942631056671	26	"Granulocytes, Lymphocytes"	""
"27"	"Hc"	0.542254888716269	0.0696354198344126	0.0158819443941902	0.0407049401056785	27	"Alveolum"	""
"28"	"Fbn1"	0.54756577392009	0.0653242792842852	0.0115708038440628	0.0401111006868314	28	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Fibroblasts, Pericytes"
"29"	"Cdh5"	0.552289844304097	0.0649048698337611	0.0111513943935386	0.0397203168933408	29	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"30"	"Agrn"	0.554687763855584	0.0639019447070877	0.0101484692668653	0.0387873660318587	30	"Airway, Alveolum, Capillary_ECs, Mesothelium, Pericytes, SMC"	"Airway, Alveolum"
"31"	"C3"	0.545644905265289	0.0669163687424911	0.0131628933022687	0.0374981476935149	31	"Airway, Alveolum, Fibroblasts, Mesothelium"	"Mesothelium"
"32"	"Tnc"	0.545070755513527	0.0664161568151946	0.0126626813749722	0.037469121719244	32	"Fibroblasts, Lymphatic_ECs, Pericytes"	"Fibroblasts, Lymphatic_ECs, Pericytes"
"33"	"Pkd1"	0.547122496538214	0.0675451114804054	0.013791636040183	0.0372361201882692	33	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Pericytes"
"34"	"Gas6"	0.540494444256816	0.0680862149070195	0.014332739466797	0.0367165675617468	34	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, SMC"	"Mesothelium"
"35"	"Itgb2"	0.548220135769527	0.0670396067673259	0.0132861313271035	0.0364228656410661	35	"Granulocytes, MNP"	""
"36"	"Vegfd"	0.537079097571684	0.0698394413600202	0.0160859659197977	0.0361855620691923	36	"Fibroblasts"	""
"37"	"Pgf"	0.534769833496573	0.0666380111120057	0.0128845356717832	0.0355171515966688	37	"Lymphatic_ECs, Pericytes"	""
"38"	"Bdnf"	0.545598466682427	0.0690990696317092	0.0153455941914868	0.0354203279696518	38	"Fibroblasts"	"Fibroblasts"
"39"	"Ceacam1"	0.541106589212739	0.0677267385005711	0.0139732630603486	0.0351283101908626	39	"Alveolum, Vascular_ECs"	"Alveolum"
"40"	"Cxcl2"	0.544809010773749	0.0682304611245067	0.0144769856842843	0.0347606062307488	40	"Granulocytes"	""
"41"	"Pcdh7"	0.538837431186462	0.0676472991414255	0.0138938237012031	0.0346346480158111	41	"Fibroblasts, Mesothelium, SMC, Vascular_ECs"	"Vascular_ECs"
