"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Plat"	0.537626086956526	0.0638569410381492	0.0425803452934683	0.0751508068234301	1	"Capillary_ECs, Fibroblasts, Pericytes, Vascular_ECs"	"Capillary_ECs"
"2"	"Spp1"	0.564243478260872	0.0481807377179199	0.026904141973239	0.0704360940490996	2	"Fibroblasts, MNP"	"Fibroblasts, MNP"
"3"	"Hc"	0.546356521739133	0.0443569744081866	0.0230803786635057	0.0682543082120427	3	"Alveolum"	""
"4"	"Fn1"	0.549108695652176	0.0434171508745341	0.0221405551298532	0.0590953643827775	4	"Fibroblasts, MNP"	"Fibroblasts, MNP"
"5"	"Apoe"	0.557208695652173	0.028376032630889	0.00709943688620819	0.0558544939497797	5	"MNP"	"MNP"
"6"	"Tgfb1"	0.565860869565228	0.0304921019876256	0.00921550624294479	0.0513772442421993	6	"Lymphatic_ECs, MNP"	""
"7"	"Il18"	0.571756521739133	0.0350282435994267	0.0137516478547459	0.0492691674736118	7	"MNP"	""
"8"	"Osm"	0.542886956521739	0.0460500903741762	0.0247734946294954	0.0480118878412638	8	"Granulocytes"	""
"9"	"Hgf"	0.542417391304347	0.0311184949820572	0.00984189923737631	0.0452707383408925	9	"Fibroblasts, Pericytes"	""
"10"	"Mmp9"	0.543104347826089	0.0285750531689707	0.00729845742428982	0.0420969515515747	10	"Granulocytes"	""
"11"	"Trf"	0.523469565217395	0.0423824301999049	0.021105834455224	0.0359145657601174	11	"Airway, Alveolum, Lymphatic_ECs, MNP, Mesothelium"	""
"12"	"Vegfa"	0.549339130434784	0.0261533546577424	0.00487675891306158	0.0341988183179448	12	"Alveolum, Capillary_ECs, Vascular_ECs"	""
"13"	"Npnt"	0.550304347826086	0.0276849796352089	0.006408383890528	0.0288767494010029	13	"Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	""
"14"	"Igf1"	0.546991304347829	0.0252156360241013	0.00393904027942043	0.0268174516824136	14	"Fibroblasts, MNP"	"Fibroblasts, MNP"
"15"	"Serping1"	0.570056521739131	0.025707939312195	0.00443134356751416	0.0257885911060575	15	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	""
