"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Tgfb1"	0.610171733598937	0.0920932823810598	0.0479924805482993	0.141943975720073	1	"MNP"	""
"2"	"Spp1"	0.601892415553293	0.103151053734771	0.0590502519020107	0.135031192736191	2	"Fibroblasts, MNP"	"Fibroblasts, MNP"
"3"	"Pdgfb"	0.591333172519513	0.0866296546206071	0.0425288527878465	0.102108623785472	3	"Capillary_ECs"	""
"4"	"Tgfb2"	0.595309423949331	0.0765077283199281	0.0324069264871675	0.101448525134093	4	"Alveolum, Fibroblasts, Mesothelium, Pericytes, SMC"	"Alveolum"
"5"	"Hgf"	0.59067954214749	0.084991469977341	0.0408906681445804	0.0996385136213223	5	"Pericytes"	""
"6"	"Tgfb3"	0.55136834405858	0.07975242410315	0.0356516222703894	0.0963727840619434	6	"Fibroblasts, Lymphatic_ECs, Mesothelium"	""
"7"	"Timp1"	0.601752351902143	0.0845952861401611	0.0404944843074005	0.0948691513882435	7	"Fibroblasts, Mesothelium"	"Fibroblasts, Mesothelium"
"8"	"Dll4"	0.630870028713051	0.0687239874869662	0.0246231856542056	0.0908945112606373	8	"Lymphatic_ECs"	""
"9"	"Fgf2"	0.592251367565925	0.0760265991312063	0.0319257972984457	0.0858371139166771	9	"Fibroblasts, Mesothelium, SMC"	"SMC"
"10"	"Rps19"	0.618248737481812	0.0674299210033603	0.0233291191705997	0.0848708324839621	10	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Airway, Capillary_ECs, Lymphatic_ECs, Mesothelium, Vascular_ECs"
"11"	"Gpi1"	0.629632799794576	0.0711552898362724	0.0270544880035118	0.0847258411724089	11	"Airway, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC"	"Capillary_ECs"
"12"	"Adam9"	0.611362274633698	0.0692451589945825	0.0251443571618219	0.0844293798309781	12	"Alveolum, Fibroblasts, MNP"	"Alveolum, MNP"
"13"	"Vcam1"	0.61538521394723	0.0680222881395597	0.0239214863067991	0.0842548824464859	13	"Fibroblasts"	""
"14"	"Col1a1"	0.616248939795975	0.066678358048488	0.0225775562157274	0.0820173500368416	14	"Fibroblasts, Mesothelium, Pericytes, SMC"	"Fibroblasts, Mesothelium, Pericytes"
"15"	"Copa"	0.61554084022628	0.0669046035670215	0.0228038017342609	0.0817471722606372	15	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium"	"Alveolum"
"16"	"Anxa1"	0.606335545820265	0.0666049222100253	0.0225041203772647	0.0807950846507591	16	"Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC"	"Airway, Alveolum, Fibroblasts, Mesothelium"
"17"	"Col4a1"	0.603759930901934	0.0661094156889629	0.0220086138562023	0.080494275323606	17	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, Vascular_ECs"
"18"	"Fgf7"	0.572393454358707	0.0783224057480561	0.0342216039152955	0.0795499654679402	18	"Fibroblasts"	""
"19"	"Itga4"	0.603176332355481	0.0682119072155399	0.0241111053827793	0.0793743012735949	19	"Lymphocytes, MNP"	""
"20"	"Celsr1"	0.6106386124361	0.0660333160754412	0.0219325142426806	0.0790116481210512	20	"Airway"	""
"21"	"Lama1"	0.604911565366932	0.0663880194104551	0.0222872175776945	0.0787475066863079	21	"Capillary_ECs"	"Capillary_ECs"
"22"	"Sema3a"	0.60811746671543	0.0657424780560241	0.0216416762232635	0.0782099138537767	22	"Lymphatic_ECs"	"Lymphatic_ECs"
"23"	"C3"	0.601075377588263	0.0666072277662228	0.0225064259334622	0.0780591910823505	23	"Airway, Alveolum, Fibroblasts, Mesothelium"	"Mesothelium"
"24"	"Vwf"	0.577272338207032	0.0645398202402553	0.0204390184074947	0.0779225925950874	24	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs"
"25"	"Gas6"	0.598383042960635	0.0671622930877014	0.0230614912549408	0.077292161803862	25	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, SMC"	"Mesothelium"
"26"	"Arf1"	0.611525682226702	0.0645790489998772	0.0204782471671166	0.0767632352527297	26	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
