"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Osm"	0.547542100154949	0.0629025993588775	0.0330846458121104	0.074192672802992	1	"Granulocytes"	""
"2"	"Il1b"	0.568611759096867	0.0457996038278955	0.0159816502811284	0.064898393820047	2	"Granulocytes, MNP"	"MNP"
"3"	"Tgfb1"	0.598103151764882	0.0474859814118907	0.0176680278651236	0.0633640369251129	3	"MNP"	""
"4"	"Edn1"	0.546234398678672	0.0421675371808589	0.0123495836340918	0.0545316951960696	4	"Capillary_ECs, Vascular_ECs"	""
"5"	"Mmp9"	0.561266154710611	0.0375592939886149	0.00774134044184782	0.0458461017681364	5	"Granulocytes"	""
"6"	"Apoe"	0.538926254490963	0.0362748125020515	0.00645685895528436	0.0420719386790508	6	"MNP"	""
"7"	"Fgf2"	0.556059187113686	0.0391440003084049	0.00932604676163784	0.0420527471403822	7	"Fibroblasts"	""
"8"	"Fn1"	0.545733794207289	0.0366842499455552	0.00686629639878811	0.0413156719343188	8	"Fibroblasts, MNP, SMC"	"Fibroblasts"
"9"	"Dll4"	0.557561000527839	0.0405409130447123	0.0107229594979452	0.0393987493587766	9	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"10"	"Fgf1"	0.551363040405929	0.0422991489518369	0.0124811954050698	0.0388755832354556	10	"Airway, Alveolum, Capillary_ECs"	""
"11"	"Tgfb2"	0.54630931907575	0.0514120542966377	0.0215941007498706	0.0375955410042971	11	"Fibroblasts, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Pericytes"
"12"	"Ltf"	0.547521667319381	0.039565966524678	0.0097480129779109	0.0362667222389443	12	"Airway, Granulocytes"	"Granulocytes"
"13"	"Col4a1"	0.576372831139639	0.0367031925237078	0.00688523897694069	0.0350585931717092	13	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Capillary_ECs"
"14"	"Plat"	0.530776958572422	0.0431771847721281	0.013359231225361	0.0342912005651749	14	"Capillary_ECs, Fibroblasts, Pericytes, Vascular_ECs"	""
"15"	"Tnfsf14"	0.555354254286635	0.0368447570269084	0.0070268034801413	0.0325650856664778	15	"Granulocytes"	""
"16"	"Sema3a"	0.564000749203972	0.0359280483140954	0.00611009476732834	0.0324953638389641	16	"Lymphatic_ECs"	"Lymphatic_ECs"
"17"	"Ltb"	0.550916923496057	0.0384224430519778	0.00860448950521065	0.0320770485865861	17	"Lymphocytes"	""
"18"	"Thbs1"	0.563329871102857	0.0353683183216024	0.00555036477483531	0.0305763006711827	18	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	"Fibroblasts"
"19"	"Hspg2"	0.559856289056516	0.0353502524232012	0.00553229887643406	0.0293817283450588	19	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	""
"20"	"Ccl5"	0.55645422193465	0.036112268210658	0.00629431466389088	0.0288439953634861	20	"Lymphocytes"	""
"21"	"Pecam1"	0.540584719644463	0.0462007417742346	0.0163827882274675	0.0284208212942463	21	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"22"	"Angpt2"	0.550150692162304	0.0372752213235897	0.00745726777682259	0.0281397922841295	22	"Lymphatic_ECs, Pericytes, SMC"	""
"23"	"Tnfsf13b"	0.549292513068502	0.0364179557734044	0.00660000222663729	0.0277871018245275	23	"Fibroblasts"	""
"24"	"Serping1"	0.558047983108859	0.0346789015508956	0.00486094800412845	0.0265629772769535	24	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Lymphatic_ECs, Pericytes, SMC"
"25"	"Ocln"	0.554124878680035	0.0347750738351058	0.00495712028833865	0.0260274415917443	25	"Airway"	""
"26"	"Adam12"	0.560959662177114	0.0343745924686314	0.00455663892186434	0.0257139962303483	26	"Lymphatic_ECs"	""
"27"	"Vcam1"	0.552759284169664	0.0361067574002539	0.00628880385348678	0.0252517024799987	27	"Fibroblasts, Mesothelium, SMC, Vascular_ECs"	"Mesothelium"
"28"	"Itgb7"	0.556832229392634	0.0346226919424174	0.00480473839565027	0.0250070551911528	28	"Lymphocytes, MNP"	""
"29"	"Jag2"	0.539406426126784	0.0353193650497211	0.00550141150295397	0.0244553647984336	29	"Airway, Capillary_ECs, Vascular_ECs"	""
"30"	"Fgf18"	0.548427523029504	0.0348963125053387	0.00507835895857156	0.0244151390989535	30	"Mesothelium"	""
