"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Trf"	0.529351648440076	0.0759679052064048	0.0390695094844796	0.0747764083400451	1	"Airway, Alveolum, MNP, Mesothelium"	"Airway, Alveolum"
"2"	"Tgfb2"	0.514311694791137	0.0664681901462002	0.0295697944242751	0.0587814058754592	2	"Fibroblasts, Mesothelium, SMC"	""
"3"	"Hc"	0.475742140034924	0.0542810015681644	0.0173826058462392	0.0489893581636522	3	"Alveolum"	""
"4"	"Apoe"	0.492367364346698	0.0430985392012578	0.00620014347933268	0.0339578022062776	4	"MNP"	"MNP"
"5"	"Sema6d"	0.521368965711476	0.0573277359653752	0.02042934024345	0.0310726968146156	5	"Mesothelium"	""
"6"	"Manf"	0.527050189508243	0.0458428277621696	0.0089444320402445	0.0283994537199746	6	"Airway, Fibroblasts, Mesothelium, Vascular_ECs"	""
"7"	"Hmgb1"	0.513177059443622	0.0411178593842189	0.00421946366229375	0.0247833540708054	7	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"8"	"Adam15"	0.512476965293031	0.0424445916611556	0.00554619593923043	0.0225453642128063	8	"Capillary_ECs, MNP, Vascular_ECs"	"Capillary_ECs, MNP"
"9"	"Jam2"	0.520065342120724	0.0408305815758263	0.00393218585390116	0.0224036924925534	9	"Vascular_ECs"	""
"10"	"Grem1"	0.516838471380632	0.0413708898506345	0.00447249412870941	0.0205458527062051	10	"Fibroblasts"	"Fibroblasts"
"11"	"Dll4"	0.524370518793904	0.0412276186330677	0.00432922291114258	0.0191549432546	11	"Vascular_ECs"	""
"12"	"Npnt"	0.502691741303137	0.0427880742000865	0.00588967847816134	0.0174703373366367	12	"Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	""
"13"	"Arf1"	0.503657388407407	0.0417327964210687	0.00483440069914355	0.0168197746375584	13	"Airway, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Vascular_ECs"	""
"14"	"Lamb1"	0.510151365183595	0.0411387195147637	0.00424032379283856	0.0165472372006258	14	"Fibroblasts, Lymphatic_ECs, Pericytes"	""
"15"	"Ltb"	0.508453435691922	0.0418629839225829	0.00496458820065778	0.0162816286281343	15	"Lymphocytes"	"Lymphocytes"
"16"	"Igf1"	0.500824823568229	0.0389050160514874	0.00200662032956227	0.0159489537652648	16	"Fibroblasts, MNP"	"MNP"
"17"	"Vegfc"	0.484344446322093	0.0400538477723887	0.00315545205046359	0.014710539869683	17	"Vascular_ECs"	""
"18"	"Mmp9"	0.505508212023916	0.0406530233931272	0.00375462767120209	0.014606618488935	18	"Granulocytes"	""
"19"	"Osm"	0.496527693954246	0.0407517021065137	0.0038533063845886	0.0144114565323875	19	"Granulocytes"	""
"20"	"Sema3f"	0.50308604720405	0.0406352553328662	0.00373685961094108	0.014407483428599	20	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	"Lymphatic_ECs"
"21"	"Calm1"	0.49285018789883	0.0403123693291086	0.00341397360718342	0.0135702420867078	21	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"22"	"Calm2"	0.491916729031377	0.0404307749739207	0.00353237925199552	0.01355439719193	22	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"23"	"Dusp18"	0.504775929636516	0.040598337703181	0.00369994198125587	0.0125814006326546	23	"Airway"	""
"24"	"Gmfb"	0.49425842325922	0.0390186906985187	0.00212029497659352	0.0125569829259776	24	"Airway"	""
"25"	"Cxcl2"	0.497107082216806	0.040016092702732	0.0031176969808069	0.0123395407811633	25	"Granulocytes"	""
"26"	"Anxa1"	0.494821717403374	0.0390231159521992	0.00212472023027403	0.0120926163989939	26	"Airway, Fibroblasts, Granulocytes, MNP, Mesothelium"	""
"27"	"H2-T23"	0.494049199719963	0.0402919981653066	0.00339360244338145	0.0120194258083313	27	"Vascular_ECs"	""
"28"	"Nenf"	0.494354987969647	0.0404436469713172	0.0035452512493921	0.0118758634796796	28	"Airway, Alveolum, Fibroblasts, Mesothelium, SMC"	""
"29"	"Aimp1"	0.494717105633748	0.0405653201502235	0.00366692442829834	0.0114496500447354	29	"Airway, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Vascular_ECs"	""
