"","Sfrp1","Scarb2","Antxr1","Fzd1","Itpr1","Pcdh7","Sec63","Ddr2","Lrp6","Ryk","Nrp1","Nrp2","Axl","Pdgfra","Fgfr1","Pkd1","Tgfbr2","Tgfbr3","Glg1","Sdc2","Gpc1","Sdc4","Colec12","Nptn","Ednra","F2r","Lpar1","S1pr3","Il6st","Osmr","Cd47","Igf2r","Rrbp1","Igf1r","Rack1","Mylk","Rpsa","Cd44","Vcam1","Itga8","Itgav","Itgb5","Ptch1","Itga1","Itgb1","Atp5b","Pkd2","Ptpra","Ptprd","Ltbr","Tnfrsf1a","Lrp1","Ptprs","Tnfrsf12a","Gabra3","Derl1","Clstn1","Calm1","Cd34"
"Nid1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122748629768268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vwf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261531623989958,0.177486935459451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Npnt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175693105238792,0,0,0,0,0.142809967830446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tnc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300559972456547,0.241769923321387,0,0,0,0.240961163066389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tgfb3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556736512164169,0.0488740954378469,0,0,0,0.303450384357818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261823137210641,0.208004759611892,0,0,0.206282774030582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022254232864487,0,0,0,0,0,0,0,0,0,0,0,0.279071604509027,0,0,0,0,0.161194146517752,0.294752691402503,0,0.175693105238792,0.114300526821933,0.330575519955274,0,0,0.433977464142074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204673004390862,0,0.311062360652638,0.14132723075033,0.210629161615286,0,0,0.0923475211196466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dusp18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161365689282064,0,0,0,0,0,0,0.0264377407495297,0.0218358495907046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col4a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151129337145447,0.124822975832743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema7a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244765300528363,0.206282774030582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
