"","Cd3d","Cd3g","Cd2","Cxcr4","Sec63","Spn","Sell","Ptprc","Ptpn6","P2ry10","Calm1","Il7r","Rack1","Rrbp1","Itgb7","Rpsa","Cd47","Itga4"
"Ptprc",0,0,0.93936458418087,0.0157576913285497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penk",0,0,0,0.173296783445663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pecam1",0,0,0,0.208980926209891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hebp1",0,0,0,0.173296783445663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hc",0,0,0,0.173296783445663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cxcl2",0,0,0,0.173296783445663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cxcl16",0,0,0,0.173296783445663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cxcl14",0,0,0,0.217748792731457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cxcl12",0,0,0,0.591427831828284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"App",0,0,0,0.0990377224884714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3",0,0,0,0.173296783445663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pros1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216274304565458,0,0
"Lamb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942608801914102,0,0
"Lama2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161365689282064,0,0
"Calm1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162086214185983,0,0
"Dusp18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161365689282064,0,0
"Itga4",0,0,0,0.0157576913285497,0,0,0,0,0,0,0,0,0,0,0.706158464263322,0.0995665826262429,0,0
"Rps19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211404329570513,0,0.200830142310437
"Fn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140132663789715,0.161194146517752,0,0.103179164688241
"Vcam1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396060363097131,0.0995665826262429,0,0.377237572836133
"Anxa1",0,0,0,0.252284245693378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200830142310437
"Spp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176509640800292
"Jam2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160771549191508
"Arf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200830142310437
"Hmgb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129681652820949
"Clstn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252443677350958,0
"Itgb1",0,0,0,0,0,0,0,0,0,0,0,0,0.277758086884465,0,0,0,0.37047288854909,0.420510826812613
"Thbs1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340051521904172,0.227632009200605
"Cdh1",0,0,0,0,0,0,0,0,0,0,0,0,0.22526283440201,0,0.0331347905407501,0,0,0
"Aimp1",0,0,0,0,0,0,0,0,0,0,0,0,0.0742070699219637,0.11057176403559,0,0,0,0
"Ptprm",0,0,0,0,0,0,0,0,0,0,0,0,0.202074381921627,0,0,0,0,0
"Igf1",0,0,0,0,0,0,0,0,0,0,0,0,0.223158605958851,0,0,0,0,0
"Ptprf",0,0,0,0,0,0,0,0,0,0,0,0,0.120180317200094,0,0,0,0,0
"Dsg2",0,0,0,0.167642080502292,0.160410266983492,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdh7",0,0,0,0.167642080502292,0.160410266983492,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manf",0,0,0,0,0.0990476325538896,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nenf",0,0,0,0,0.0990476325538896,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col18a1",0,0,0,0,0,0,0.426079571298829,0,0,0,0,0,0,0,0,0,0,0
"Cd34",0,0,0,0,0,0,0.440818641887195,0,0,0,0,0,0,0,0,0,0,0
"Cfh",0,0,0,0,0,0,0.0370438891889066,0,0,0,0,0,0,0,0,0,0,0
"Trf",0,0,0,0,0,0,0,0,0,0,0,0.113332514465692,0,0,0,0,0,0
"Calr",0,0,0,0,0,0,0,0,0,0,0,0.113332514465692,0,0,0,0,0,0
"Il7",0,0,0,0,0,0,0,0,0,0,0,0.851629765133683,0,0,0,0,0,0
"Icam1",0,0,0,0,0,0.863148515952939,0,0,0,0,0,0,0,0,0,0,0,0
"Lgals3",0,0,0,0,0,0.214569089624895,0,0,0,0,0,0,0,0,0,0,0,0
"Ceacam1",0,0,0,0,0,0,0,0,0.436140145393916,0,0,0,0,0,0,0,0,0
"Kitl",0,0,0,0,0,0,0,0,0.0286522636258257,0,0,0,0,0,0,0,0,0
"Wnt5a",0.13424149757784,0.108436758426259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mapt",0,0,0,0,0,0,0,0,0,0,0.0193483307384874,0,0,0,0,0,0,0
"Cd2",0,0,0,0,0,0,0,0.110630458510842,0,0,0,0,0,0,0,0,0,0
"Edn1",0,0,0,0,0,0,0,0,0,0.154809555140145,0,0,0,0,0,0,0,0
