"","Itgav","Itgb1","Itga8","Itga9","Osmr","Rpsa","Itga1","Dag1","Itga7","Scara3","Colec12","Nptn","Antxr1","Scarb2","Itpr1","Pcdh7","Sec63","Bmpr1a","Ddr2","Ryk","Ednra","Ednrb","Tnfrsf1a","Mylk","Pde1a","Anxa6","Igf1r","Pkd1","Slc1a5","Jam3","Cd47","Cd151","Fat1","Tgfbr2","Tgfbr3","Sdc2","Sdc4","Glg1","Fgfr1","Nrp1","Ptprs","Ptpra","Rack1","F3","Vldlr","Lrp1","Ncam1","S1pr3","Rrbp1","Il6st","Gria1","Gabra3","Derl1","Calm1","Clstn1","Atp5b","Notch3","Axl","Pdgfrb"
"Thbs1",0.436259787263686,0.215658962029843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340051521904172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625241979369739,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clstn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252443677350958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179146242106199,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thbs2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2422404431704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190636719311023,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hsp90b1",0,0.176622449563947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202553313069005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mmp9",0,0.401681940026392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310435776660169,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrn",0.250218026267722,0.206282774030582,0,0,0,0,0,0.388241151265362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459981161825488,0,0,0,0,0.10960023775516,0.446585404733779,0,0,0,0,0,0,0,0,0,0,0,0
"Hspg2",0,0.103295647788543,0,0,0,0,0,0.322531549603126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293061776955819,0,0.232399123086234,0,0,0,0,0.10960023775516,0,0,0,0,0,0,0,0,0,0,0,0,0
"Timp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196613018488862,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serping1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpine2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140964001971249,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpine1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446424887129183,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365388405573321,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ltf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apoe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334351111240988,0.210881047368993,0,0,0,0,0,0,0,0.810392890614543,0.585898822136642,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lrpap1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861441810055241,0.486493867489844,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tfpi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379481233593151,0.283837747519814,0.02413170054837,0,0,0,0,0,0,0,0,0,0,0,0,0
