"Actb" "Aqp4" "Bcl2l1" "Ccnd1" "Cdkn1a" "Cxadr" "Elf3" "Epha2" "Gapdh" "Icam1" "Isyna1" "Pfn1" "Stat3" "Flot1" "Tgfbr2" "Ager" "Muc1" "Aldoa" "Aqp5" "Upf1" "Basp1" "Gsto1" "Tm4sf1" "Akr1b8" "Ltf" "Areg" "Tagln2" "Gadd45g" "Gnas" "Slc9a3r1" "Gclc" "Lcn2" "Nedd4l" "Ftl1" "Cbr3" "Xbp1" "Chil1" "Clu" "Enpp2" "Ldha" "Atp1b1" "Cd9" "Lbp"
"Lamb2" 0.00122785065043676 0 0.00130420120572213 0.00155412326798744 0.00186433102548193 0 0.00119893977672504 0.00146305138363456 0 0.00113807402022363 0 0 0.00127675091034285 0.00110972079568335 0 0 0.00141069966747381 0 0 0 0 0 0.0011405169755291 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109128036532116
"Col18a1" 0 0 0.00112421541810277 0.00131366087640789 0.00148491191004066 0 0 0.00114946724209306 0 0 0 0 0.00118019680847609 0 0 0 0.0011212254067023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plxnb2" 0 0 0 0.00121401005760754 0.0012145878433982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0 0 0.00112025741578378 0.00139265318762368 0.00169190123587818 0 0.00109239677234885 0.00140205527682894 0 0 0 0 0.00114468171548667 0.0012113256328791 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0.00136483375622213 0 0.00153306670251271 0.00264269157748718 0.00201992273566579 0 0.00138132568656035 0.0030021255700173 0.00134260268084396 0.002338318134906 0 0.00129501658638254 0.00150215565723096 0.00135138172487628 0.00122117606220801 0 0.0012844761199113 0.00122503156799166 0 0 0 0 0.00114154516430632 0 0 0 0.00113302506874327 0.0010924350923482 0 0 0 0 0.00112171552225868 0 0 0 0.00234148531507331 0.00217643341410883 0.00240160295917482 0.0024203298334835 0.00110274023634716 0 0
"Apoe" 0.00113253390509091 0 0.00119964428691536 0.00147857872071867 0.00160734617280627 0 0.00113677891491154 0.00117551792616752 0 0.00362141283380819 0 0 0.00110353037453474 0 0 0 0 0 0 0 0 0.00389719153625941 0 0 0 0 0 0 0 0 0 0.00403771682999996 0 0 0.00422249519559522 0.00396342881260557 0 0 0 0 0 0 0
"Dusp18" 0.00130772291678558 0 0.0017100271428841 0.0021341607950359 0.00206366380754605 0 0.00121061680163687 0.00145763195560894 0.00112032374911293 0.00157795755967461 0.00137556297092936 0.0012732249765504 0.00142128884420372 0.00131973444076525 0.00115540147152484 0 0.00111072779895434 0.00117987341067274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124640270190044 0 0 0 0 0 0 0 0 0
"Gpi1" 0 0 0 0 0.0017677010676815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0.00113302069762406 0 0.00131914804895682 0.00147863837550371 0.00164164008714949 0 0.00112681274610793 0.0013852958236293 0 0 0 0 0.0011947186376415 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Reln" 0 0 0.00125473874020808 0.00149901916703179 0.00162542581271636 0 0 0.00122866903968304 0 0 0 0 0.00109879194078461 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
