"Aqp4" "Cxadr" "Elf3" "Epha2" "Gja1" "Icam1" "Id1" "Jund" "Per1" "Synpo" "Chil1" "Gadd45g" "Muc1" "Trf" "Cirbp" "F3" "Gsto1" "Hist1h1c" "Lcn2" "Xbp1" "Ager" "Basp1" "Ltf" "Aqp5" "Epas1" "Areg" "Akr1b8" "Ltbr" "Epn3" "Clu" "Scnn1a" "Cd9" "Mal" "Sdc1"
"Efna5" 0 0 0.00105641905717183 0.00135458309859903 0 0.00114191639476242 0.00148992136927701 0.0010188473239772 0.00117244437008099 0 0 0 0.00117608194190344 0 0.00108295996224271 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hbegf" 0 0 0.00118402082437806 0.00132573586962643 0 0.00139941167804101 0.00153363948594909 0.00115633675401586 0.00126217176265295 0.00125242501649584 0 0.00105964686167943 0.0012159887045616 0 0.00109183267356084 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102930542504265
"Pf4" 0 0 0 0 0 0.00186589974392343 0.00101535817759043 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Copa" 0 0 0 0 0 0 0.00112212808430672 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema5a" 0 0 0 0 0 0 0.00110177009810027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0 0 0.00137348816288632 0.00158488236944593 0.00107095323460899 0.00248838117738215 0.00192302889180074 0.00137490775586645 0.00164398867955811 0.0014643995320808 0 0.00123140884550477 0.00140119870929737 0.00248539730008674 0.0013818648305725 0.00112334358693887 0 0 0 0 0.00120373918694814 0 0 0 0.0012179015855135 0 0 0.00104239300978152 0 0 0.00115005577171029 0.00115448774546137 0.00533752414006096 0.00244069056694097
"Vcam1" 0 0 0 0 0 0 0.00108019899185334 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb2" 0 0 0.00119893977672504 0.00146305138363456 0 0.00113807402022363 0.001558599295639 0.00101974968929687 0.00122402650868629 0.00114815000356182 0 0.00105121153315668 0.00141069966747381 0 0 0 0 0 0 0 0.00106093352487013 0 0 0 0.00111668210232605 0 0 0 0 0 0 0.00108544227262172 0 0.00103122815296327
"Hspg2" 0 0 0.00108277723239771 0.00123489168672293 0 0.00103096039081273 0.00155022947839913 0.00123991487003135 0.00108312578230438 0 0 0.00104605892674857 0.00101189426895456 0 0.00103869849155755 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb2" 0 0 0.00104902266692262 0.00128251529228418 0 0.00121034151745122 0.00141223905840557 0.00102605213148077 0.00111616225819892 0.00108456963891816 0 0 0.00101653085218883 0 0.00103232030404223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Reln" 0 0 0 0.00122866903968304 0 0.00106065891384448 0.00141312365752416 0 0.0010803006336428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efna1" 0 0 0 0.00114909314810378 0 0 0.00123984335178481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lama1" 0 0 0 0.00109635823235398 0 0 0.00129357052916416 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Wnt4" 0 0 0.00138516748382232 0.00177005206632065 0 0.00137203144943254 0.00199712881253144 0.00141296808422363 0.00153698009498689 0.00123238668692183 0 0.00113623881393065 0.00117655069364732 0 0.00146194364821264 0.00102661344886532 0 0 0 0.00102526939646594 0 0 0 0 0.00114129665581548 0 0 0.00113036906008647 0 0 0.00142326652104646 0.00109622009324448 0 0.00107370386821781
