"Aqp4" "Epha2" "Icam1" "Ager" "Akr1b8" "Fut4" "Cbr3" "Srxn1" "Atp1a1" "Areg" "Gclc" "Gsr" "Ckb" "Fxyd3"
"Itgal" 0 0.00139934294911357 0.00208304768899103 0 0 0 0 0 0 0 0 0 0.0044580518383769 0.00477155134309815
"F11r" 0 0.00131043245620845 0 0 0 0 0 0 0 0 0 0 0 0
"Ltb" 0 0.00140689199684224 0.00205205967334107 0.00152149940211275 0 0 0 0 0 0 0 0 0 0.00128671102061595
"F7" 0 0.00130398781515613 0 0 0 0 0 0 0 0 0 0 0 0
"Aimp1" 0 0 0.00184033222145903 0 0 0 0 0 0 0 0 0 0 0
"Bmp4" 0 0.00184688004584551 0.00243894759633319 0 0 0 0 0 0 0 0 0 0 0
"Pecam1" 0 0.0013434363341481 0.00127681993639204 0 0 0 0 0 0 0 0 0 0 0
"Reln" 0 0.00122866903968304 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0 0.00141576775432903 0.00127275023603779 0 0 0 0 0 0 0 0 0 0 0
"Ceacam1" 0 0.00131490306631356 0.00123725628701199 0 0 0 0 0 0 0 0 0 0 0
"Crlf1" 0 0.00236940609735668 0.00197489626514558 0.00124982059193824 0 0 0 0 0.00166807918775181 0 0.00128720915518633 0.00141527840553629 0.00153529137585374 0
"Tnfsf13b" 0 0.00132550126110563 0.00140725078539295 0 0 0 0 0 0 0 0 0 0 0
"Cdh5" 0 0.00295110185741221 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb2" 0 0.00128251529228418 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0 0.0030021255700173 0.002338318134906 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0 0.00127118773598424 0.00124723211845029 0 0 0 0 0 0 0 0 0 0 0
"Ereg" 0 0.00124137086931973 0.00123787283381882 0 0 0 0 0 0 0 0 0 0 0
"Pf4" 0 0 0.00186589974392343 0 0 0 0 0 0 0 0 0 0 0
"Ghrl" 0 0.00132326111140976 0.00374339786157998 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0 0.00189555020617561 0.00403017469022695 0.00482613282333761 0 0.00222674173753003 0 0 0 0 0 0 0 0
"Mapt" 0 0.00139117245921722 0 0 0 0 0 0 0 0 0.00430871465573345 0 0 0
"Il18" 0 0.00196574575923994 0.00638287737709559 0.00187508733897885 0 0 0 0 0 0 0.00163119140726268 0.00124829363245109 0 0
"Hgf" 0 0.00154025643471059 0.00239676903278776 0 0 0 0 0 0 0.00252707471115603 0.00241512356439931 0.00222833940292676 0 0
"Nampt" 0 0.0018212422778858 0.0050239544149108 0.00481267219492233 0 0 0 0 0 0 0 0 0 0
"Spp1" 0 0.00148326489364376 0.00227822254511026 0 0 0 0 0 0 0.00478283586807755 0 0 0 0
"Fgf10" 0 0 0 0 0 0 0 0 0.00390165611301432 0 0 0 0 0
"Apoe" 0 0 0.00362141283380819 0 0 0 0.00422249519559522 0.00417369483610987 0 0 0 0 0 0
"Hbegf" 0 0.00132573586962643 0.00139941167804101 0 0 0.00432668030407872 0 0 0 0 0 0 0 0
"Hmgb1" 0 0.00242489808804238 0.00562016913687305 0.00527474463608968 0.00524403507165371 0 0 0 0.00129168214999786 0 0.00164321951592603 0 0.00140563399096913 0
"Edn1" 0.00713866059941827 0.00134148941713181 0.00229219060221284 0 0 0 0 0 0 0 0 0 0 0
