"Aqp4" "Areg" "Elf3" "Enpp2" "Ghrl" "Icam1" "Serpinb9" "Cdkn1a" "Irf9" "Stat1" "Irf7" "Xaf1" "Isyna1" "Gsto1" "Ifit3" "Fut4" "Lbp" "Akr1b8" "Timp4" "Wnt7b" "Ifih1" "Gsr" "Bcas1"
"Fgf18" 0 0 0 0 0 0.00126192246432492 0 0.00159098731198391 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0 0 0 0 0 0 0 0.00121904808611797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dusp18" 0 0 0.00121061680163687 0 0 0.00157795755967461 0 0.00206366380754605 0.00121012693794365 0 0 0 0.00137556297092936 0 0 0 0 0 0 0 0 0 0
"Ltb" 0 0 0.00126591150872649 0.00138265793992217 0 0.00205205967334107 0 0.00197876231105226 0 0.00151487961890004 0.00127176677370098 0 0 0 0.00132127218960461 0 0 0 0 0 0 0 0.00145194046949276
"Hgf" 0 0.00252707471115603 0.00122637945337461 0 0 0.00239676903278776 0 0.00199003703539692 0 0 0 0 0.00224321017773921 0 0 0 0 0 0 0 0 0.00222833940292676 0
"Tnfsf14" 0 0 0.0013158005480748 0.00147939704245523 0 0.00149544231301743 0 0.00221446840421092 0 0.00140199299470058 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efna1" 0 0 0 0 0 0 0 0.0015095279291241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0 0 0 0 0 0.00124723211845029 0 0.00166340261824615 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0 0 0.00142816189336808 0 0 0.00145038743054541 0 0.00296467644517818 0.00124136525038314 0.00136190844759238 0 0 0 0 0 0 0.00120904422515377 0 0 0 0 0 0
"Itgb2" 0 0 0 0 0 0.00121034151745122 0 0.00167196176542722 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plxnb2" 0 0 0 0 0 0 0 0.0012145878433982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col18a1" 0 0 0 0 0 0 0 0.00148491191004066 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0 0 0 0 0 0 0 0.00164164008714949 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pecam1" 0 0 0 0 0 0.00127681993639204 0 0.00188044658787928 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam12" 0 0 0 0 0 0 0 0.00146900484079388 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ncam1" 0 0 0 0 0 0 0 0.00170022969043603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb1" 0 0 0 0 0 0 0 0.0023583641063619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0 0 0 0 0 0 0.00162758304250463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il33" 0 0 0 0 0 0.00219908152407586 0 0.00144356568724919 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0 0 0 0 0 0 0.00136241977901401 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema5a" 0 0 0 0 0 0 0 0.00138821599248424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pkd1" 0 0 0 0 0 0 0 0.00377401514156348 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nectin1" 0 0 0 0 0 0.00121411407376731 0 0.00150300544457211 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0 0 0.00126429103706457 0 0 0.00140725078539295 0 0.00171852712084425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Osm" 0 0 0.00169976114593909 0.00140028231585708 0 0.00200404272390095 0 0.00248001209218667 0.00189308147609707 0.0018282662926577 0 0 0.00132371613016984 0 0.00141450046515593 0 0.00160391294615701 0 0 0 0 0 0.00137910498029659
"Ptprc" 0 0 0 0 0 0.00133963422988561 0 0.00171937967299817 0.00125457246721014 0.00126660090568548 0 0 0 0 0 0 0 0 0 0 0.0022782943652454 0 0
"Col4a1" 0 0 0 0 0 0 0 0.00152308824586791 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0 0 0.00146455222931538 0 0 0.00142995270602061 0 0.00480643361495988 0.00147426173279776 0.00258822823634056 0 0 0 0 0 0 0 0 0 0.00252443263823653 0 0 0.00123264698910806
"Hmgb1" 0 0 0.00192954454991842 0.00140432916250912 0 0.00562016913687305 0 0.00297002690844441 0.00147162063628243 0.00163193345594586 0.00121130084614066 0 0.00134955281538341 0 0.00127648133465164 0 0.00144643939278668 0.00524403507165371 0.0027244870272491 0.00142801156002693 0.001265829021311 0 0.00140158695340704
"Lamb2" 0 0 0 0 0 0 0 0.00186433102548193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0 0 0 0.00122619544728706 0 0.00367438744373611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hbegf" 0 0 0 0 0 0.00139941167804101 0 0.00189441420720381 0 0 0 0 0 0 0 0.00432668030407872 0 0 0 0 0 0 0
"Tgfb1" 0 0 0.00148904940255351 0 0 0.00403017469022695 0 0.00548303347996596 0.00123834167437694 0.00134403542332266 0 0 0.00244096580435543 0.00422712107505249 0.00466566099947073 0.00222674173753003 0 0 0.00255679669660057 0.00266027620302207 0.0023373522653487 0 0
"Il1rn" 0 0 0.00159127258340463 0 0.00474216206573301 0.00296230459409371 0 0.00197102569365138 0 0.00148958311223904 0 0 0 0 0 0 0 0 0 0 0 0 0
"Edn1" 0.00713866059941827 0 0 0 0 0.00229219060221284 0 0.00188972934016114 0 0 0 0 0.00210794094243877 0 0 0 0 0 0 0 0 0 0
"Tnf" 0.00709712622363082 0 0.00131727048227688 0.00618897870370219 0 0.00832031083479247 0.00225306392449738 0.00481058644128366 0 0.00534756966893018 0.00564060864787526 0.00555238596437144 0 0 0 0.00209579081294732 0 0 0.00244080192713836 0 0 0 0
"Il18" 0 0 0.00224472458833232 0.0017041499514787 0 0.00638287737709559 0.00126291181831212 0.00261924139629381 0.00215836061704913 0.00235874448107323 0.00183003213880082 0.00123655017101799 0.00132617401026968 0 0.00168097507464226 0 0.00182423565213855 0 0 0 0.00135803579766545 0.00124829363245109 0.00140690777466296
"Il1b" 0.007264524229581 0.00678499376436745 0.00504072336369866 0.00499025654970279 0.00473709315127895 0.00530429172618764 0.0063523928756292 0.00457889077460727 0.00145874428623768 0.00150990251685971 0 0 0.00248824112780248 0 0.00120954074822048 0.00223683325877599 0.00128424873935862 0 0 0 0 0 0
