"Actb" "Ahnak" "Cebpb" "Cirbp" "Clic1" "Elf3" "Icam1" "Jund" "Myh9" "Ptgs2" "Ubc" "Vegfa" "Ager" "Cebpa" "Prmt1" "Sftpa1" "Bax" "Eml2" "Rac3" "Tapbp" "Areg" "Atf4" "Aqp5" "Ddr1" "Cavin1" "Cox7a2l" "Phf23" "Rab1b" "Tmem256" "Tmem259" "Cd9" "Csrp1" "Cldn7" "Gprc5a" "St3gal4" "Optn"
"H2.T23" 0 0 0 0 0 0 0 0 0 0 0.00112717824852866 0.00106098197568247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rps19" 0 0.0010961330719689 0.00105812113185286 0 0 0 0 0 0 0 0.00112611321241043 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efna1" 0 0 0 0 0 0 0 0 0 0 0.00112550724895272 0.00116405423021072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pkd1" 0.00129830543141427 0.00133274160603493 0.00126675790286317 0.00113221589604543 0.0011874368954405 0.00117792267604058 0.00119637671683646 0.00111143587678672 0.00119268319896436 0.00107838109749131 0.00150706871538592 0.00140174000402246 0 0.00107409639179145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0.00169455534887847 0.00164073810206497 0.00153356085526775 0.00145878353139573 0.00166519308200162 0.00142816189336808 0.00145038743054541 0.00148145631618674 0.0015607816818557 0.00132983536985592 0.00184751510728591 0.00179764943299951 0.00122688920507311 0.00127144352681095 0.00142218298943858 0 0.00124337906893848 0.00108321936940178 0.00112774006692353 0.00110490145852854 0 0.00122701366968612 0 0.00118299989471665 0 0 0.00129425331792 0 0 0 0.00122896082750346 0.0013253848286283 0.00113870308963057 0 0.00105538598753246 0.00106442992740984
"Col4a1" 0.00115017429167651 0.00109531132254673 0.00111465056937979 0.00106530948135465 0 0.00106523973202938 0 0.00104470653963937 0.00106085628965234 0 0.00124803884364745 0.00132318975763333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plxnb2" 0 0 0 0 0 0 0 0 0 0 0.00110832964843125 0.00114940431200135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0.00113302069762406 0.00124633192093488 0.00120164822950824 0.0011019346759304 0.00121301081116585 0.00112681274610793 0.00104935308370319 0.00112796959410069 0.0011023572752852 0.00106741988367987 0.00137667016120473 0.00129953066602373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprc" 0.00133314863635044 0.00135760804635104 0.00133977776104607 0.00123000476950366 0.00133052415678482 0.00115936286469885 0.00133963422988561 0.00121440178158745 0.00132385020330943 0.00114453748006689 0.00161763400171668 0.00139120875755327 0 0 0.00119895975577745 0 0.00106221524482582 0 0 0 0 0 0 0 0 0 0.0010711275585825 0 0 0 0 0 0 0 0 0
"Edn1" 0.00119186886368411 0.00128845498465575 0.00139931153213885 0.00114752324984176 0.00124945330731138 0.00118514565698407 0.00229219060221284 0.00120724356811146 0.00112539673770424 0.00399950866940668 0.00157861119683863 0.00248198627282562 0 0.00108709898846452 0.00109193415641433 0 0.001098827752889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Calm1" 0.0012041471253463 0.00117043152499261 0.00115411524937487 0.00105681208735052 0.00108041731568858 0.00104913374126178 0.00106079037474691 0 0 0 0.0014134261333845 0.00129900380507847 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.00152012849124405 0.0014417568634063 0.00147845306649809 0.00148723392432611 0.00134863235874304 0.00142255426229398 0.00152664699934757 0.00149068434798917 0.00133758499639306 0.00140792375990599 0.00176475134299126 0.00250313799333803 0.00114099932632288 0.00130090347798165 0.00125135762357861 0 0.00115993367388151 0 0 0.00105511024420312 0 0.00116927363024105 0 0.00106105690257686 0 0 0.00112123785548392 0 0 0 0.00106345416670446 0.00116570085237486 0.00122282375702135 0 0 0.00249581047286939
"Col1a1" 0.00150260770807709 0.00162707381338442 0.00154254740081433 0.0015990115851504 0.00134421200209492 0.00149581351928234 0.00115814715297627 0.00162724394629439 0.00127585516052212 0.00121459137219077 0.00176980102612679 0.00173486610832592 0.00120246150970872 0.00120890010310132 0.00111325960016454 0 0 0 0 0 0 0.00109927364050066 0 0.00122877130038967 0 0 0.00111234856464662 0 0 0 0.00109423887200599 0.00130045582727101 0.00138368625425087 0.00132103281373069 0.00132903815002986 0.00110314995509234
"Ptprf" 0.00126970680747263 0.00124649171749055 0.00127465654332511 0.00117496267975942 0.00116091215762288 0.00116649306178696 0.00123207445060229 0 0.00109682106156111 0 0.00152321292666569 0.00133462207789621 0 0.00121550273781851 0.00107525041922471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Reln" 0 0.00108244614666117 0.00122584620790858 0 0 0 0.00106065891384448 0 0 0 0.00123748590633909 0.00119076046614675 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
