"Ahnak" "Anxa2" "Bax" "Bcl2l1" "Ccnd1" "Cd55" "Cdkn1a" "Clu" "Cox5a" "Ctnna1" "Dusp1" "Epha2" "Gadd45b" "Gja1" "Gpi1" "Hes1" "Icam1" "Ier3" "Itgav" "Lmna" "Mcl1" "Msn" "Nme1" "P4hb" "Psmc6" "Sod2" "Sparc" "Timp2" "Tnfrsf12a" "Vegfa" "Zfp36l1" "Actb" "Brd2" "Cpeb4" "Dlgap4" "Ece1" "Eif5a" "Gapdh" "Klf6" "Krt8" "Mdm2" "Myh9" "Ndufs2" "Nfe2l2" "Pfn1" "Rhoa" "S100a10" "Ager" "Cldn4" "Cltc" "F3" "Fth1" "Ftl1" "Gadd45a" "Gsn" "Hist1h2bc" "Insig2" "Lasp1" "Mafg" "Mbnl2" "Npepps" "Pcbp1" "Sqstm1" "Tinagl1" "Tmem37" "Ccnd2" "Comt" "Map2k3" "Phb2" "Prdx5" "Rela" "Efna1" "Sema3b" "Capn2" "Ceacam1" "Ndst1" "Btg2" "Lpp" "Hspb1" "Slc3a2" "Timp3" "Rps11" "Vmp1" "Lama5" "Ppm1a" "Ifih1" "Gclc" "Txn1" "Txnrd1" "Aldoa" "Lcn2" "Abcc5" "Akr1b8" "Amotl2" "Calr" "Col4a1" "Cryab" "Itgb1" "Itgb6" "Krt18" "Rpl27" "Serpine2" "Vdac1" "Tmbim1"
"Bdnf" 0.00155366749472203 0.00117531036815031 0 0.00158194035862882 0.00268462321469645 0 0.00285191567093599 0 0 0 0.00153591725371787 0.00173527647161518 0.00169133349052138 0 0 0.00288580128206272 0.00136090264917081 0.00166672939054489 0 0.00164804253843356 0.00134580829674567 0 0 0 0 0.00385664607478185 0 0 0.00124289731648549 0.00253342430504514 0.00153516703238097 0.001433808953727 0.00137099900716186 0.00115721881384377 0 0.00123832634728582 0.00122492354180813 0.00128249222617003 0.00142393755984393 0.00152023556767394 0.00123683474051476 0.00132575798109207 0 0.00137317521747581 0.00126105317220516 0 0.00128923132089209 0 0 0 0 0.00116942306038556 0 0 0.00136240765392449 0.00117210553419568 0 0.00118127395985802 0 0 0 0 0 0 0 0.00137349597826903 0.0012416617569629 0.00120093840684892 0 0 0.00120658385752374 0.0013619043304868 0.00129354982081206 0.00134430225479386 0 0.00122498262913035 0.00130652388747267 0.00116645188614463 0.00120523325925211 0.00117301261167958 0 0 0 0.00129018725259228 0 0 0 0 0 0.00115469653591547 0 0 0 0.00117337923746404 0 0 0 0 0 0 0 0 0 0
"Hsp90b1" 0.00132738074208751 0 0 0.00123738290080051 0.00148551308049416 0 0.00167076959342281 0 0 0 0.00124865075169369 0.00135711676585622 0.00130201029048624 0 0 0.00127553572939853 0 0.00130242720611765 0 0.0014027538453947 0.00116771920345771 0 0 0 0 0 0 0 0 0.00126799336037699 0.00120535834973227 0.00120707175795362 0.00128146202246841 0 0 0 0 0 0 0 0.00115463286821919 0 0 0.00117538647069476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117397003655214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pgf" 0.00152197987412888 0.0011951632580276 0.00145697604379791 0.00178065892880976 0.00206311573471318 0 0.00218818771600824 0 0 0 0.00164819119181228 0.00154917481853526 0.00188013051897822 0 0 0.00180066436749861 0.00179753890769374 0.0017075441764861 0 0.00160038242317859 0.00147920924131826 0 0 0 0 0.0012695184622155 0 0 0.00121742381247097 0.00296626976596113 0.00163963120280891 0.00158456810076445 0.00162069270039515 0.00126648251866272 0 0.0012852896684216 0.00127514512055219 0.00169384392973226 0.00152714131970703 0.00131848282176706 0.00138323208470499 0.00137792234125744 0 0.00158241931179821 0.00126203699620948 0 0.00137014869170567 0.00120711903435626 0 0 0.00128786388324901 0.00121452343647606 0.0011768535890609 0.00134968407287862 0.00137849799309404 0.00120781173199864 0 0.00118960562859271 0 0 0 0.00121675256280623 0.00137110048119647 0 0 0.00158261528462413 0.00121075310556055 0.00132894620017403 0 0 0.00137012868703521 0.00136303550521417 0.00130862951305746 0.00117152058720136 0 0.00120926304340273 0.0012542123295169 0.00122051999817778 0 0.00120836607605814 0 0 0 0.00128375732887628 0 0 0.00121461905952246 0 0 0.00134512398909773 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf18" 0 0 0 0.00140298012164859 0.00165707195244785 0 0.00159098731198391 0 0 0 0 0.001183489158355 0.00118793999804453 0 0 0.00123341347444568 0.00126192246432492 0.00131563866872482 0 0.0011555619648916 0 0 0 0 0 0 0 0 0 0.00205714835056457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00121514111420475 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vwf" 0.00119117084597668 0 0 0.00124821336689882 0.00232862154106789 0 0.001610812123258 0 0 0 0 0.00119685550464721 0.00125203759588526 0 0 0.00125285774288591 0.00212062193515749 0.00120945062995606 0 0.00118598312903859 0 0 0 0 0 0 0 0 0 0.00134189452033706 0.00123577667234633 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00118071999362242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efna5" 0.00114884019446478 0 0 0.00123759964126831 0.00152939590151057 0 0.00171229792557183 0 0 0 0.00121526912707007 0.00135458309859903 0.0012275916740436 0 0 0.00132516985427714 0 0.00127044289003218 0 0.00120074582515102 0 0 0 0 0 0 0 0 0 0.00139281703689129 0.001169037404489 0.00118791220590326 0.00128030782031877 0 0 0 0 0 0 0 0.00118606873188964 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00118276622512269 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Reln" 0 0 0 0.00125473874020808 0.00149901916703179 0 0.00162542581271636 0 0 0 0.00115894478858235 0.00122866903968304 0.00116087318258067 0 0 0.0011563395483281 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119076046614675 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plxnb2" 0 0 0 0 0.00121401005760754 0 0.0012145878433982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114940431200135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pecam1" 0.00136738750926704 0 0 0.00143730442326052 0.00174813253088666 0 0.00188044658787928 0 0 0 0.00135369074820907 0.0013434363341481 0.00130393379050722 0 0 0.00148512531126647 0.00127681993639204 0.00142361661621238 0 0.00133913952023012 0.00123272139760409 0 0 0 0 0 0 0 0 0.00156776997326893 0.00128689806152674 0.00121796562353523 0.00120620073161776 0 0 0 0 0 0 0.00118725210810313 0 0.00122331004441365 0 0.00132421712030051 0 0 0 0 0 0 0 0 0 0 0.0012937479027393 0 0 0 0 0 0 0 0 0 0 0.00146902044363966 0 0 0 0 0.00114978978761386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vtn" 0.00139114325075695 0 0 0.00138861919617161 0.00158623196583323 0 0.0017769906296124 0 0 0 0.00126407597082647 0.00141198657307991 0.00137587621021646 0 0 0.00148679215926656 0 0.00133963474455936 0 0.0014525009496284 0.00115884958275801 0 0 0 0 0 0 0.00215972048840517 0 0.00147884214654033 0.00135461257060864 0.00123665863031292 0.00123499748717671 0.00119740781992082 0 0 0 0.00126522681743315 0.00124448110806823 0.00131888572906761 0 0 0 0.00126091068902088 0.00125092172814967 0 0.0011639535471227 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00123010153750834 0 0 0 0 0 0.00124648106145843 0.00120738651684731 0 0 0 0 0 0 0 0 0 0 0.00120604704129986 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
