"Ahnak" "Anxa2" "Bax" "Bcl2l1" "Ccnd1" "Cd55" "Cdkn1a" "Clu" "Cox5a" "Ctnna1" "Epha2" "Gadd45b" "Gja1" "Hes1" "Hif1a" "Icam1" "Itgav" "Lmna" "Mcl1" "Msn" "Nme1" "Pdpn" "Psmc6" "Sparc" "Timp2" "Tnfrsf12a" "Trib1" "Ubc" "Vegfa" "Ager" "Calr" "Cdkn2b" "Col4a1" "Cryab" "Itgb1" "Itgb6" "Klf6" "Krt18" "Mdm2" "Pdgfa" "Tjp1" "Tpm4" "Vdac1" "Actb" "Capn2" "Clic1" "Gapdh" "Gsn" "Krt8" "Nfe2l2" "Pfn1" "S100a10" "Sema3b" "Ece1" "Myh9" "Ndst1" "Ceacam1" "Khdrbs1" "Lpp" "Timp3" "Aldoa" "Lama5" "Lcn2" "Slc3a2" "Abcc5" "Akr1b8" "Sqstm1" "Areg" "Eif5a" "Tgfb2" "Anxa7" "Pdia3" "Mif" "Atf4" "Crlf1" "F3" "Pa2g4" "Ptgr1" "Rac1" "Gramd2" "Il18r1" "Cd9" "Actr1a" "Rhoa" "Elob" "Cgn" "Crip2" "Fam174b" "Krt19" "Pard6b"
"Lrpap1" 0.00121734734781219 0 0 0.00117305108037101 0.00136080936965118 0 0.00157956256806241 0 0 0 0.00131570357430475 0.00130179882185781 0 0.0013292398841462 0 0 0 0.0012804303933304 0 0 0 0 0 0 0 0 0 0.00149484761016432 0.00118729708905031 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119368533438377 0 0.00127754871955826 0 0 0.00115029101068653 0 0.00113528030734008 0 0 0 0.00115876483452608 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bdnf" 0.00155366749472203 0.00117531036815031 0 0.00158194035862882 0.00268462321469645 0 0.00285191567093599 0 0 0 0.00173527647161518 0.00169133349052138 0.00114757751225025 0.00288580128206272 0.00222604616587564 0.00136090264917081 0 0.00164804253843356 0.00134580829674567 0 0 0 0 0 0 0.00124289731648549 0.00163372873984221 0.00181288091522283 0.00253342430504514 0 0 0 0 0 0 0 0.00142393755984393 0 0.00123683474051476 0 0 0.00114250973154286 0 0.001433808953727 0.00134430225479386 0.00142364959265521 0.00128249222617003 0.00136240765392449 0.00152023556767394 0.00137317521747581 0.00126105317220516 0.00128923132089209 0.00129354982081206 0.00123832634728582 0.00132575798109207 0.00122498262913035 0 0 0.00116645188614463 0 0.00115469653591547 0.00129018725259228 0 0.00117301261167958 0 0 0 0 0.00122492354180813 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00116886044359355 0 0 0.00128743476379201
"Celsr1" 0.00132263678956048 0 0 0 0.00149495818758604 0 0.00158334674085987 0 0 0 0.00124915640199434 0.00134557995457139 0 0.00155665617237959 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122521541913594 0.00147192222626808 0 0 0 0 0 0 0 0 0.00126232495498836 0.00118859449428954 0 0 0 0 0.00116897170075957 0 0 0 0.00115239049214407 0.00139335143617033 0 0 0 0.00145797076034723 0.00113264251114815 0.00113894929144281 0.00124281180676815 0 0 0 0 0 0.0012184224743193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115520027341978 0.0012420401305583 0.0013899020705524 0.00114716262486224
"Aimp1" 0 0 0 0 0.00119945942285115 0 0.00138978309478463 0 0 0 0 0 0 0 0 0.00184033222145903 0 0.00112974921564656 0 0 0 0 0 0 0 0 0.00115500085767825 0.00127460217063012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00221087309602349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plxnb2" 0 0 0 0 0.00121401005760754 0 0.0012145878433982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114940431200135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pf4" 0 0 0 0 0.00125339148707614 0 0.0011988647909831 0 0 0 0 0 0 0 0 0.00186589974392343 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb1" 0 0 0 0 0.00141891009476632 0 0.0023583641063619 0 0 0 0.00115787128547419 0.00116470592654962 0 0.00120377757256709 0 0 0 0.00115612719647975 0 0 0 0 0 0 0 0 0 0.00121013500268273 0.00123606154350047 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf18" 0 0 0 0.00140298012164859 0.00165707195244785 0 0.00159098731198391 0 0 0 0.001183489158355 0.00118793999804453 0 0.00123341347444568 0 0.00126192246432492 0 0.0011555619648916 0 0 0 0 0 0 0 0 0 0.00128883173564476 0.00205714835056457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Reln" 0 0 0 0.00125473874020808 0.00149901916703179 0 0.00162542581271636 0 0 0 0.00122866903968304 0.00116087318258067 0 0.0011563395483281 0 0 0 0.00113357712659527 0 0 0 0 0 0 0 0 0 0.00123748590633909 0.00119076046614675 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb2" 0.00117271468946991 0 0 0.00123962524960061 0.00150891297300802 0 0.00167196176542722 0 0 0 0.00128251529228418 0.00127059140788063 0 0.00134133855289733 0 0.00121034151745122 0 0.00122606362947247 0 0 0 0 0 0 0 0 0.00119325759730001 0.00128002965240362 0.00133742872972063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema5a" 0 0 0 0 0.00123229623941838 0 0.00138821599248424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114623273393842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141332004099068 0 0 0 0 0
