"Ahnak" "Cd55" "Cdkn1a" "Clu" "Gadd45b" "Hes1" "Itgav" "Lmna" "Mcl1" "Msn" "Ptgs2" "Sparc" "Tnfrsf12a" "Col4a1" "Cryab" "Itgb1" "Itgb6" "Actb" "Lcn2" "S100a10" "Timp3" "Cd9" "Susd6" "Ybx1" "Hbegf" "Atf4" "Rac1" "Calm1"
"Plxnb2" 0 0 0.0012145878433982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0 0.00136241977901401 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Calm1" 0.00117043152499261 0 0.00160268744489109 0 0.00128660101705327 0.00133124133968598 0 0.00121258716920942 0 0 0 0 0 0 0 0 0 0.0012041471253463 0 0 0 0 0 0 0 0 0 0
"Calm2" 0.00116560353876158 0 0.00166068597522809 0 0.00129425509179228 0.00125613758893603 0 0.00127498628423744 0 0 0 0 0 0 0 0 0 0.00119767994161664 0 0 0 0 0 0 0 0 0 0
"Bdnf" 0.00155366749472203 0 0.00285191567093599 0 0.00169133349052138 0.00288580128206272 0 0.00164804253843356 0.00134580829674567 0 0.00125111162709875 0 0.00124289731648549 0 0 0 0 0.001433808953727 0 0.00128923132089209 0 0 0 0 0 0 0 0
"Efnb2" 0 0 0.00119974845135982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nectin1" 0.00118519249823681 0 0.00150300544457211 0 0.00122338698503827 0.0013869697190072 0 0 0 0 0.00114318391560545 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Copa" 0 0 0.00119846050664446 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0.00117514479892138 0 0.00160734617280627 0 0.00132063824668414 0.00130569341953242 0 0.00122962815617496 0 0 0.00378237976548548 0 0 0 0 0 0 0.00113253390509091 0.00403771682999996 0 0 0 0 0 0 0.00408947682338347 0.00376902228924274 0
"Il18" 0.00218278867454435 0.0012823165909014 0.00261924139629381 0 0.0064440537273039 0.00212848515386467 0 0.00202076381596437 0.00221063594764083 0.00154015234289571 0.00205494984959583 0 0.00239321808936035 0 0 0.00127017936683893 0 0.00200876295210093 0.00115619182562872 0.0020561721860896 0.00119898184957414 0.00141815780642462 0 0 0 0.00118590479592394 0 0.00125808150754819
"Ereg" 0 0 0.00167815742944805 0 0.00124165821874231 0.00121625265635958 0 0.00118476603709099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00213498034675973 0 0 0
"Pros1" 0.00164073810206497 0 0.00296467644517818 0 0.00168226934658771 0.00175965415578695 0 0.001703242632478 0.00166494980013655 0 0.00132983536985592 0 0.00123172057618832 0 0 0.0011635324479814 0 0.00169455534887847 0 0.00146486921033178 0.00113316249821651 0.00122896082750346 0 0 0 0.00122701366968612 0 0.00114034147494595
"Cxcl12" 0 0 0.00367438744373611 0 0.00129663054851378 0.0012087312925059 0 0.00120144145401988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vcam1" 0 0 0.00123732350505556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itga4" 0 0 0.0013082501693038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pkd1" 0.00133274160603493 0 0.00377401514156348 0 0.00147515392047131 0.00147148791178449 0 0.0013502413849891 0 0 0 0 0 0 0 0 0 0.00129830543141427 0 0 0 0 0 0 0 0 0 0
"Pcdh1" 0.00118856754804636 0 0.00171059303509075 0 0.00132310141670127 0.00143393650884753 0 0.00134707534433992 0 0 0 0 0 0 0 0 0 0.00130990616096732 0 0 0 0 0 0 0 0 0 0
"Pdgfb" 0.00144905231401009 0 0.00419351935735484 0 0.00161798752627548 0.00153712934332029 0 0.00153110703459295 0.00131028157414491 0 0.0040388466041139 0 0 0 0 0 0 0.00134724812981761 0 0.00122996419558952 0 0.00115413641380051 0 0.00226788633488266 0 0 0 0
"Pik3cb" 0 0 0.00239390556252766 0 0.00120316400955051 0.00119848949105636 0 0.00115102888941901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0 0 0.00121904808611797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00197842523846087 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0.00153851464613024 0 0.00225560517487711 0 0.00176034775050419 0.00185617898213687 0 0.00151856378606806 0.00150092371961264 0 0 0 0.00118897882277208 0 0 0 0 0.00171215492557961 0 0.00138768211600396 0 0 0 0 0 0 0 0
"Itgb2" 0.00117271468946991 0 0.00167196176542722 0 0.00127059140788063 0.00134133855289733 0 0.00122606362947247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0.00139070664011293 0 0.00199003703539692 0 0.00161768617041083 0.00153525936327081 0 0.00156171840435493 0.00254599209435178 0 0.00404016201711743 0 0 0.00466413216211115 0 0.00238400100279629 0 0.00134835715116902 0 0.00119542944745049 0 0 0 0 0 0 0 0
"Bmp5" 0.00180441129497414 0.00121430082212932 0.00243775803578108 0.00136648937295704 0.00193228052694148 0.00210787739834405 0 0.00187137843000809 0.00145950561061858 0 0.00130023782591976 0 0.00151887425486147 0.00136662232336151 0 0.00116897782576468 0.00142344544591626 0.00185652795516258 0 0.00165513142270783 0 0.00137169708137479 0.00326083274138628 0 0.00121864579128404 0 0 0
"Efna1" 0 0 0.0015095279291241 0 0 0.0011306166535062 0 0.00116501560782698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb1" 0 0 0.0023583641063619 0 0.00116470592654962 0.00120377757256709 0 0.00115612719647975 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb7" 0.00112857496804921 0 0.00149768513569796 0 0.00115165054774565 0.00120172239880934 0 0.00112436239239381 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp3" 0.00145515764210616 0 0.00212972092559107 0 0.00168554977067833 0.00176128613409095 0 0.00136991743570898 0.00140603220304769 0 0 0 0.00121276420753822 0 0 0 0 0.0016226901881798 0 0.00134373214138071 0 0 0 0 0 0 0 0
"Lamb2" 0.00131457596162555 0 0.00186433102548193 0 0.00132835353799395 0.00158230657904727 0 0.00137682414635469 0.0013020756742901 0 0 0 0 0 0 0 0 0.00122785065043676 0 0.00112712995487825 0 0 0 0 0 0 0 0
"Sema5a" 0 0 0.00138821599248424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0.00124633192093488 0 0.00164164008714949 0 0.00120293430632741 0.0013244331421502 0 0.00122385998378597 0 0 0 0 0 0 0 0 0 0.00113302069762406 0 0 0.00222440586390975 0 0 0 0 0 0 0
"Mmp9" 0.00131705432545645 0 0.00177374486570155 0 0.00142764362254368 0.00144792472151187 0 0.00148103936851367 0.0042324033320783 0 0.00114913193427624 0 0.00113931068814894 0 0 0 0 0.00136532258067635 0 0.00118372286416479 0 0 0 0 0 0 0 0
"Vegfc" 0.00135335614719117 0 0.00175765021772766 0 0.00161415845904594 0.00145138560666509 0 0.00138651172409576 0.00124175228768125 0.00220931165320014 0.00375718990525428 0 0 0 0 0 0 0.00138739237908813 0 0.00122723251155306 0 0 0 0 0 0 0 0
"Fgf1" 0.00128970280557901 0 0.00172438615322352 0 0.00137612788392824 0.00139769701828665 0 0.00127898498401072 0.00119553385183569 0 0.00116635636772496 0.00224052357432998 0 0 0 0 0 0.00126282497199686 0 0 0 0 0 0 0 0 0 0
"Anxa1" 0 0 0 0 0 0 0 0 0 0 0.00344271618198081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.0014417568634063 0.00226856518985626 0.00206911530949821 0 0.00170368372605386 0.00197603053817831 0 0.0015406909372773 0.00139312205183961 0 0.00140792375990599 0 0.00119530599656651 0 0 0 0 0.00152012849124405 0 0.00126615679310811 0.00473414026985662 0 0 0 0 0.00116927363024105 0 0
"Itgam" 0.00129404308203525 0 0.00166340261824615 0 0.00142862833365383 0.00133406046076178 0 0.00125403050002514 0 0 0.00384848807455692 0 0 0 0 0 0 0.00115234982413562 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0.00116641818947899 0 0.00152125277648955 0 0.00235597249778768 0.00120281762825719 0 0.00118340757477034 0 0 0 0 0 0 0 0 0 0 0.00392451796822546 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.00175568893670016 0.00117188444641375 0.00548303347996596 0.00239610071735005 0.00315856619923651 0.00308223232651456 0.00221847219236498 0.00180035545017696 0.00456380015609211 0 0.00411210128204119 0.002517570023229 0.00264835032139451 0.00485394028475774 0.00461832386426685 0.00465805927993809 0.00606760576984587 0.00296597953804268 0 0.00146975144794285 0.00254983793205014 0.00129999112640331 0 0 0 0.00123618952352695 0 0.00122107137240598
