"Anxa2" "Bax" "Bcl2l1" "Bhlhe40" "Ccnd1" "Cd55" "Cdkn1a" "Clu" "Cox5a" "Epha2" "Gadd45b" "Gja1" "Gpi1" "Hes1" "Hif1a" "Icam1" "Ldha" "Lmna" "Mcl1" "Msn" "Nme1" "Psmc6" "Ptgs2" "Sod2" "Sparc" "Tnfrsf12a" "Trib1" "Vegfa" "Actb" "Ccnd3" "Clic1" "Gapdh" "Gdf15" "Irf9" "Krt8" "Nfe2l2" "Socs3" "Ybx1" "Gramd2" "S100a10" "Calr" "Cd14" "Cryab" "Hspb1" "Krt18" "Mdm2" "Serpine2" "Tgfbr2" "Vdac1" "Aldoa" "Cd164" "Ceacam1" "Ptgs1" "Rac1" "Gadd45a" "Isyna1" "Slc3a2" "Lama5" "Lcn2" "Btg2" "Eif5a" "Ifih1" "Rhoa" "Fth1" "Hist1h2bc" "Lasp1" "Pcbp1" "Tmem37" "Znfx1" "Phb2" "Prdx5" "Tmbim1" "Calm1"
"Ptprf" 0 0 0.00130804193786653 0.00137864103066021 0.00171971853350963 0 0.00151787481172459 0 0 0.0013148531907902 0.00149465815199922 0 0 0.00153593022991293 0 0.00123207445060229 0 0.00125201437082661 0 0 0 0 0 0 0 0 0.00126368466009039 0.00133462207789621 0.00126970680747263 0 0.00116091215762288 0.00115929385767465 0.00115408114995182 0 0 0.00124491449700966 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efna1" 0 0 0 0 0.00144504957589858 0 0.0015095279291241 0 0 0.00114909314810378 0 0 0 0 0 0 0 0.00116501560782698 0 0 0 0 0 0 0 0 0 0.00116405423021072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0 0.0011446858217269 0.00137597068690354 0.00137798593495378 0 0.00162758304250463 0 0 0.00123489168672293 0.00119934115924585 0 0 0.00141318941798489 0 0 0 0.00117739123508836 0.00117725986449675 0 0 0 0 0 0 0 0.00123543302144603 0.00127682484881402 0.00116983347447202 0 0.00116728230749624 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col18a1" 0 0 0 0.00118559886801616 0.00131366087640789 0 0.00148491191004066 0 0 0.00114946724209306 0.00118150661567839 0 0 0.00127864906961103 0 0 0 0.00121806433425557 0 0 0 0 0 0 0 0 0.00122050956933888 0.00331406073320932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb2" 0 0 0.00123962524960061 0.0011766662342716 0.00150891297300802 0 0.00167196176542722 0 0 0.00128251529228418 0.00127059140788063 0 0 0.00134133855289733 0 0.00121034151745122 0 0.00122606362947247 0 0 0 0 0 0 0 0 0.00119325759730001 0.00133742872972063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Icam2" 0 0 0.00126157280087433 0 0.00147242278463993 0 0.00145388965408101 0 0 0.00128334118673723 0 0 0 0.00128624609429177 0 0 0 0 0 0 0 0 0.00117259718696784 0 0 0 0 0.00121873491920054 0.00117546207396725 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00209468386696948 0 0 0 0 0 0 0 0 0 0
"Plxnb2" 0 0 0 0 0.00121401005760754 0 0.0012145878433982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114940431200135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema4d" 0 0 0 0 0.00156662231270649 0 0.00156234603485159 0 0 0 0.00115863519629988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0012058180221517 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vcam1" 0 0 0 0 0 0 0.00123732350505556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bdnf" 0.00117531036815031 0 0.00158194035862882 0.00167058645358028 0.00268462321469645 0 0.00285191567093599 0 0 0.00173527647161518 0.00169133349052138 0.00114757751225025 0 0.00288580128206272 0.00222604616587564 0.00136090264917081 0 0.00164804253843356 0.00134580829674567 0 0 0 0.00125111162709875 0.00385664607478185 0 0.00124289731648549 0.00163372873984221 0.00253342430504514 0.001433808953727 0.00128455972010539 0.00142364959265521 0.00128249222617003 0.00148539580818226 0 0.00152023556767394 0.00137317521747581 0.00141329022257912 0 0 0.00128923132089209 0 0 0 0.00120523325925211 0 0.00123683474051476 0 0.00131108902484401 0 0.00115469653591547 0 0 0 0 0 0 0.00117301261167958 0.00129018725259228 0 0.00130652388747267 0.00122492354180813 0 0 0.00116942306038556 0.00117210553419568 0.00118127395985802 0 0 0 0 0 0 0
