"Ahnak" "Clu" "Foxo3" "Msn" "Ptma" "Tsc22d3" "Clic1" "Jund" "Lcn2" "Myh9" "Scd1" "Cavin1" "Tmem256" "Tmem259" "Cldn7" "Gprc5a" "Csrp1" "Hdac7" "Tapbp" "Actn1" "Map7"
"Col18a1" 0.00115772775710992 0 0 0 0.00129506638718467 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col4a1" 0 0 0 0 0.00129264568940487 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pkd1" 0.00133274160603493 0 0.0012676578754083 0 0.0015133850766588 0 0.0011874368954405 0 0 0.00119268319896436 0 0 0 0 0 0 0 0 0 0 0
"Serpine1" 0.00162096214147592 0 0.00152519824053806 0 0.00178835222472145 0 0.00160753704616556 0.00158600781023369 0 0.00150989008982905 0 0 0 0 0.0014523680613898 0 0.00129301611122558 0.00116972932846952 0 0 0
"H2.T23" 0 0 0 0 0.00113965545953002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Icam2" 0.0011779264302795 0 0 0 0.00127797278949835 0 0.0011356867960131 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0.00124633192093488 0 0.00114714262514967 0 0.00126507087835854 0 0.00121301081116585 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamc2" 0.0012588637316747 0 0.00119372199177815 0 0.00148017449318617 0 0.00123280355229482 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0.00114884256069435 0 0 0 0.00141789577318265 0 0.00116728230749624 0.00123991487003135 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pdgfb" 0.00144905231401009 0 0.00132356057229937 0 0.00165923808659297 0 0.00127832106437133 0.0013233204057474 0 0.00123530278212532 0 0 0 0 0 0 0 0 0 0 0
"Pecam1" 0.00136738750926704 0 0.00130703792927214 0 0.00136939252119525 0 0.00123388280103664 0 0 0.00122331004441365 0 0 0 0 0 0 0 0 0 0 0
"Itgb2" 0.00117271468946991 0 0.0011359812751027 0 0.00130165278979397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0.00164073810206497 0 0.00145423266779089 0 0.00177102776021661 0 0.00166519308200162 0.00148145631618674 0 0.0015607816818557 0 0 0 0 0.00113870308963057 0 0.0013253848286283 0.00117358860274607 0 0 0
"Ltb" 0.00187523386225688 0.00114747103150565 0.00121330398767691 0 0.00164913010967114 0.00133957038528786 0.00128508125663504 0.00122966743863967 0 0.00114753741559277 0 0 0 0 0 0 0 0 0.00169080175735594 0 0.0012977189181252
"Fbn1" 0.00120489792018261 0 0 0 0.00149321214965977 0 0.00118618362425712 0.00129186551753111 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3a" 0.00147428690923631 0 0.00137339398589524 0 0.00143920287297547 0 0.00136669305558481 0.00117401469931038 0 0.0012148091945638 0 0 0 0 0 0 0 0 0 0 0
"Hmgb1" 0.00229718206526458 0.00133133735129286 0.00222297633217531 0.00125881169821278 0.00251711003716513 0.00477568538107306 0.00244227739533442 0.00215517700165225 0 0.00199640735340816 0.00154132055748498 0 0 0 0.00160772848507485 0.0013004534873095 0.00182239591424452 0.001641063040933 0.00180095939500327 0.00133475233844696 0.00145649824675339
"Itgb1" 0 0 0 0 0.00122104043214318 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lrpap1" 0.00121734734781219 0 0.00117612077567389 0 0.00137143113621417 0 0.00127754871955826 0 0 0.00115876483452608 0 0 0 0 0 0 0 0 0 0 0
"Thbs1" 0.00179047344254569 0 0.00167953302308871 0 0.00187755407752183 0 0.00182345396889502 0.00161100046549037 0 0.00154235022685268 0 0 0 0 0.00141972917508025 0 0.0013043515282923 0.00124808052284637 0.00121183456018081 0.0011450842028232 0
"Ptprc" 0.00135760804635104 0 0.00127177437805395 0 0.00159539098358998 0 0.00133052415678482 0.00121440178158745 0 0.00132385020330943 0 0 0 0 0 0 0 0 0 0 0
"Lamb2" 0.00131457596162555 0 0.00115425491035475 0 0.00137367672190972 0 0.00118675891452592 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0.00153851464613024 0 0.00180435000107253 0 0.0018121909338725 0 0.00124604185718866 0.00133207275868981 0 0.00145915110208982 0 0 0 0 0 0 0 0 0 0 0
"Col1a1" 0.00162707381338442 0 0.00131958762954748 0 0.00185954793602832 0 0.00134421200209492 0.00162724394629439 0 0.00127585516052212 0 0 0 0 0.00138368625425087 0.00132103281373069 0.00130045582727101 0.00123073271132476 0 0 0
"Trf" 0.00150449191624229 0 0.00130197079909005 0 0.00169030413126523 0.00389664162149841 0.00141466846141701 0.00131078145815129 0 0.00125016956577398 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0.00131705432545645 0 0.00117401441850362 0 0.00142654651157777 0 0.00143850333762942 0.00126406267504702 0 0.00114688291389529 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0.00173147829178654 0 0.00164935134071911 0 0.00178072038773543 0 0.00131285206862673 0.00258576705549872 0 0.001453242382684 0.00123459482632664 0 0 0 0 0 0 0 0 0 0
"Vegfc" 0.00135335614719117 0 0.00119907471706838 0.00220931165320014 0.00144842647897812 0 0.00118427352499106 0.00123189346098633 0 0.00119533008351952 0 0 0 0 0 0 0 0 0 0 0
"Itgal" 0.00137981814255523 0 0.00120081698367164 0 0.00148077695733022 0 0.00123249763383793 0.00118620660067922 0 0.00114853764024119 0 0.0167264044993116 0.00429839541842237 0.00421075494159307 0 0 0 0 0 0 0
"Itgam" 0.00129404308203525 0 0.00114368052227296 0 0.00127846485698523 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0.00142865745316068 0 0.0012792483079365 0 0.00162520374487465 0 0.00129706631785776 0.00258795165478313 0 0.00117497150695883 0 0 0 0 0 0 0 0 0 0 0
"Fgf7" 0.00114191896243643 0 0 0 0.00140224021907017 0 0 0 0 0 0.00530780340743266 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0.00116641818947899 0 0 0 0.00124170978643696 0 0 0 0.00392451796822546 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0.00147252459272457 0.00217643341410883 0.00143166307424303 0.00222737839392906 0.00159369408613463 0.0039990731412746 0.00130843253079308 0.00129390843058613 0 0.00128197535357335 0 0 0 0 0 0 0 0 0 0 0
