"Clic1" "Ddit4" "Eif5a" "Epha2" "Fam129b" "Gabarap" "Git1" "Ier2" "Ier3" "Irf2bpl" "Ldha" "Lmna" "Midn" "Rps2" "Serpine1" "Stat3" "Tubb5" "Zfp36l1" "Actb" "Aldoa" "Edn1" "Flot1" "Icam1" "Lama5" "Nos3" "Pdgfb" "Slc3a2" "Socs3" "Synpo" "Tnfrsf1a" "Cd34" "Cd38" "Ier5" "Plat" "Snn" "Timp3" "Vegfc" "Akt1" "Klf10" "Srsf1" "Vasp" "Ctnnb1" "Eef1a1" "Pim3" "S100a10" "Tgfbr2" "Arpc2" "Ccnd3" "Dusp6" "Plaur" "Sparc" "Actn1" "Ablim1" "Lpp" "Ndst1" "Ntn1" "Tagln2" "Gadd45g" "Hif1a" "Ntrk2" "Emp1" "Flnb" "Pcbp1" "Dll1" "Jag2" "Sema7a" "Sparcl1" "Ndufs2" "Rpl26" "Rps11" "Pkm" "Col4a2" "Anxa2" "Pfkfb3" "Hnrnpl"
"Nenf" 0 0 0 0 0 0 0 0 0 0.00107089845659386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"F11r" 0.0011075295715645 0.00122506471618906 0.000985450847414224 0.00131043245620845 0.000994080079174165 0.0010046196408349 0.000991281578726879 0.00109391616421894 0.00118333255094663 0.00129120529955112 0 0.00123115153757467 0.00110917588518809 0 0.00127654533485569 0.00115407402364804 0.00104991477401341 0.00118560232064547 0.00112993044629864 0 0.00118413864998091 0 0.00104261719837731 0 0.00102771038967283 0.00108685015240782 0.000983211964635046 0.000999149331913718 0.00100614982387726 0 0 0 0 0 0 0 0 0.00103608101184769 0 0 0 0.00107715545899426 0 0 0 0.00106189869085937 0 0 0.00101682415380309 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000990266918758429 0 0.00100745668944024
"Reln" 0.00101315581337596 0.00114557382920775 0 0.00122866903968304 0 0 0 0.00100847096187403 0.00112598867068756 0.00120350583977092 0 0.00113357712659527 0.00102859717109997 0 0.00109160974110238 0.00109879194078461 0.00103759617350254 0.00108117052110311 0.00101953058282166 0 0 0 0.00106065891384448 0 0.00106407894575868 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0 0 0.00105852607093831 0 0 0 0 0.000995863644069516 0.00106920189971117 0 0.00098216374848115 0 0 0.000983740965053856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clstn1" 0.00112903530630886 0.00124395743887458 0.00114292353463422 0.00141183161827323 0.00136616058952811 0.00108903397081288 0.00106440525811361 0.00130050040834918 0.00117507818316726 0.00144656872913525 0.0010049509503756 0.0014228062489851 0.00124264595974935 0 0.00122724039681923 0.00111817021710192 0.00122918313304998 0.00147037233328022 0.00126964086548004 0.00135801330460303 0.00117566925279226 0 0.0010140716259609 0.00120099591375128 0.00145188744285425 0.00112179189431427 0.00116212231884447 0.000986183620043355 0.0010900874965976 0.00103163126678737 0 0 0.000987523123264554 0 0 0 0 0 0 0 0.00104114906020053 0.00105113074850829 0 0 0 0.000986390319506933 0 0.00102440387156193 0.000984321884850401 0 0 0.000986150297680631 0.00103530781628914 0.00104238890282402 0 0 0.00103090400099223 0 0 0 0 0 0.00103917281656775 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfd" 0.00111060183328328 0.00138481859500287 0 0.0013133845591336 0.00102986078105812 0 0 0.001194075135584 0.00158322425384147 0.00157831200237596 0.000995386771002785 0.0013085977446279 0.00134039054286113 0 0.00150030888017588 0.00135789115175684 0.00103689483084106 0.00129834471254499 0.00122379582036767 0.00110039059966099 0.00126391768374658 0.00114761218649177 0.00101217235431349 0.00120102988607 0.0011504533170673 0.00133314020793532 0 0.0012461150561939 0.00111905846123063 0.000990308032944089 0 0 0 0 0 0 0 0.00107126710880606 0 0 0 0.00107668184623521 0 0 0.00106328020841118 0.00107735135971933 0 0.00107425311601811 0.00102418823131028 0 0 0 0 0.00101006252663396 0.00111259830566416 0 0.00101548255936024 0 0.00111276762829078 0 0 0.00100249522891038 0 0 0 0 0 0 0 0 0 0 0.00102925656855587 0.00107907125527418 0
"Col1a1" 0.00134421200209492 0.00174718468208684 0.00118205647919561 0.00171779038272844 0.00161247648963833 0.00118959467841156 0.00121201201966855 0.00148826295000115 0.00154697020220672 0.0019938738487369 0 0.00177711249818829 0.00177170830493176 0 0.00163313611661382 0.00143435569017924 0.00124647641827163 0.00153468198249731 0.00150260770807709 0.00135785385354049 0.00124986041327233 0.00153440582588834 0.00115814715297627 0.00148137995324356 0.00131005054732561 0.00130439707063547 0.00131246869707894 0.00126670990784842 0.00138155603525327 0.00126096958723495 0 0 0.00128308054787748 0 0 0 0 0.00120044376049272 0.00128485312130734 0.00102998241837946 0.00142155986485445 0.00119334779076132 0.00108232402947191 0.00132754963775339 0.00130056433751597 0.00124181064576978 0 0.00118297696870316 0.00126359266532628 0 0.00105031472359418 0.00108265168226433 0.00108418697925506 0.00128318644927302 0.0012674844733993 0.00101850499364064 0.00142931651634521 0.00120490897322715 0.00114965533500126 0 0.00106359086967158 0.00124593578244914 0.00105715783517807 0 0 0 0 0.00110377565637796 0 0.0010536514796243 0.00116154321749254 0.00100215896375843 0.00123641513317193 0.0010474914308145 0.00125704456814203
"Itga4" 0 0 0 0.000985923189085434 0 0 0 0 0.000987407534430331 0.00105209444779346 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Copa" 0 0 0 0 0 0 0 0 0 0.000980233369723676 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0.00108973802830415 0.0012890493648742 0 0.00127118773598424 0.00112493920512581 0 0 0.0010813791215981 0.00128710215959032 0.00141500923122102 0 0.00125403050002514 0.00118783602362838 0 0.00129361657925824 0.00115110869620677 0.00104286075015005 0.00122885059778465 0.00115234982413562 0 0.00122713555180145 0.00103800763564107 0.00124723211845029 0.00101926710199277 0.00118937329703565 0.00102706009864805 0 0.00112798956222543 0.00121011541602748 0.00101876574012982 0 0 0.00105046403627376 0 0 0 0 0.000993018050246192 0 0 0.00103944425349614 0.00108992945949677 0 0 0.00107716172904599 0.00104359627468903 0 0.000987111030874856 0.000982909355110675 0 0 0 0 0 0.00106504455545974 0 0 0.00100430731014693 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nid1" 0.00110809665820219 0.0013821268457376 0.00117804415510006 0.00131322087309647 0.00111484280553914 0.00109505768479997 0.00129273384698387 0.00125999400513705 0.00114554780772238 0.00155049919125582 0.000983268504863189 0.00124402007250679 0.00131938186311986 0.00106571463257479 0.00132753110917465 0.00126256662374142 0.00128907977510797 0.00122220221984782 0.00123564708620085 0.000991775408878395 0.00107566528838722 0.00100820989907201 0 0.00112068743364979 0.00105005571484361 0.00106615058268961 0.00119439889096125 0.00104340070676619 0.00105623430048273 0 0 0 0.0011228327673881 0 0 0 0 0.00105984257314167 0.00101263637579519 0 0.00107240504471443 0 0 0 0 0.00100646166242832 0 0 0.000984165089570298 0 0 0 0 0 0 0 0.00109404350783464 0.00107729017775421 0 0 0 0 0 0.00109848754779723 0 0 0 0 0 0 0 0.00124289887545935 0 0 0.00103907087663936
"Icam1" 0.00114249551354306 0.001325194891996 0.00102352819328454 0.00121148675063376 0.00108321993521124 0 0 0.00111666375748199 0.00141859594051234 0.00137272523857242 0 0.00124129684470569 0.00117591225199636 0 0.00122320973286733 0.00129022766795055 0.00110481861262787 0.00125361992206351 0.00118513435505379 0 0.00124779496497746 0.00114480765485801 0.00140576466739308 0 0.00107637206610987 0 0 0.00120807737808542 0.00119212559369386 0.000994214559060387 0 0 0.00109600325737871 0 0 0 0 0.000979070022398759 0 0 0.00100842390152386 0.000983657278106053 0 0 0.00107719964200329 0.000993829380250633 0 0.00103934012442807 0.00101458453515556 0 0 0 0 0 0 0 0 0.000996357294552037 0 0 0 0 0.00102350886413998 0 0 0 0 0 0 0 0 0 0 0 0
"Slit2" 0.00165060710989302 0.00150133877805856 0.00150314361070934 0.00179323598098459 0.00136004338160943 0.00142445613161631 0.00136227091755249 0.00164879901353466 0.00148902838058078 0.00178407662014852 0.00114444995465575 0.00157673521249684 0.00158487036305587 0.00114864841216208 0.00165966649690707 0.00147224755414942 0.00137584865860485 0.00165912834869893 0.0016460158491638 0.00131362610484899 0.00134402311605559 0.00123086686355669 0.00120661681748339 0.0012327951549352 0.00177999426930531 0.0014100340328677 0.00118890558454357 0.00137120441763828 0.00111605476293566 0.00108126312455042 0 0 0.0012212571908692 0 0 0 0 0.00106524477076319 0.00112399233487035 0.00119063520969683 0.00140659424353612 0.00114571749114887 0.00118587312081492 0.00102780290324201 0.00152366013824849 0.00135643434215478 0 0.00129622870451822 0.00133891976560123 0 0 0.00110442030038816 0.00124211489926496 0.00113474482122774 0.00106953432656495 0 0.00112505771924375 0.00114249134456614 0.00116420758323623 0 0.000982803629089484 0.00100276577637261 0.00127072667929905 0 0.00103544204318299 0 0 0.00154497804919277 0.00139613717459497 0.0015174121784617 0 0.00105976724446584 0.00113928439951917 0.00104062013802258 0.00125972776346037
"Trf" 0.00141466846141701 0.00144940946874807 0.0011395770802952 0.00140492239089667 0.0012441649387228 0.00107151934886857 0.00121555376957741 0.00132804798835037 0.00153028712903923 0.00165267034705437 0.00104451534945397 0.00150936697037243 0.00149914190781072 0 0.00155239816224433 0.00129845344593016 0.00128055089710798 0.00145105221511626 0.00140718378024421 0.00121473854490868 0.00135643309443118 0.00128357967373958 0.00122614550595352 0.0012199295356613 0.00134917630442088 0.00110712120502814 0.00114616828612572 0.00118732573087166 0.00124912553627246 0.00115099727155137 0 0 0.0012265141725706 0 0 0 0 0.00107271141990584 0.00106488700975502 0.00100062290688763 0.00125281425836679 0.0011145452978771 0.00113651950972246 0 0.0011896415328981 0.00118263728973649 0 0.00105640264423089 0.00119734107639188 0 0 0 0.00108839568585696 0.0010511687556457 0.00110565162450132 0.00105937835544601 0.00122380914411356 0.00110775910678111 0.00379232108141822 0 0.00105355869695867 0.0010470033567884 0.00107263040395539 0 0 0 0 0.00108871252893379 0 0.000987904872440657 0.00101393142521181 0 0.00113206805440037 0.00100531689062197 0.00113910220732167
"Igf1" 0.00141277506926081 0.0028395028151749 0.00121735664298401 0.00158693845137238 0.00125566994572014 0.0011939118407632 0.00113617323748143 0.00145271030059026 0.00169908400695433 0.00182014301951615 0.00107459727549911 0.00155503869696097 0.00157629324577094 0.000997403443057027 0.00461330400646004 0.0042611835205414 0.00141273719662633 0.00466704995465715 0.00153799856436559 0.0012821579606429 0.00142988761164466 0.0013830875334433 0.00235467193455899 0.0012843030777203 0.00142361585626947 0.00127172472431874 0.00120834673575859 0.00133940300151342 0.00132429090100908 0.00121099207649208 0 0 0.00121743009556164 0.00455440101780694 0 0 0.00246502725097955 0.00610800160040413 0.0011191071484932 0.00108575895929129 0.00125469747305283 0.00131773765326457 0.00441346747794287 0.00113619519853345 0.00126869210572544 0.00463305010200444 0 0.00125534826108372 0.00132755067004603 0.00221700531105268 0 0 0.00115024799280441 0.0012067936307864 0.00119944965739259 0.00111864924579912 0.00115418086721123 0.00124112894160645 0.00503213568610677 0.00224134022859501 0.000986582916454838 0.0011357484358023 0.00429905240014661 0.000996797907356616 0.00485457046979309 0 0.00618964943592142 0 0.00437840025654728 0 0.000994984646446031 0.000989558015403507 0.00117120110751367 0.00114991846519651 0.00116448629265648
