"Atf4" "Cdkn1a" "Clic1" "Cmip" "Ddit4" "Fam129b" "Fkbp5" "Ier3" "Ldha" "Lmna" "Midn" "Ncl" "Per1" "Rps2" "Serpine1" "Stat3" "Tubb5" "Actb" "Bcl2l1" "Cfl1" "Ctnnb1" "Eef1a1" "Mcl1" "Nos3" "Socs3" "Fli1" "Ndufs2" "Rpl26" "Rplp2" "Rps11" "S100a10" "Ier5" "Synpo" "Dusp6" "Plat" "Plaur" "Sparc" "Ablim1" "Fas" "Lpp" "Ntn1" "Gadd45g" "Sparcl1" "Cd34" "Cd38" "Timp3" "Dll1" "Sema7a" "Pkm" "Hif1a" "Ntrk2" "Col4a1" "Aldoa" "Tnfrsf1a" "Cxcl12" "Mlec" "Vwf" "Xbp1" "Anxa2" "Upp1" "Abcg2" "Adam15" "Adamts1" "Emp1"
"Dusp18" 0.000973607068776803 0.00206366380754605 0.00128394906732881 0.00115895331522368 0.0013415177122274 0.00109250155861778 0.00102949045264347 0.00160624002126808 0 0.00135759360487114 0.0014034571479139 0 0.00137296464751021 0.000950026260456814 0.00138480460269428 0.00142128884420372 0.00112442306928093 0.00130772291678558 0.0017100271428841 0.00107670953997785 0.00111622892327765 0.000969334981621454 0.00122632287138172 0.00117063326365588 0.0013380680088355 0.00115517603272862 0.000966441466188204 0 0.00100852782441691 0.000937329799519977 0.00108528246424237 0.00126666702298614 0.00111087731962887 0.00108686251198182 0 0 0 0.00103432645233739 0.00132966941999058 0.00110294427839675 0 0.00106997580095416 0 0 0 0 0 0 0.000935389529529863 0.00122080792418593 0 0 0.00117987341067274 0.00101200433015837 0 0.000960514597527944 0 0 0.00103512003800386 0 0 0 0 0
"Pcdh7" 0 0.0011073049331042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aimp1" 0 0.00138978309478463 0.00101309634879989 0 0.00106709121418156 0 0 0.00107699228901053 0 0.00112974921564656 0.00104831205826506 0 0.00110640479923312 0 0.00111150102224077 0.00104320586775203 0.000994972561572203 0.000979952541562362 0.000942892550810122 0 0 0 0 0.000949456001910282 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl16" 0 0.00103272200773857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il1b" 0.0013466748045543 0.00457889077460727 0.00169915715100238 0.0016556273175035 0.00198793173317504 0.00151908690638467 0.00147210059049608 0.00193742800508225 0.00125830803449759 0.00185961464387552 0.00188508915080592 0.00119742543511738 0.00198126491894363 0.00112938496458181 0.00582539956101891 0.00456753520907281 0.00158594809031943 0.00174793447157904 0.00574291384899857 0.00127743690163914 0.00535254945616374 0.00130349768813734 0.00467818552363432 0.00310340599199174 0.00585863121138335 0.00153065030577391 0.00126457536697877 0.0010234824435418 0.0012045340185769 0.00116396983810999 0.00149033324773179 0.00146733127762813 0.0016238894128799 0.00146855126881699 0.00462272691470985 0.00102004735818039 0.00250634830949764 0.00138599495325945 0.00258825405817564 0.00152518495117881 0.00122277554874208 0.00152348202806054 0 0 0.000999133429601048 0.00642038480425871 0.00115716930432747 0.00109253984950799 0.00122595836165268 0.00518861535750679 0 0.000955354552276033 0.00144601901035561 0.0028408585681371 0.00473051781521624 0.00112350172138909 0.000963554808029678 0.000997773865450683 0.00261117992049089 0.000956340879395406 0.00465369794826533 0.00498984755065295 0.00610819585501071 0.00111900767737437
"Vegfd" 0 0.00176118675042989 0.00111060183328328 0.0010704323367544 0.00138481859500287 0.00102986078105812 0.00107361322638668 0.00158322425384147 0.000995386771002785 0.0013085977446279 0.00134039054286113 0 0.00113509010576592 0 0.00150030888017588 0.00135789115175684 0.00103689483084106 0.00122379582036767 0.00139800473406082 0 0.00107668184623521 0 0.00113808303274888 0.0011504533170673 0.0012461150561939 0 0 0 0 0 0.00106328020841118 0 0.00111905846123063 0.00102418823131028 0 0 0 0.000951890555706213 0 0.00101006252663396 0 0 0 0 0 0 0 0 0 0.00111276762829078 0 0 0.00110039059966099 0.000990308032944089 0 0 0 0 0.00102925656855587 0 0 0 0 0
"Itga4" 0 0.0013082501693038 0 0 0.00094454277221798 0 0 0.000987407534430331 0 0.000955221832747007 0 0 0 0 0.000972367212919405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprf" 0.000981356618850426 0.00151787481172459 0.00116091215762288 0.00128452933641757 0.00130075708066729 0.00112010282211907 0.00113944885736706 0.00140569912016991 0 0.00125201437082661 0.00121010980346786 0.000943939790471627 0.00118540456891783 0 0.00122533242559474 0.00126875853487382 0.00111232546847081 0.00126970680747263 0.00130804193786653 0 0.00102741222866503 0.000976782418328564 0.00110302561083929 0.00107150177738133 0.00106147883327957 0.00094306571240567 0.000986770903123508 0 0 0 0.0011213103276824 0.000975486330277919 0.0011283799829617 0.00100395668690283 0 0 0 0.000983779773087196 0.000973342691797199 0 0 0.000961794514337891 0 0 0 0 0 0 0 0.00104683960479203 0 0 0.000975448429615 0 0 0 0 0 0.000948709081796685 0 0 0 0 0
"Itgb1" 0 0.0023583641063619 0.00106593535012395 0.000963298663136677 0.00116214155369887 0.000944095579616126 0 0.00111289387909132 0 0.00115612719647975 0.00107018082969332 0 0.00112333865586986 0 0.00107956227691662 0.00107692131126464 0.000971023133365895 0.00105680613317923 0.00111741936383508 0 0.000954299561512551 0 0.000991810661214601 0.000984441775831357 0.000953444136613616 0 0 0 0 0 0 0.000955716804358766 0.000937275172272041 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nenf" 0 0.00110405787973591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
